baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000016918	203.78488657144	-1.25972141729416	0.34759971434834	-3.62405768847026	0.000290016873413123	0.017654957527776	Sulf1
ENSMUSG00000037503	621.026138056136	-0.607018055155739	0.187135917411647	-3.24372821397224	0.00117976259025626	0.0482944093416273	Fam168b
ENSMUSG00000047343	717.943252623335	-1.09685503381742	0.258556214976202	-4.24223039433952	2.21309323884715e-05	0.00288401319395984	Mettl21c
ENSMUSG00000026028	1341.94546887635	-0.802123913351032	0.200816320771381	-3.99431634973637	6.48811884706633e-05	0.00625107261517351	Trak2
ENSMUSG00000026185	2731.36700365124	-0.915234512439314	0.207766597444534	-4.40510901991186	1.05730690176653e-05	0.00168015678571627	Igfbp5
ENSMUSG00000055980	2121.57786412519	-1.1079801234864	0.267729765654192	-4.13842712176242	3.49694913631981e-05	0.00407511139352469	Irs1
ENSMUSG00000026311	222.157168317859	-1.67604698413072	0.239980143438097	-6.98410693534339	2.86673653328656e-12	8.76934705532359e-09	Asb1
ENSMUSG00000009905	179.527697580451	-1.04716447027402	0.312595933404457	-3.34989793011521	0.000808413439615089	0.0370477410004878	Kdsr
ENSMUSG00000046062	348.68960629246	-0.992697923101011	0.284576062357729	-3.48833951414062	0.000486030494703171	0.0250002979461776	Ppp1r15b
ENSMUSG00000041577	688.157768948996	-1.21140692557714	0.2588595349119	-4.67978483384601	2.87176139076857e-06	0.000605842627197314	Prelp
ENSMUSG00000041559	1597.63428868455	-1.15432998856668	0.299012062377836	-3.86047967224831	0.000113164655367182	0.00910975475705819	Fmod
ENSMUSG00000026478	1041.44014667379	-0.717403255659757	0.184748316719393	-3.88313825207617	0.000103116898054881	0.00846804271543303	Lamc1
ENSMUSG00000033544	67.209402067346	-1.67215316867457	0.48696792450299	-3.43380556405477	0.000595170956340856	0.0287846317066669	Angptl1
ENSMUSG00000026697	851.356502697214	-1.35369101956422	0.307298045584334	-4.40514034832257	1.05715410667569e-05	0.00168015678571627	Myoc
ENSMUSG00000040848	349.988996862865	-0.958480092770885	0.244343055513107	-3.92268194714242	8.75687172186393e-05	0.00759922570132816	Sft2d2
ENSMUSG00000040596	268.826350514275	-1.03488514050567	0.287659888918385	-3.59759973626106	0.000321167357326432	0.0186246624845793	Pogk
ENSMUSG00000006403	50.0693101638823	-1.58792064682227	0.459716842304041	-3.45412762965964	0.000552076036612892	0.0272387192903038	Adamts4
ENSMUSG00000026547	644.615538107973	-0.672793913439336	0.16248602612856	-4.14062630165513	3.46358834892163e-05	0.00407504490744279	Tagln2
ENSMUSG00000054203	63.9083592981961	-2.16684610418986	0.506716926110682	-4.27624575484687	1.90071398180168e-05	0.00256814133222034	Ifi205
ENSMUSG00000121135	211.030039241897	-2.08634555325244	0.511115096955712	-4.08194859764282	4.46596756289128e-05	0.0049230251441025	Hmga2-ps1
ENSMUSG00000063275	639.390426530879	-0.944923777819343	0.271653706219456	-3.47841298014901	0.000504392176299936	0.0253981179802717	Hacd1
ENSMUSG00000026796	267.934776781929	-0.9142842997537	0.253893811646074	-3.60104995795724	0.000316934663336785	0.0185245361862199	Niban2
ENSMUSG00000026879	10835.2816753432	-1.22033758134168	0.23364380759517	-5.22306837019252	1.75982375511019e-07	6.65489517128705e-05	Gsn
ENSMUSG00000036093	701.075179001964	-1.35076951331103	0.206563987929715	-6.53923041886005	6.18361938570424e-11	8.40697408927524e-08	Arl5a
ENSMUSG00000042410	314.339466151414	-0.977933108832695	0.22381370125568	-4.36940680282806	1.24584494738047e-05	0.00192964035141106	Agps
ENSMUSG00000027087	257.609206293039	-0.752340279756126	0.224505458684789	-3.35110016550835	0.000804911821224338	0.0370259437763196	Itgav
ENSMUSG00000023224	1298.12764981031	-0.968964818490381	0.281818236185393	-3.43826159586404	0.000585461812294347	0.0285406802200543	Serping1
ENSMUSG00000074971	105.621106249359	-1.36231612203369	0.367400434607483	-3.70798723602257	0.000208913183743817	0.0138176308988613	Fibin
ENSMUSG00000040152	309.500380909582	-1.86495654651969	0.367348668654989	-5.07680224716219	3.83839997513757e-07	0.000120427338707137	Thbs1
ENSMUSG00000027333	6286.37496361938	-1.16065976610679	0.201488137797585	-5.76043720882859	8.38963365683149e-09	5.14089827483663e-06	Smox
ENSMUSG00000027340	254.550385485584	-0.76974932389532	0.221843290342555	-3.46978861838339	0.000520868114273172	0.0260136418214144	Slc23a2
ENSMUSG00000034723	338.914026987197	-1.16057650905864	0.312897003493954	-3.70913270532826	0.000207970410490258	0.0138176308988613	Tmx4
ENSMUSG00000027274	151.339010507342	-0.874459851414584	0.238809247096282	-3.66175038047008	0.000250497876464672	0.0157994433836172	Mkks
ENSMUSG00000027276	296.37433589316	-1.01920277963216	0.263249023599238	-3.8716298571491	0.000108110036108464	0.00876049272730572	Jag1
ENSMUSG00000074743	531.53378616877	-1.4583606760895	0.21764360249476	-6.70068248904586	2.07448351326925e-11	4.23056337806042e-08	Thbd
ENSMUSG00000007659	536.427517296737	-0.594439354297199	0.178829437733177	-3.32405761507864	0.000887178651740973	0.0394746108461911	Bcl2l1
ENSMUSG00000017009	957.564786990874	-0.861011813288837	0.2627620369577	-3.27677400912919	0.00105000374655734	0.0437001559281485	Sdc4
ENSMUSG00000074582	563.54977815451	-0.78974385576308	0.227149019054208	-3.47676542496805	0.000507501621539625	0.0254499583654051	Arfgef2
ENSMUSG00000047213	740.120324454679	-1.20395216029863	0.183343864922698	-6.5666345629086	5.14651404563193e-11	8.40697408927524e-08	Ythdf3
ENSMUSG00000039286	285.604530143371	-0.897680420453597	0.206179172259464	-4.35388507294965	1.33745842194717e-05	0.00199574893304214	Fndc3b
ENSMUSG00000037400	281.971508417919	-1.223389602096	0.228708385032701	-5.34912439664632	8.83807801027509e-08	3.72905939771469e-05	Atp11b
ENSMUSG00000048332	339.816753422455	-0.850149449961309	0.261902524202169	-3.24605290671066	0.00117017090530165	0.0482094653106766	Lhfpl6
ENSMUSG00000028041	585.769043911695	-0.903889906636325	0.200982312729042	-4.49736046104177	6.8802286815141e-06	0.00125651459920905	Adam15
ENSMUSG00000027860	65.3011005385942	-2.07319904910379	0.479863321829185	-4.32039490161696	1.55750222799871e-05	0.00221599968160374	Vangl1
ENSMUSG00000007613	321.126080954032	-1.14313789042124	0.268989920635138	-4.24974247258807	2.14016427184931e-05	0.00284641848155959	Tgfbr1
ENSMUSG00000003032	186.404415005823	-1.80020496151772	0.367187698230013	-4.90268320587918	9.45363766939964e-07	0.00023607083780158	Klf4
