gene_names	mm_24	mm_9	mm_24_rep1	mm_9_rep1	mm_24_rep2	mm_9_rep2	mm_9_rep3
ENSMUSG00000025902	Sox17	2.66982416829944	2.71810750113746	1.99579851112471	2.28386796737089	2.36070731957049	2.45250983635696	3.12836070619874
ENSMUSG00000103922	Gm6123	4.51003849015928	5.5752699243737	4.95476855874659	5.47725242286873	5.15805220364608	5.55692517154336	5.34581460359622
ENSMUSG00000033845	Mrpl15	3.38542885544226	3.93787949412451	3.6585183642854	3.73165596644564	3.53372199154635	4.01269914007346	4.01872054844785
ENSMUSG00000025903	Lypla1	5.26964992608083	5.51353183928155	5.06331999172045	5.34428126781731	5.43085280178918	5.41844671279011	5.38185459218167
ENSMUSG00000033813	Tcea1	3.32715149770265	3.35457834443911	2.73937297321098	3.6936716829461	3.01299241750142	3.49395180594141	3.88871499289368
ENSMUSG00000033793	Atp6v1h	2.6985011289399	2.60240377931155	2.07713807273603	2.60577228542803	2.12098651690796	2.14719837125244	2.67278678000705
ENSMUSG00000090031	4732440D04Rik	0.706935298063044	0.0882627762887331	-0.635684351923803	0.469618600128154	-0.136353499420022	0.0493772402706583	0.622781642126021
ENSMUSG00000025907	Rb1cc1	4.29806868789072	3.77458948274013	3.52505317846808	3.90652051721606	4.21980275393263	3.90534692479544	4.24322568346711
ENSMUSG00000051285	Pcmtd1	5.51409125401132	5.39519326221168	4.62371662729899	5.35577246288199	5.30675960478627	5.45347448356372	5.46145529310125
ENSMUSG00000079671	2610203C22Rik	0.209227438838596	-1.27846222292999	-1.39475511383892	-0.467409671992268	-0.566150185951688	-1.17113166366938	-0.394050134932783
ENSMUSG00000061024	Rrs1	3.64760634915937	3.39252817286294	3.10891157766868	3.56273816513754	3.67305012499556	3.77172460349968	3.81935160573678
ENSMUSG00000025911	Adhfe1	5.03846345868349	4.69328762669202	4.25049846740078	3.74696210675822	4.64772547079134	4.99468048508201	4.51029244286388
