gene_names	mm_24	mm_9	mm_24_rep1	mm_9_rep1	mm_24_rep2	mm_9_rep2	mm_9_rep3
ENSMUSG00000025902	Sox17	2.4784067376071	2.59963130520438	1.86383444228642	2.24291954212905	2.35682992676372	2.37009409431196	3.05700007173988
ENSMUSG00000103922	Gm6123	5.33492890894373	6.13976053989244	5.62267904252101	6.11926061580286	5.69813088603807	6.104959810818	6.18233054859932
ENSMUSG00000033845	Mrpl15	3.25229479313341	3.89650635510572	3.52674028065696	3.6747456335755	3.49551357369292	3.92211404752453	3.97272946866196
ENSMUSG00000025903	Lypla1	5.06646983341893	5.43059635861774	4.9141812034278	5.27642646061009	5.31117547962314	5.31923393273521	5.35982003588881
ENSMUSG00000033813	Tcea1	2.86244050172199	2.75617793405188	2.17935242871532	2.93551944700396	2.3494601586567	2.82017588709404	3.14732223696401
ENSMUSG00000033793	Atp6v1h	2.61994900549001	2.52507319320374	1.88687056497321	2.58916631200089	2.04589010364281	2.06398128229387	2.63890798094993
ENSMUSG00000090031	4732440D04Rik	0.514048410581676	0.237057792904718	-0.66455278835932	0.31925633734193	-0.251982595396996	-0.135455716282042	0.636703651514598
ENSMUSG00000025907	Rb1cc1	4.10329114277078	3.66187130024271	3.37965765500763	3.7969496253467	4.08388415580202	3.74959900144751	4.10326712263606
ENSMUSG00000051285	Pcmtd1	5.18427605418314	5.16150820806244	4.36882478993418	5.15176755737536	5.04778227460362	5.15565493803396	5.19707128619809
ENSMUSG00000079671	2610203C22Rik	-0.17084640682133	-1.3082797862278	-1.38227390363015	-0.609681025355183	-0.660556882866221	-1.14633964460322	-0.361357597211807
ENSMUSG00000061024	Rrs1	3.49779711385736	3.3107698595289	2.91013145436592	3.30124902154716	3.51245197995573	3.74746294141665	3.61729976289785
ENSMUSG00000025911	Adhfe1	4.88593168726008	4.59793775286765	4.15044958857885	3.69390355777629	4.52419915177305	4.92050986031204	4.484367280271
ENSMUSG00000045210	Vcpip1	2.20457727969872	2.07753431478971	1.36096628126979	2.30289650869174	2.02806140298586	1.76864761612051	2.42099107500651
ENSMUSG00000025915	Sgk3	1.22433635300906	1.24831088098388	0.567720708808206	0.811707318505906	0.862969828390401	1.08091382285668	0.767108712291801
ENSMUSG00000098234	Snhg6	1.01818257922301	1.15257029556042	1.3641764927501	1.53189045037852	1.45225718158638	1.53336543320165	1.75559371635836
ENSMUSG00000025917	Cops5	5.63730096731412	5.67899939391933	5.44672634769196	5.33196120314227	5.63302216247082	5.65122371994046	5.74338096104949
ENSMUSG00000056763	Cspp1	0.354626300486355	0.0260136657088985	-0.466962617849752	0.469432641279226	-0.383340951914974	-0.448754813078697	0.691285408174355
ENSMUSG00000067851	Arfgef1	3.71969724760453	3.85401002083743	3.09708771576212	3.5321699854676	3.49889639666447	3.76415109982733	3.77569623267701
ENSMUSG00000048960	Prex2	1.36114089420469	0.89032829981824	0.907247707969812	1.3716689882552	1.12323472117009	0.41789284357565	1.52402127702528
ENSMUSG00000016918	Sulf1	0.764521462422064	1.40967177800869	0.184645541287352	2.46070627891911	0.0995639599128602	1.17518745529571	1.87550056485041
ENSMUSG00000025938	Slco5a1	1.86151092195483	2.29580183902604	2.05082762683584	2.44481635079367	2.49941620386182	2.43730345088013	2.03934316612689
ENSMUSG00000005886	Ncoa2	1.57155591720537	1.68682841996128	1.01492692628826	1.55860540917332	1.12180234357425	0.702129007731539	1.51895762208617
ENSMUSG00000025935	Tram1	4.08724266518006	4.39508542819117	3.64321256708072	4.86455351523106	4.13279708431247	4.37946856948936	4.66868583502352
ENSMUSG00000025937	Lactb2	3.80870869373827	4.02364907625864	3.5337443891822	3.52277854513969	3.80316189674758	3.77004511540553	3.9117693900161
ENSMUSG00000025932	Eya1	3.1217882384425	3.59762841418508	2.8855414988196	3.53830585480471	2.8546300051995	3.68432042678253	3.38646539534552
ENSMUSG00000025930	Msc	-0.869169086068272	0.0381435776483947	0.131246003238076	0.824523196088254	-0.184038487482677	0.553502731957682	0.739508717915765
ENSMUSG00000092083	Kcnb2	-0.0536988339888218	-2.00818071042514	-1.84331917382804	-0.905241702955614	-1.91904927238132	-2.05512254705732	-0.384733629489283
ENSMUSG00000025925	Terf1	1.40322682140388	0.761162445236248	0.0108971278195966	1.09562062091933	0.55942179325168	-0.944018095456986	0.936740628178033
ENSMUSG00000032719	Sbspon	-0.574811462914131	0.138393126488385	0.144096576017585	-1.18526811201995	-0.427334520638293	-0.496690094973381	0.311421543069617
ENSMUSG00000043716	Rpl7	5.68065830540806	5.60029191832258	5.13530358222182	5.70724383613008	5.33826163304678	5.69696842552149	5.74178204419973
ENSMUSG00000025921	Rdh10	1.74108172939049	1.39504608172593	1.0087661831619	1.62633729824976	0.0410975729355556	1.31817293996764	1.93035233842236
ENSMUSG00000025920	Stau2	3.64003067452455	3.71033272276298	3.61905697277686	4.10158900034835	4.09896436478827	4.10964116617488	3.97923454738898
ENSMUSG00000025939	Ube2w	1.8461764293154	2.55459540488885	1.88774990504108	2.51299240965103	1.95911249701124	2.70929839822302	2.87551147693971
ENSMUSG00000079658	Eloc	5.15408455586772	5.22922314078579	4.85755898400818	4.89322952090447	5.21814670483155	5.05644527703651	5.22878407649709
ENSMUSG00000025940	Tmem70	6.29271525562439	6.68477555732975	6.38646124436472	6.5981962649158	6.35815896850475	6.66551554155243	6.84227564347027
ENSMUSG00000042686	Jph1	6.05463922397026	5.98448725265889	5.67442745153891	5.71329459508937	5.90100215545974	5.9629569772116	5.76517534674983
ENSMUSG00000127806	ENSMUSG00000127806	2.00584603247197	2.53601928339446	0.857114847060053	2.50367459337913	0.627544694226749	1.99372983783706	2.07101512088141
ENSMUSG00000100110	Gm28783	1.8649664722126	1.53938451759841	0.861345394414428	2.04880063108988	1.85148391916914	1.68293663109766	0.876343393134139
ENSMUSG00000025777	Gdap1	2.3200673189099	3.22263820347707	1.75846783283153	2.82433928056886	2.44922576416285	2.74032844190733	2.61019463738628
ENSMUSG00000085125	Gm16070	-0.753224286264345	-1.67420537345699	-1.04308401011875	-0.93302650959907	-0.983099589299954	-2.05512254705732	-0.227575810299552
ENSMUSG00000025776	Crispld1	0.480130782046356	0.646228987727664	0.484954585369056	0.464330306004939	0.170431881762354	0.283857232516056	1.50559649187982
ENSMUSG00000100204	Gm4849	1.36297378413066	0.758819893832094	0.167538547388457	1.19663861645789	2.03035208091314	1.3859042894992	0.729610739633603
ENSMUSG00000043760	Pkhd1	-1.08947264715981	-2.00818071042514	-1.97176157219822	-0.658132815666665	-1.99760144390947	-2.05512254705732	-0.510182738202513
ENSMUSG00000099906	Lincmd1	-0.842623862835197	-0.976614468697854	-0.27047958545991	1.49146373275948	-0.824944237698812	-1.86915981056879	-0.137528363330226
ENSMUSG00000041859	Mcm3	1.57543030278752	1.9445021686787	0.669882654850394	2.55689026419382	1.37665923635231	1.93205712836659	1.40491236660318
ENSMUSG00000025931	Paqr8	0.107870178425081	-0.968179185811053	-1.03071991103064	0.344174924553769	-0.607243605463868	-0.883661774276788	-0.00297148363610233
ENSMUSG00000041779	Tram2	0.336252581114071	1.13456808352209	0.0100084563837335	2.33598094729466	0.256955967143107	0.836374190731263	0.958132302487289
ENSMUSG00000025933	Tmem14a	0.657765629399385	1.33060126089367	0.66961764488676	1.02764019360455	0.867458146744976	-0.119148476441179	1.36811671181135
ENSMUSG00000028033	Kcnq5	1.90929979695748	2.20343336656951	1.94155824745932	2.08868487780808	1.6915063348663	1.96246086531502	1.83964036777934
ENSMUSG00000082935	Gm7658	2.62547913800465	3.25444157883859	2.98178621838008	2.94961243036542	3.73492247159168	3.28141637803498	1.40675954640702
ENSMUSG00000101227	Gm29506	0.433201399863563	-1.0407186055234	0.436013018800182	-0.498929657137005	0.446043740469985	-0.563248938345133	-1.38601817230763
ENSMUSG00000134304	ENSMUSG00000134304	2.25251993070183	1.85728758062728	2.33193602820237	2.04430174974203	1.66668121241263	1.70720728835365	2.31093568232392
ENSMUSG00000026158	Ogfrl1	1.52348168353619	0.885862187436345	1.02413729329033	0.646461382719487	0.744194852731983	0.922146568614341	1.42800905041276
ENSMUSG00000026156	B3gat2	-0.54316999858122	-0.675597316715148	-1.25223421614446	-0.900405340341209	-0.124976821790803	-2.05512254705732	-0.677823031195203
ENSMUSG00000026155	Smap1	2.3009513202046	2.65410191611531	2.0519708204716	2.59181141026735	2.30517566255206	2.41399232425645	3.04769289823549
ENSMUSG00000026154	Sdhaf4	4.79612354758373	5.47758263474001	5.65934563128893	5.16590828106474	5.4634353022689	5.50607105845479	5.50088070086538
ENSMUSG00000026153	Fam135a	2.60580229148789	2.81042886269459	1.52409922072068	2.64973657977506	2.04573649292706	2.89289245277834	2.96345915931217
ENSMUSG00000026147	Col9a1	1.43573615567773	0.800153694744672	-0.385439245177327	0.533240936876915	0.94937614862409	0.448558963337405	0.404219675808974
ENSMUSG00000026141	Col19a1	-0.291234387191079	-0.898955334999208	-0.446036097854378	0.601876789856689	-0.499625254391407	-1.22631728045125	0.519322410127657
ENSMUSG00000099997	Tubb4b-ps2	1.89172061401383	-0.116878361574706	0.942568320653837	1.27239978807952	0.565850200804036	1.28673083907026	0.953651609009576
