baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000016918	106.49462162499	-1.27551719162759	0.348931798313407	-3.65549141062213	0.000256689803327743	0.0185086967413258	Sulf1
ENSMUSG00000047343	377.729969786493	-1.09487533498063	0.253832504556225	-4.31337718900421	1.6077946828272e-05	0.00246938964822366	Mettl21c
ENSMUSG00000026028	706.343268444976	-0.804943956315613	0.197157447450146	-4.08274689455571	4.45064880185388e-05	0.00540523276141934	Trak2
ENSMUSG00000026185	1453.15317689617	-0.918488915657686	0.209198104042809	-4.39052217925326	1.13078779982039e-05	0.00200914385256322	Igfbp5
ENSMUSG00000055980	1116.36237728091	-1.10715288003244	0.265730512397204	-4.16644994978035	3.09379778060908e-05	0.0040176996893862	Irs1
ENSMUSG00000026311	114.541651873032	-1.68324769093215	0.256372243209207	-6.5656393604146	5.18100717162559e-11	1.25193857295161e-07	Asb1
ENSMUSG00000046062	185.395845444153	-0.969522848585897	0.291208645863613	-3.32930653796581	0.000870625251145953	0.0415562469242653	Ppp1r15b
ENSMUSG00000041577	358.458953600147	-1.25002591038148	0.255726497918128	-4.88813603814213	1.01795181804827e-06	0.000273308752570204	Prelp
ENSMUSG00000041559	831.024579438039	-1.13649018516741	0.291374130735379	-3.90044985221956	9.6014113525242e-05	0.00906283218446855	Fmod
ENSMUSG00000026478	544.525460116873	-0.716480940852083	0.185101007955941	-3.87075656023777	0.000108498100601079	0.00993086402622905	Lamc1
ENSMUSG00000026697	453.29828759602	-1.31089889180512	0.29753295465878	-4.40589477998665	1.05348094982788e-05	0.00189972490086872	Myoc
ENSMUSG00000040848	183.479922561706	-0.943664567772001	0.239300218909705	-3.94343378402036	8.03231764923817e-05	0.00802036874695005	Sft2d2
ENSMUSG00000040596	141.634722245958	-1.00488367932076	0.27847999654047	-3.60845910587595	0.000308021054559537	0.0206750576732685	Pogk
ENSMUSG00000038463	83.6652708119482	-2.23232050396097	0.595918714972285	-3.74601509882903	0.000179665782081858	0.0142810656520593	Olfml2b
ENSMUSG00000059498	26.4127089931348	-2.49465247195094	0.7222441889102	-3.45402913620549	0.000552277705117616	0.0313268508602396	Fcgr3
ENSMUSG00000006403	26.3750860226038	-1.64064092920175	0.477728769654329	-3.43425188813493	0.000594191759490333	0.032780935334074	Adamts4
ENSMUSG00000026547	342.485957898107	-0.65301194414987	0.171313163585653	-3.8118024936442	0.000137957092357952	0.0119913495674012	Tagln2
ENSMUSG00000054203	39.5603595166055	-2.262783595798	0.537916644089846	-4.20656921599186	2.59276698116512e-05	0.0036006678926939	Ifi205
ENSMUSG00000121135	107.407331560826	-1.98931290846946	0.492472992647118	-4.03943553894519	5.35799904757588e-05	0.00599401337896405	Hmga2-ps1
ENSMUSG00000063275	285.66920603622	-0.934558197651821	0.275259667928546	-3.39518755030403	0.000685816030403159	0.0366638463687211	Hacd1
ENSMUSG00000026796	140.150892283007	-0.897414984018035	0.258603308275378	-3.47023783262048	0.000519997701071571	0.0302048664632054	Niban2
ENSMUSG00000026879	5656.42768601932	-1.22439839478316	0.224969998566383	-5.44249634433754	5.25390391034668e-08	2.44144873249264e-05	Gsn
ENSMUSG00000036093	338.039505087463	-1.40537859661203	0.216775340919617	-6.48311099708136	8.98503448649287e-11	1.35696483332259e-07	Arl5a
ENSMUSG00000042410	167.05074264606	-0.967444230012836	0.241499035660666	-4.00599624493825	6.17566299581452e-05	0.00660923402497952	Agps
ENSMUSG00000023224	680.891002245378	-0.986285278540791	0.278418671550764	-3.54245379107401	0.000396422869969711	0.0246885624483199	Serping1
ENSMUSG00000074971	57.0004100836164	-1.14159397889927	0.347768035076171	-3.28263055760496	0.00102843350264003	0.046712532251492	Fibin
ENSMUSG00000040152	161.066486332164	-1.77543230887163	0.354039289151651	-5.01478893239764	5.30917148798913e-07	0.000164475410045858	Thbs1
ENSMUSG00000027408	57.9404367788959	-2.3704927370309	0.723408028788598	-3.27684051419842	0.00104975646955213	0.0469746580189958	Cpxm1
ENSMUSG00000027333	3283.46932893246	-1.17748043180409	0.202554672668538	-5.81314869852906	6.13085555387755e-09	4.11516648899714e-06	Smox
ENSMUSG00000034723	179.601299635066	-1.13561252869977	0.2974493834639	-3.81783453532556	0.000134628165907793	0.011872828470788	Tmx4
ENSMUSG00000027274	82.6673839190386	-0.861256721670383	0.254593795812155	-3.382866102149	0.000717335969583932	0.037455256404621	Mkks
ENSMUSG00000027276	153.692071221453	-1.01661898523883	0.270904216872528	-3.7526879314588	0.000174948587703186	0.014021653018901	Jag1
ENSMUSG00000074743	281.097261931429	-1.43509578122285	0.226401972441544	-6.3387070604846	2.31701297748703e-10	3.02468320702254e-07	Thbd
ENSMUSG00000017009	507.149633275933	-0.859973902035984	0.262695739578039	-3.27364997779308	0.00106168032909284	0.0471589034415432	Sdc4
ENSMUSG00000074582	296.537455483799	-0.804673362346324	0.220167751092289	-3.65481937456419	0.000257363106484252	0.0185086967413258	Arfgef2
ENSMUSG00000047213	388.114854291993	-1.1790258227926	0.181111669393102	-6.50993846362011	7.51815970182684e-11	1.35696483332259e-07	Ythdf3
ENSMUSG00000039286	153.438737813404	-0.824116335151568	0.217128622917465	-3.79552140145442	0.000147333484062746	0.012624703223022	Fndc3b
ENSMUSG00000037400	147.612119789061	-1.1847057257521	0.23786032130698	-4.98067823688481	6.33618143481069e-07	0.000186716449013129	Atp11b
ENSMUSG00000048332	175.983335675334	-0.860925553221018	0.264471646890432	-3.25526597404103	0.00113286218079146	0.0492670951454732	Lhfpl6
