baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000026090	32.2535884819838	2.44087976086541	0.622599018542392	3.92046837237219	8.83770347986955e-05	0.00861105914869225	Cracdl
ENSMUSG00000026083	347.70076899521	0.581593255209563	0.162633127019154	3.57610571640221	0.000348750665905526	0.0225326499757784	Eif5b
ENSMUSG00000026604	239.187410359761	0.786712745274751	0.203586211543907	3.86427322021797	0.000111420451723903	0.0100461335651358	Ptpn14
ENSMUSG00000038900	235.333576625587	0.660829351688831	0.195543217776411	3.37945421581658	0.00072629903500224	0.037455256404621	Rpl12
ENSMUSG00000068742	610.990633248778	0.726230608524157	0.185818396377888	3.9082815409044	9.29549462772869e-05	0.00884316268442662	Cry2
ENSMUSG00000038605	114.79182756577	1.12235804257557	0.263488713624402	4.25960576123755	2.04787783704303e-05	0.00294553095561356	Samd10
ENSMUSG00000120173	100.82744833164	1.05883476872749	0.314748008890872	3.3640713803359	0.00076801676761672	0.0383437131667157	Gm56774
ENSMUSG00000027559	26782.7255729667	0.921250955605749	0.180563019395214	5.10210207323421	3.35901488731572e-07	0.000115953193910139	Car3
ENSMUSG00000038550	67.1626324398009	1.77131571673698	0.33346577553285	5.31183661623617	1.08525882574409e-07	4.52141280435864e-05	Ciart
ENSMUSG00000040562	324.656053958952	1.17407397196205	0.226251831596846	5.18923521491797	2.11159530290702e-07	7.97259201553834e-05	Gstm2
ENSMUSG00000074264	300.416824183357	0.730653971341938	0.206741504218562	3.53414266817711	0.000409100190669898	0.0252816123196847	Amy1
ENSMUSG00000028195	499.793792339271	0.983133216644164	0.264947672050945	3.71066939004893	0.000206711924243303	0.0156427428789945	Ccn1
ENSMUSG00000028234	502.012457574369	0.721054561083179	0.184309838720551	3.91218703292577	9.14640302835834e-05	0.00884054731109004	Rps20
ENSMUSG00000049969	202.029117700379	0.578710205579258	0.175284658207828	3.30154510666362	0.00096153872921257	0.0450283369238228	Plekhf2
ENSMUSG00000049225	1149.43600851936	0.775313924688766	0.161047642813243	4.81418983317782	1.4779826226695e-06	0.000364428286675367	Pdp1
ENSMUSG00000055296	330.358311426578	0.649577048520012	0.178169718099961	3.64583305988939	0.00026652696640062	0.0188555248022462	Tmem245
ENSMUSG00000028713	93.5660710375859	1.03371482683282	0.301989870287977	3.42301159256456	0.000619314360534702	0.0338577199275125	Cyp4b1
ENSMUSG00000028708	366.314637603578	0.602862304552045	0.175100913294176	3.44294209099421	0.000575422514231155	0.0319783872811257	Mknk1
ENSMUSG00000037553	459.076817358723	0.812085062941456	0.213189619515097	3.80921484258266	0.000139408784806463	0.0120309781287978	Zdhhc18
