gene_names	mm_24	mm_9	mm_24_rep1	mm_9_rep1	mm_24_rep2	mm_9_rep2	mm_9_rep3
ENSMUSG00000025902	Sox17	2.48269846344641	2.60145827941968	1.87815006787762	2.24339009046855	2.36280577976341	2.37231562883136	3.05808419131119
ENSMUSG00000103922	Gm6123	5.34016069499939	6.14385469857286	5.62636266034369	6.12482495015946	5.70226460111703	6.10873959379464	6.18754777714738
ENSMUSG00000033845	Mrpl15	3.25703938905673	3.89980460108879	3.53320885145449	3.67865810699925	3.50037415298595	3.92544597794894	3.976008699706
ENSMUSG00000025903	Lypla1	5.0716708312013	5.43455524988919	4.91840445352205	5.28169592088323	5.31537126768296	5.32292214993426	5.36462669029615
ENSMUSG00000033813	Tcea1	2.86698718083182	2.75826014658696	2.19141947840883	2.93807614248333	2.35544647201718	2.82284911678802	3.14869002587853
ENSMUSG00000033793	Atp6v1h	2.62434268237056	2.52676850091359	1.90100499646982	2.5908047373279	2.05235712282472	2.06580430911151	2.63841978005606
ENSMUSG00000090031	4732440D04Rik	0.515170142509003	0.22856384612108	-0.59669303888613	0.304347061037792	-0.235627458187679	-0.14114264038238	0.617294570102704
ENSMUSG00000025907	Rb1cc1	4.10831994018209	3.66499128236116	3.38651596728649	3.80102653552705	4.08843378750639	3.75285796424083	4.10676037927706
ENSMUSG00000051285	Pcmtd1	5.18949127026712	5.16539566953156	4.37368661748255	5.15697686289021	5.05203090939599	5.15931697518734	5.20176508913325
ENSMUSG00000079671	2610203C22Rik	-0.172319498817739	-1.34165827256071	-1.27400052521564	-0.643694336561204	-0.640157847863641	-1.16183072534754	-0.406304285481351
ENSMUSG00000061024	Rrs1	3.50264151741472	3.31356255074919	2.91853544645935	3.30456307278183	3.51730172323203	3.7507209449048	3.61988761695677
ENSMUSG00000025911	Adhfe1	4.89110851250492	4.60162456850183	4.15564283359528	3.69784274071689	4.52858633446049	4.92412866090238	4.48838505751108
ENSMUSG00000045210	Vcpip1	2.20864095422824	2.07827847208612	1.38004394363158	2.30359001113477	2.0345599170685	1.76999697953071	2.41948293738801
ENSMUSG00000025915	Sgk3	1.22711610302539	1.24628143542351	0.598590677691675	0.80285712091618	0.872650923281672	1.08069933085445	0.749891527038287
ENSMUSG00000098234	Snhg6	1.02056213662393	1.15010504643196	1.38321824879252	1.52886894719012	1.4600129640968	1.53426140422254	1.74981446231636
ENSMUSG00000025917	Cops5	5.64256121695019	5.68301338365947	5.45052036767885	5.33725583256114	5.63716519252882	5.65495675917461	5.74840820960764
