baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000003032	109.846702787678	-1.64236419565396	0.431321036078066	-3.80775352528067	0.000140234940137424	0.0259977457410475	Klf4
ENSMUSG00000004098	295.434482355094	-2.45844711003028	0.552657541358309	-4.44840959554802	8.65084455280588e-06	0.00345076010036746	Col5a3
ENSMUSG00000004798	1454.58032025861	-0.930404031056265	0.163477685898491	-5.69132127080623	1.26060063442239e-08	2.81592969717273e-05	Ulk2
ENSMUSG00000008348	22445.0021284656	-0.816852527218099	0.14437708700869	-5.65777121662616	1.5335136532955e-08	2.85463566560957e-05	Ubc
ENSMUSG00000009687	56.5524449226564	-1.98770792864031	0.498159737823666	-3.99010152310603	6.60450196992636e-05	0.0157649910723147	Fxyd5
ENSMUSG00000014496	423.631697047857	-0.917522228616783	0.240821036281071	-3.80997541903236	0.000138980609222684	0.0259977457410475	Ankrd28
ENSMUSG00000018927	93.1148643340543	-2.48864426494944	0.679219355283003	-3.663977249165	0.000248328852555434	0.0390914565407129	Ccl6
ENSMUSG00000019122	92.1948845359032	-2.48050972874397	0.662436764657234	-3.74452304142187	0.000180736790775337	0.0320420510503134	Ccl9
ENSMUSG00000020176	67.3832649045062	-2.78297631930419	0.726888301679514	-3.82861618886144	0.000128865790784203	0.0256885816532087	Grb10
ENSMUSG00000020363	126.671976806522	-2.24201572341834	0.470808500529021	-4.76205446779128	1.91631939504624e-06	0.00125902184254538	Gfpt2
ENSMUSG00000020780	213.011229504188	-1.11586411879614	0.257336530597715	-4.33620565336884	1.44963324476571e-05	0.00490634960932976	Srp68
ENSMUSG00000020866	19.4167005545046	-4.10073450324772	0.929883927522349	-4.40994233998002	1.03398146773741e-05	0.00398225483212382	Cacna1g
ENSMUSG00000021319	110.148599409753	-4.06199939222677	1.06763245129806	-3.80467958545852	0.000141987867329564	0.0259977457410475	Sfrp4
ENSMUSG00000021390	185.357664211513	-1.60408034159562	0.325382436847318	-4.92983074666786	8.2300888369798e-07	0.000612812414801516	Ogn
ENSMUSG00000022102	25.3450525861292	-3.05371110683872	0.820988720085132	-3.71955306099951	0.000199575618918416	0.0348290638703091	Dok2
ENSMUSG00000023046	353.946906734394	-1.64605094364844	0.394721782923926	-4.1701548150072	3.04392786218213e-05	0.00894674481387164	Igfbp6
ENSMUSG00000023959	1292.73514911275	-0.923869756973209	0.246683106353463	-3.74516832802255	0.00018027286521393	0.0320420510503134	Clic5
ENSMUSG00000024529	145.240351697219	-2.4189329932337	0.651199048628242	-3.71458311913879	0.000203538961144399	0.0349055193216133	Lox
ENSMUSG00000025203	146.678568937338	-2.00174603886925	0.48407028721299	-4.13523839770088	3.54586340534742e-05	0.010154807275468	Scd2
ENSMUSG00000026042	319.63908149973	-2.90203497119148	0.633388831006879	-4.58175899088433	4.61081105970959e-06	0.00245229279647126	Col5a2
ENSMUSG00000026185	1477.63495183877	-0.949369979179178	0.247948208817311	-3.82890436558337	0.000128715008758861	0.0256885816532087	Igfbp5
ENSMUSG00000026311	124.320111015267	-2.02375744173071	0.383781919141638	-5.27319641909401	1.34067941046508e-07	0.000166378314838717	Asb1
ENSMUSG00000026547	353.579731437438	-0.729472496618365	0.20271522352546	-3.59850870562145	0.000320047139273069	0.0483054932235258	Tagln2
ENSMUSG00000026879	5825.26991358467	-1.25162522178535	0.313765755496856	-3.98904341808549	6.63402793803197e-05	0.0157649910723147	Gsn
ENSMUSG00000027333	1623.80433316246	-1.29959559558847	0.284764041052729	-4.5637630045706	5.02447960287922e-06	0.00255083694020718	Smox
ENSMUSG00000029657	299.51313112573	-1.09895810239376	0.282147513578498	-3.89497709356214	9.82080102594907e-05	0.0215075542468285	Hsph1
ENSMUSG00000030116	150.166520678454	-2.27622429291883	0.55524502153124	-4.09949518618198	4.14052281849671e-05	0.0112793900877536	Mfap5
ENSMUSG00000030278	30.737299539072	-8.12721327360033	1.4279370885947	-5.69157656770351	1.25871688160188e-08	2.81592969717273e-05	Cidec
ENSMUSG00000031328	463.150975613847	-1.20938655361927	0.303676965837251	-3.98247707159789	6.82007061228533e-05	0.0158694518059614	Flna
ENSMUSG00000031502	59.1838379800994	-1.67432556825012	0.369038502101192	-4.53699426676897	5.70616572160246e-06	0.00256260558862286	Col4a1
ENSMUSG00000032942	104.942942099334	-1.63059839310692	0.382519291300109	-4.26278734221439	2.01892635029282e-05	0.00626371900178346	Ucp3
ENSMUSG00000033382	304.100535788152	-1.04849375218349	0.255533796727494	-4.10315099454974	4.07561068174992e-05	0.0112793900877536	Trappc8
ENSMUSG00000034165	251.469107610979	-1.01215784635286	0.235934082443889	-4.29000268154802	1.78670960891656e-05	0.00570164560628258	Ccnd3
ENSMUSG00000034205	49.9378664851084	-8.83082536551404	1.50047638556934	-5.88534778050724	3.97217827941715e-09	1.47884197342701e-05	Loxl2
ENSMUSG00000036093	451.656766889528	-1.25502287088314	0.240981402305638	-5.20796567235252	1.9092223386159e-07	0.000206201366937236	Arl5a
ENSMUSG00000036412	28.1200444567225	-4.20832327933563	1.09871246338008	-3.83023167534584	0.000128022667657278	0.0256885816532087	Arsi
ENSMUSG00000036450	1448.02777500714	-1.28824539657175	0.251215756306573	-5.12804378002322	2.9276836888246e-07	0.000251533070157553	Hif1an
ENSMUSG00000036782	51.5392084595579	-1.59452713213541	0.396006550384222	-4.02651706288275	5.66091333122929e-05	0.0143697138628409	Klhl13
ENSMUSG00000036887	144.834071298045	-2.6155354892393	0.606478337086542	-4.31266102892323	1.61301321417399e-05	0.00529874840856154	C1qa
