log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000030278	-8.82934994362586	1.6630043417707	37.4628073696321	9.31728607940756e-10	5.57592985422145e-06	Cidec
ENSMUSG00000034205	-9.5382383069506	2.34717837719941	33.2411784382862	8.14082234384143e-09	2.99340024612398e-05	Loxl2
ENSMUSG00000037754	-5.86415453943923	1.44157816294115	32.840506230396	1.00038440842977e-08	2.99340024612398e-05	Ppp1r16b
ENSMUSG00000121387	-7.41722208737317	0.394856248787365	31.7333556062961	1.76858462345137e-08	4.2336378716179e-05	Gm20482
ENSMUSG00000026311	-1.77864367725546	3.49491081153889	26.2749155644313	2.96109827265273e-07	0.000469663874141534	Asb1
ENSMUSG00000020097	-5.26962321691086	2.94563977077537	26.1621220601415	3.13920209970112e-07	0.000469663874141534	Sgpl1
ENSMUSG00000074743	-1.47597013087576	4.78790756682459	24.4687113857333	7.55264337897225e-07	0.00100441765114354	Thbd
ENSMUSG00000021390	-1.62679157219632	4.15206526120715	24.0668552551644	9.30481894663138e-07	0.00111369377972231	Ogn
ENSMUSG00000036093	-1.26124682555494	5.42787194559124	23.0541510238117	1.57502088178286e-06	0.00171376590309628	Arl5a
ENSMUSG00000042834	-1.44754310155838	6.22016051472642	22.3215993636365	2.3059825014347e-06	0.00230002537997266	Nrep
ENSMUSG00000067279	-1.50392485369561	8.91338167815917	21.3970438478588	3.73346382112294e-06	0.00343737142115542	Ppp1r3c
ENSMUSG00000070436	-2.10407931608822	6.01782869916537	21.0375737393323	4.50364166673344e-06	0.00385029193636661	Serpinh1
ENSMUSG00000047213	-1.21415480960688	5.30613690896552	20.3158792469455	6.56534479705951e-06	0.00523870745840035	Ythdf3
ENSMUSG00000057003	-2.50444423006638	9.57385704611283	19.5561391710708	9.76863114784128e-06	0.0072710090538362	Myh4
ENSMUSG00000020363	-2.28416752285676	3.62784814385513	19.4499091899293	1.03272749532305e-05	0.0072710090538362	Gfpt2
ENSMUSG00000027333	-1.24430783389238	7.24947323995988	19.2028156021412	1.17539897906774e-05	0.00749371740683804	Smox
ENSMUSG00000036450	-1.28108646249344	7.10766204739196	19.17992538556	1.18957833344409e-05	0.00749371740683804	Hif1an
ENSMUSG00000054203	-2.29388904481257	2.86233962266951	18.7927757173431	1.45718039357106e-05	0.00872049606532599	Ifi205
ENSMUSG00000045868	-9.00629924285847	1.85509705091423	18.3105861935734	1.87661441986788e-05	0.0106958085673327	Gvin1
ENSMUSG00000007036	-2.51992496085217	3.26493405958076	18.0155984409482	2.19102291582181e-05	0.0119201605815779	Abhd16a
ENSMUSG00000031502	-1.69731578427943	2.54021324546571	17.4420237012185	2.96204541123042e-05	0.0154142267508769	Col4a1
ENSMUSG00000040152	-1.82507579657739	4.04196811575535	16.6206054301361	4.56523393415519e-05	0.0227672020657931	Thbs1
ENSMUSG00000026879	-1.27939017547119	9.10588912167283	16.542598483473	4.75692953002903e-05	0.022774275817967	Gsn
ENSMUSG00000030116	-2.60364591557459	3.98215431643403	16.3145892018334	5.36493148333051e-05	0.0246972557399934	Mfap5
ENSMUSG00000075232	-0.981667036265407	8.87510915957735	16.1776844512482	5.76694988445437e-05	0.0253712907742122	Amd1
ENSMUSG00000056749	-2.05178676547177	5.35621388252303	16.1119556043299	5.97059244119203e-05	0.0253712907742122	Nfil3
ENSMUSG00000004098	-2.50500028824287	4.83844357937613	16.0567298009914	6.14727573274421e-05	0.0253712907742122	Col5a3
ENSMUSG00000026042	-3.09079399643465	5.03309641608276	15.6456160458175	7.63894582597987e-05	0.0302651259394212	Col5a2
ENSMUSG00000037379	-4.19394047015352	1.12012594999962	15.5967934026413	7.83874094846734e-05	0.0302651259394212	Spon2
ENSMUSG00000004798	-0.911898488407733	7.11324995511782	15.4776286749343	8.34875489820291e-05	0.0312269523051846	Ulk2
ENSMUSG00000034165	-1.06101063630961	4.59839687799544	15.3693640631852	8.84101660957897e-05	0.0317146606255854	Ccnd3
ENSMUSG00000023959	-0.983605045092381	6.94389711891738	15.189108516259	9.72627893905875e-05	0.0331851038262979	Clic5
ENSMUSG00000033382	-1.07825424586047	4.86502909977169	15.100483900156	0.000101937155160994	0.0331851038262979	Trappc8
ENSMUSG00000041577	-1.28154255997085	5.23373067718722	15.0885109694122	0.000102585749985214	0.0331851038262979	Prelp
ENSMUSG00000052957	-1.49977825571284	4.77453431754337	15.0375412489123	0.000105393672453343	0.0331962333051068	Gas1
ENSMUSG00000020780	-1.16852274711697	4.3659652306848	14.9147760952149	0.000112478538137033	0.0345193749477473	Srp68
ENSMUSG00000023046	-1.62057325811778	5.07298026660143	14.8260950365657	0.000117892882565212	0.0352764977855756	Igfbp6
ENSMUSG00000005397	-1.59149243275732	6.27642811780489	14.4732716453115	0.000142162488649426	0.0408946014502279	Nid1
ENSMUSG00000091971	-2.14555192527482	4.48247245519991	14.4556096433834	0.000143501818105904	0.0408946014502279	Hspa1a
ENSMUSG00000036887	-2.57610505307821	3.80760339131827	14.039280853856	0.00017903139367767	0.0469389249562597	C1qa
ENSMUSG00000019278	-1.21514971491162	4.2440619105025	14.0210162404222	0.000180778756600625	0.0469389249562597	Dpep1
ENSMUSG00000037071	-1.9165469618288	5.54764020229595	14.0026408469555	0.000182554054200081	0.0469389249562597	Scd1
ENSMUSG00000046768	-0.99488145641377	4.53540217538911	13.9845370743199	0.000184320283477668	0.0469389249562597	Rhoj
ENSMUSG00000020176	-2.67774290515458	2.62335584572594	13.9416846107239	0.000188569935777802	0.0470206991942607	Grb10
