	SRR9126694	SRR9126930	SRR9126963	SRR9127454	SRR9127455	SRR9127457	SRR9127584
ENSMUSG00000000001.5	204.957	280	138	275	177	264	140.978
ENSMUSG00000000003.16	0	0	0	0	0	0	0
ENSMUSG00000000028.16	0	1.475	0	10.031	0	0	3.859
ENSMUSG00000000031.20	204.449	280.876	58.427	1171.139	217.267	137.689	72.267
ENSMUSG00000000037.18	7	0	1	1	1	0	1
ENSMUSG00000000049.12	84	5	6	6	7	9	4
ENSMUSG00000000056.8	1625	2364	1433.999	1589	1429	2251.248	904
ENSMUSG00000000058.7	493	688	415	369	475	719	269
ENSMUSG00000000078.8	279	497	248	254	211	270	173
ENSMUSG00000000085.17	117.076	92.671	21.429	59.45	33.261	82.346	54.632
ENSMUSG00000000088.8	2950.349	5240.061	4393.51	2949.81	3382.619	5280.415	1847.592
ENSMUSG00000000093.7	50	34	31	17	38	24	7.882
ENSMUSG00000000094.13	4	5.344	7	15	1	2	6
ENSMUSG00000000103.13	5	0	0	9.436	0	0	1.778
ENSMUSG00000000120.7	72.961	14	19	44.082	36.122	16	3.075
ENSMUSG00000000125.6	13	2	0	1	0	0	2
ENSMUSG00000000126.12	131	337	95	197.214	128.022	348	110
ENSMUSG00000000127.16	42.703	76.477	16.169	50.849	20.53	35.251	37.485
ENSMUSG00000000131.16	355.212	332.091	174.135	226.998	185.549	221.787	138.184
ENSMUSG00000000134.18	60.795	27.328	97	110.321	76.709	118.991	82
ENSMUSG00000000142.16	21.098	9.339	9.54	21.308	0	0	12
ENSMUSG00000000148.18	45.543	117	8.11	31.009	34.803	32.609	23.396
ENSMUSG00000000149.11	320	675.893	254.753	410	336.724	586	244.982
ENSMUSG00000000154.17	0	0	6	5	0	0	7
ENSMUSG00000000157.17	7	0	0	1	1	0	2
ENSMUSG00000000159.17	0	0	0	0	0	0	2
ENSMUSG00000000167.15	1	6	1	2	5	4	0
ENSMUSG00000000168.11	1915.001	4396	2524.894	3046.856	2689	4310	1952.004
ENSMUSG00000000171.6	2005	3558	2471	2454	2482	3874.001	1504
ENSMUSG00000000182.10	3	0	0	0	0	0	0
ENSMUSG00000000183.7	95	199	142	131	63	216	29
ENSMUSG00000000184.13	16.983	33.583	19.269	24.736	20.987	9.855	1.027
ENSMUSG00000000194.14	372.781	562.073	252.229	377.826	253.254	446.152	260.352
ENSMUSG00000000197.9	34.001	1	5	14	11	10	6
ENSMUSG00000000202.10	10	0	0	7	0	0	0
ENSMUSG00000000204.17	3	0	0	18	0	0	2
ENSMUSG00000000214.12	0	0	0	1	0	0	1
ENSMUSG00000000215.12	3	0	0	0	0	0	0
ENSMUSG00000000216.9	5	0	0	0	0	0	1
ENSMUSG00000000223.14	31	73	34	41	23	40	20
ENSMUSG00000000244.18	6.126	16	2	26.725	3	0	6.915
ENSMUSG00000000247.12	6	2	0	9	5	0	0
ENSMUSG00000000248.17	7.206	1	2	5	0	0	8
ENSMUSG00000000253.14	26.904	37.624	26.11	12.977	8.37	23.004	10.141
ENSMUSG00000000263.16	4	0	0	1	0	0	2
ENSMUSG00000000266.12	62.083	81	15	38.03	21.912	48.039	15
ENSMUSG00000000275.17	65	18.526	62	0	77.048	20.268	5.271
ENSMUSG00000000276.12	113.236	133.343	89.115	101.457	97.578	117.781	55.425
ENSMUSG00000000278.11	75	154	80	244	109	140	57
ENSMUSG00000000282.13	53	111	58	55	51	72	47
ENSMUSG00000000290.14	0	29.528	5.08	18.384	0	0	0
ENSMUSG00000000295.14	5.62	1.003	3.011	8.05	0	0	4.101
ENSMUSG00000000296.9	190.999	254.001	231.001	205.999	157	297	126
ENSMUSG00000000301.17	12.938	0	0	4.511	0	20	3
ENSMUSG00000000303.14	0	0	0	0	0	0	0
ENSMUSG00000000305.13	12.385	6.112	8.683	0	0	3.165	0
ENSMUSG00000000308.15	48.071	0	0	2	0	0	3
ENSMUSG00000000317.12	0	1.003	0	1.841	0	0	0
ENSMUSG00000000318.17	8	19.357	0	31.401	0	0	10.614
ENSMUSG00000000320.11	26	18	13	13	14	22	10.042
ENSMUSG00000000326.14	78.217	86.753	64.491	58.438	55.409	73.827	38.76
ENSMUSG00000000339.15	0	1.553	3.44	1.428	5.851	0	1.373
ENSMUSG00000000340.11	0	0	0	0	0	0	0
ENSMUSG00000000346.10	2.605	22.609	13.445	16.435	6.747	12.663	6.657
ENSMUSG00000000355.14	132	284.001	168.001	171	192	209.999	102.999
ENSMUSG00000000359.4	22	56	20	37	24	52	19
ENSMUSG00000000365.10	23	0	2	6	0	0	10
ENSMUSG00000000374.9	407	390	271	290	267	344	167
ENSMUSG00000000378.16	50.906	88.947	3	8.997	64.849	92.701	1.038
ENSMUSG00000000381.11	0	0	0	0	0	0	2
ENSMUSG00000000384.16	195.797	237.578	204.269	185.029	170.66	247.875	190.963
ENSMUSG00000000385.9	5	0	0	0	1	3	1
ENSMUSG00000000386.19	21.931	1	2	4	0	0	0
ENSMUSG00000000392.18	1.203	21.362	2.115	6.709	14.795	1.188	8.761
ENSMUSG00000000394.16	0	0	0	0	0	0	0
ENSMUSG00000000399.11	2010.031	3857.999	2607.98	2292.002	2613.995	3896.626	1597.992
ENSMUSG00000000402.3	10	14	2	15	5	14	0
ENSMUSG00000000409.15	5	1	2	8	0	0	1
ENSMUSG00000000411.8	40	0	0	0	0	0	0
ENSMUSG00000000416.17	15	8	4	14	2	17	13.205
ENSMUSG00000000420.16	731.001	1009.44	621.001	593.234	658.108	994.001	388
ENSMUSG00000000435.2	8	34	14	35	1	23	7
ENSMUSG00000000439.10	802.88	1095.372	622.898	693.167	680.929	1056.816	370.542
ENSMUSG00000000440.13	27	64	44	34	35	76	56
ENSMUSG00000000441.18	176.839	201.617	190.061	258.772	202.246	122.004	84.58
ENSMUSG00000000486.14	12	6	2	7	8	2	2
ENSMUSG00000000489.8	265	469	288	141	261	290	116
ENSMUSG00000000530.17	91.591	275.053	86	85.852	80.399	282	51.324
ENSMUSG00000000531.6	63	101	59	85.212	53	87	37
ENSMUSG00000000538.19	274.544	473.386	343.103	360.26	301.776	524.29	277.903
ENSMUSG00000000544.15	5	0	0	0	0	0	0
ENSMUSG00000000552.11	26	51	24	105	11	28	22
