gene_names_tpm	mm_24	mm_9	mm_24_rep1	mm_9_rep1	mm_24_rep2	mm_9_rep2	mm_9_rep3
ENSMUSG00000000001	Gnai3	0.635387577446737	1.22171378287915	0.745605651092074	1.96615430579701	1.07380789665425	1.33292671983158	1.77302956432555
ENSMUSG00000000031	H19	1.9312231365313	2.40914107366661	1.44639546309576	5.20076323785637	1.88085828572823	2.07248623754517	3.02155878919643
ENSMUSG00000000056	Narf	3.46026918781767	3.96198793773401	3.86427847418238	4.07158918542947	4.00187842788857	3.94808534699591	4.45444341196437
ENSMUSG00000000058	Cav2	2.20940345531557	2.89998493714548	2.88687883755192	3.18057532197355	3.21998673219897	3.10590063263916	2.94297665672482
ENSMUSG00000000078	Klf6	1.83301190409123	2.65338086065631	1.96522833601191	2.43384692600938	1.75492084406358	2.08814329335796	2.71629691737301
ENSMUSG00000000085	Scmh1	1.91791747324392	1.37469230845065	2.18305800930778	2.26143603654358	1.27979753664454	2.46349089254905	1.83578788064716
ENSMUSG00000000088	Cox5a	7.25969124100539	8.19767801632157	8.51657606850229	8.20356801493973	8.1275299898342	8.45572430959185	8.286327545018
ENSMUSG00000000093	Tbx2	-1.22133050780121	-1.72421100911785	-1.24928717267219	-1.87008662183521	-0.980480257320186	-1.74191771866696	-2.45421346145381
ENSMUSG00000000120	Ngfr	-0.680194805039558	-2.29567335340479	-1.66199440553261	-0.51936468542725	-1.03515042279034	-2.00525519892055	-3.03341596841627
ENSMUSG00000000126	Wnt9a	0.0678974977370174	1.42842757786222	-3.32192809488736	1.43444248328734	0.585658673531366	1.71538778973457	1.39271417805397
ENSMUSG00000000127	Fer	-0.470386916457815	-0.775690480771693	-0.0640605651285817	0.670872053074641	-1.52988071140865	-2.16450273564196	-0.203073378868802
ENSMUSG00000000131	Xpo6	1.86293614269676	1.22674279459775	1.89413247803816	2.03559963002451	1.6256548450831	1.59657597392498	2.13868310036205
ENSMUSG00000000134	Tfe3	-0.714029693107026	0.490720039722203	0.385961078470083	0.894813107881141	0.107322295626133	0.683782676616428	0.972704416056014
ENSMUSG00000000142	Axin2	-1.78882329257265	-3.32192809488736	-1.56105994410391	-0.913265139603489	-1.18961448171056	-2.07797878787789	-1.47004116089904
ENSMUSG00000000148	Brat1	-1.53879417093738	0.103970235847153	-2.27011750836053	-0.987677338595754	-2.5356830406457	-1.09160516939745	-1.77422163396133
ENSMUSG00000000149	Gna12	1.21626735692885	2.3583717854486	1.57472690376833	2.46463481281752	1.9014593140284	2.41508555825692	2.46651540635818
ENSMUSG00000000168	Dlat	4.28976195981647	5.34117855838263	4.97661241959784	5.92536150192954	5.13192443909821	5.67047831401851	5.91550206624048
ENSMUSG00000000171	Sdhd	5.49943855916767	6.40687337653148	6.44575796736205	6.7025746580691	6.42902447189102	6.77686880857892	6.74468726030858
ENSMUSG00000000183	Fgf6	-0.789124915797968	0.214119830533784	0.293005496821558	0.395696787749102	-0.778330756201097	0.55134965207061	-0.82736655821036
ENSMUSG00000000184	Ccnd2	1.08800926458512	4.27030123274831	1.77725557824741	4.51435736557893	1.91738248713382	0.856588968778246	5.21884334489588
ENSMUSG00000000194	Gpr107	1.48051434031605	1.50059200583892	0.808000280673578	2.00063428569088	1.8313661286293	1.60337353596313	2.27268166041834
ENSMUSG00000000197	Nalcn	-2.24583423959352	-3.23234859135851	-2.6724413920431	-1.90184997890799	-2.78620356950743	-2.65871101221168	-2.04773801097381
ENSMUSG00000000223	Drp2	-2.09780753593619	-1.23028241571571	-1.47826979814676	-1.27658298466691	-1.84838533234441	-1.39227342125103	-1.33398516673996
ENSMUSG00000000253	Gmpr	2.29593809053951	3.31068490097718	3.60030139538504	3.35914006531589	2.13853894156524	2.14529790311957	3.01708294176455
