baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000000753	402.78369461574	-1.6647624347895	0.328869073217316	-5.06208266561274	4.14701127038944e-07	0.000548988891994646	Serpinf1
ENSMUSG00000003032	105.87050293285	-1.65634306557178	0.443059157106358	-3.73842417881495	0.000185177321848179	0.0335951106103251	Klf4
ENSMUSG00000003037	130.227291721974	-1.52271941214826	0.401492351449234	-3.79264861871422	0.000149048991908113	0.0289150395681349	Rab8a
ENSMUSG00000003518	603.194651214325	-1.31039830691363	0.268736010933987	-4.87615449213286	1.0817389980762e-06	0.00112516309214183	Dusp3
ENSMUSG00000004098	293.303640361411	-2.48859186844217	0.578223562545357	-4.30385759011153	1.67849579068228e-05	0.00740674415270162	Col5a3
ENSMUSG00000004221	37.5960318008674	-2.08384542731368	0.565580514709389	-3.68443638547982	0.000229209260047579	0.0383648878714121	Ikbkg
ENSMUSG00000004798	1446.95184367332	-0.947384332703531	0.153738993707698	-6.16229044990877	7.1700180849265e-10	7.05675939516332e-06	Ulk2
ENSMUSG00000008348	22331.9516874669	-0.7503929984493	0.122725508877592	-6.1144011975355	9.69201949617267e-10	7.05675939516332e-06	Ubc
ENSMUSG00000015766	80.4680583498256	-1.84925312304199	0.481232676981394	-3.84274221493377	0.000121667242493425	0.0253102626455608	Eps8
ENSMUSG00000019122	114.485753338394	-3.243400283864	0.761448964789841	-4.25951105568733	2.04874566007021e-05	0.00744233320067404	Ccl9
ENSMUSG00000019278	195.127724909168	-1.17233711137544	0.325845687876386	-3.59782914119822	0.000320884291892082	0.0465675124705944	Dpep1
ENSMUSG00000019796	8.87948465989124	-6.34582438876129	1.65985069664659	-3.8231296354436	0.000131768456498655	0.0266501703268529	Lrp11
ENSMUSG00000020363	126.111092121355	-2.32371822553925	0.493487227650939	-4.70877075502124	2.49215165097561e-06	0.0019080117149196	Gfpt2
ENSMUSG00000020866	25.3427951985623	-4.88071492295205	1.04400095567543	-4.67501001452092	2.93939275491177e-06	0.00203825891890596	Cacna1g
ENSMUSG00000021319	108.625433279886	-4.06178698519692	1.072753368898	-3.78631948680753	0.000152895072568767	0.0289150395681349	Sfrp4
ENSMUSG00000021390	181.51323960396	-1.65447532355002	0.329348041895321	-5.02348613955287	5.07418883424802e-07	0.000615752815035997	Ogn
ENSMUSG00000021518	277.430181557906	-0.75719027148802	0.202714603312541	-3.73525271053414	0.000187526776502763	0.0335951106103251	Ptdss1
ENSMUSG00000021823	684.400849750752	-0.832426879530619	0.224594805961819	-3.70634964582453	0.000210267967965028	0.0360226135236087	Vcl
ENSMUSG00000022102	24.9841859415648	-3.03515599262593	0.846511909770471	-3.58548528094413	0.000336451980268127	0.0465675124705944	Dok2
ENSMUSG00000022548	110.487973710696	-1.56970053602496	0.428654338969358	-3.6619261566303	0.000250326022416667	0.040055285686537	Apod
ENSMUSG00000023046	345.203969614891	-1.6026115499388	0.411838035748733	-3.89136362071369	9.96824133614515e-05	0.0226808641151478	Igfbp6
ENSMUSG00000023959	1286.6617562543	-0.959818642194596	0.225453499300996	-4.25727986112636	2.06929253475415e-05	0.00744233320067404	Clic5
ENSMUSG00000025153	97.5378460417119	-2.45077596438327	0.596961898888119	-4.10541438062966	4.03590750266572e-05	0.0122439343862121	Fasn
ENSMUSG00000025203	147.691045476411	-2.04078199913162	0.519244132283195	-3.93029381026993	8.48421233327818e-05	0.0209401864402029	Scd2
ENSMUSG00000026185	1475.98597739341	-0.969378113674344	0.251885375096586	-3.8484890728675	0.000118848597361653	0.0253102626455608	Igfbp5
ENSMUSG00000026547	353.531733848494	-0.83597730463996	0.228808007767774	-3.65361908787923	0.000258569778301226	0.0400563096981111	Tagln2
ENSMUSG00000026819	541.144579095101	-1.99166094826166	0.509429756382227	-3.90958895374637	9.24533060956057e-05	0.021509213041298	Slc25a25
ENSMUSG00000026879	5783.3063958448	-1.27887464302708	0.299514903203394	-4.26981972966674	1.95631022208261e-05	0.00744233320067404	Gsn
ENSMUSG00000027276	152.618556238691	-1.088949866929	0.296738239207957	-3.6697321849573	0.000242804714493441	0.0396162594004151	Jag1
ENSMUSG00000027333	1870.23155471724	-1.36984109398745	0.343315229323771	-3.99003882433537	6.60624808031808e-05	0.0181509782161494	Smox
