log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000037754	-5.51978630425382	1.23880239653578	38.3650732408596	5.86731438613271e-10	1.7373117897339e-06	Ppp1r16b
ENSMUSG00000037134	-3.68943576987759	2.70698207074118	30.3846212600891	3.5432613191357e-08	6.99439784397388e-05	Prmt9
ENSMUSG00000029413	-7.36885247491743	0.427235321913702	28.1362379081423	1.130688104819e-07	0.000191312427335375	Naaa
ENSMUSG00000026311	-1.72132058036642	3.56522728980026	23.5937287541727	1.18974633846286e-06	0.00176141945409426	Asb1
ENSMUSG00000037379	-5.38828543746596	1.17041958076347	22.9436404638028	1.66821187967935e-06	0.00219536683365802	Spon2
ENSMUSG00000074743	-1.43587040833841	4.84609609982513	22.1694184245505	2.49618363056675e-06	0.00295647989204326	Thbd
ENSMUSG00000036093	-1.20348889555438	5.48885808091617	21.3914519398324	3.74436867440791e-06	0.00369569188164061	Arl5a
ENSMUSG00000067279	-1.44151702272993	8.97048445791525	21.2120529450034	4.11170667056592e-06	0.00374608106201406	Ppp1r3c
ENSMUSG00000003518	-1.43420722788636	5.9589427877105	20.9549378489578	4.70214274846068e-06	0.00397801276519773	Dusp3
ENSMUSG00000036450	-1.22957323646838	7.17334938024773	19.3238421478333	1.10320183905374e-05	0.00816645161359532	Hif1an
ENSMUSG00000070436	-2.0859281836855	6.09996453029743	19.134110273535	1.21847660481951e-05	0.00848919818087193	Serpinh1
ENSMUSG00000047213	-1.16360124252	5.36230647158136	18.7228832564159	1.51157587570167e-05	0.00994616926211699	Ythdf3
ENSMUSG00000042834	-1.39604696012032	6.28509770484687	18.5806012354369	1.62869510582776e-05	0.01015277096496	Nrep
ENSMUSG00000021390	-1.60358668418958	4.199317369352	18.0623632463779	2.13785870632451e-05	0.0126603992588537	Ogn
ENSMUSG00000000753	-1.56839707088538	5.33357757498514	17.1319531545414	3.48706873220284e-05	0.019667067649624	Serpinf1
ENSMUSG00000020363	-2.27122350010479	3.68231891300839	16.7568400968232	4.24888165186743e-05	0.0228744337657808	Gfpt2
ENSMUSG00000045868	-9.37520004458249	2.28477895296943	16.3877840642336	5.16168247470395e-05	0.0265804205349537	Gvin1
ENSMUSG00000054203	-2.22050843707982	2.81364175227558	15.7652481509111	7.17076309223323e-05	0.0326655838709271	Ifi205
ENSMUSG00000056749	-2.00490120119321	5.38724423179335	15.32233676919	9.06384315818512e-05	0.0383400565591231	Nfil3
ENSMUSG00000004798	-0.85898523961117	7.17434207493397	15.0277016018777	0.000105944582205967	0.0392588127040035	Ulk2
ENSMUSG00000040152	-1.7580818669748	4.09933462317248	14.9116870190145	0.000112662863785291	0.0392588127040035	Thbs1
ENSMUSG00000049339	-4.35743762941311	3.32071726282589	14.9110923673557	0.000112698381622435	0.0392588127040035	Retreg2
ENSMUSG00000075232	-0.924712498685927	8.92360141011889	14.6804174023149	0.000127362674986922	0.0419023200706975	Amd1
ENSMUSG00000023973	-5.76593213555276	0.754475159209412	14.5761372507436	0.000134608397105676	0.043089239332963	Cnpy3
ENSMUSG00000033382	-1.02833802380028	4.88298485571081	14.4916550220217	0.000140781821662546	0.0438794709413472	Trappc8
