log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000115030	8.5389449110206	1.08914535478836	57.3986749785931	3.55846927097818e-14	4.21465100454656e-10	Gm49274
ENSMUSG00000111551	8.56499572201429	1.10628297146795	51.950581904648	5.69151840261099e-13	3.37051719802623e-09	Gm48128
ENSMUSG00000035934	5.19047848557203	2.27508928627836	50.9963978621017	9.2535624370085e-13	3.65330645013096e-09	Pknox2
ENSMUSG00000034472	1.6068345138521	6.33218838185711	33.0152233826866	9.14400795976366e-09	2.16603260550881e-05	Rasd2
ENSMUSG00000097766	3.19482915318861	0.484723290539719	21.612529254292	3.33665051018159e-06	0.00359266260387188	5730420D15Rik
ENSMUSG00000040363	2.69147551518222	2.03748794011087	20.5842507094953	5.70636324582333e-06	0.0045057444189021	Bcor
ENSMUSG00000031441	1.58347855305083	3.04593493267852	16.0624429892007	6.12875634135111e-05	0.0302454125445677	Atp11a
ENSMUSG00000116656	1.07722538683102	4.33131761482193	15.7854492518061	7.09460355849137e-05	0.0326655838709271	Gm49708
ENSMUSG00000028759	1.81952470187303	3.95646584050578	15.6670340433034	7.55292203187288e-05	0.033132151313149	Hp1bp3
ENSMUSG00000030410	0.964804571655037	4.94709442997871	15.0478493563551	0.000104819626126187	0.0392588127040035	Dmwd
ENSMUSG00000112132	2.97024074662678	1.00527078986961	15.0379588048046	0.000105370357887943	0.0392588127040035	Gm36229
ENSMUSG00000076609	3.93889417862198	2.19114721491659	14.9441996047698	0.000110737976198709	0.0392588127040035	Igkc
ENSMUSG00000135686	1.77328310773391	2.38586300346836	14.7672670354116	0.000121628578556808	0.0411591109836238	ENSMUSG00000135686
