	SRR9126694	SRR9126930	SRR9126963	SRR9127454	SRR9127455	SRR9127457	SRR9127584
ENSMUSG00000000001.5	1.453355	2.232236	1.576678	3.807252	2.004982	2.419132	3.317709
ENSMUSG00000000003.16	0	0	0	0	0	0	0
ENSMUSG00000000028.16	0	0	0	0.135759	0	0	0.4134
ENSMUSG00000000031.20	3.713784	5.21158	2.625263	36.677799	3.582941	4.106109	8.020445
ENSMUSG00000000037.18	0.013508	0	0	0.025457	0.012807	0	0
ENSMUSG00000000049.12	1.937157	0.125494	0.782678	0.26714	1.544237	0.267977	0.299765
ENSMUSG00000000056.8	10.906388	15.483938	14.463432	16.713978	15.920846	15.334484	21.824065
ENSMUSG00000000058.7	4.52484	7.364186	7.296685	8.966686	9.217783	8.509328	7.589963
ENSMUSG00000000078.8	3.462801	6.191399	3.804745	5.303323	3.275078	4.152005	6.471838
ENSMUSG00000000085.17	3.678772	2.493126	4.441151	4.694685	2.328049	5.415497	3.469663
ENSMUSG00000000088.8	153.144474	293.493866	366.12236	294.694953	279.559977	350.996623	312.100177
ENSMUSG00000000093.7	0.328887	0.202664	0.320656	0.173557	0.406811	0.198972	0.082477
ENSMUSG00000000094.13	0.007649	0.081271	0.077343	0.231739	0.012674	0.020663	0
ENSMUSG00000000103.13	0	0	0	0.153149	0	0	0.048593
ENSMUSG00000000120.7	0.524081	0.103673	0.216002	0.597679	0.387965	0.149091	0.022138
ENSMUSG00000000125.6	0.094295	0.016697	0	0.01481	0	0	0.049855
ENSMUSG00000000126.12	0.948188	2.591532	0	2.602777	1.400724	3.183849	2.525722
ENSMUSG00000000127.16	0.621771	0.484109	0.856568	1.492035	0.246306	0.123059	0.768698
ENSMUSG00000000131.16	3.537472	2.24038	3.616984	3.999931	2.985822	2.924247	4.303599
ENSMUSG00000000134.18	0.509615	1.305146	1.20673	1.759369	0.977227	1.506346	1.862516
ENSMUSG00000000142.16	0.189408	0	0.238902	0.430982	0.33842	0.136846	0.260972
ENSMUSG00000000148.18	0.244173	0.974727	0.107313	0.404289	0.072458	0.369239	0.192352
ENSMUSG00000000149.11	2.223448	5.027913	2.878791	5.419872	3.635909	5.233511	5.427072
ENSMUSG00000000154.17	0.32974	0.115652	0.342358	0.273542	0	0	0.435227
ENSMUSG00000000157.17	0.120193	0	0	0.033916	0	0	0.030221
ENSMUSG00000000159.17	0.151064	0	0	0	0	0	0.104285
ENSMUSG00000000167.15	0	0.13006	0.056187	0.092287	0.138113	0.467592	0
ENSMUSG00000000168.11	19.459017	40.437313	31.385429	60.673122	34.96414	50.831218	60.259212
ENSMUSG00000000171.6	45.137226	84.751801	87.069889	104.054016	86.064666	109.558118	107.139104
ENSMUSG00000000182.10	0.028397	0	0	0	0.021953	0	0
ENSMUSG00000000183.7	0.478695	1.059996	1.12519	1.215578	0.483041	1.365456	0.463557
ENSMUSG00000000184.13	2.025805	19.196954	3.327735	22.753724	3.677371	1.710752	37.141605
ENSMUSG00000000194.14	2.690482	2.729588	1.650783	3.901759	3.458739	2.93853	4.732205
ENSMUSG00000000197.9	0.110832	0.006406	0.056861	0.1676	0.044967	0.058361	0.141863
ENSMUSG00000000202.10	0.151435	0	0	0.199703	0	0	0
ENSMUSG00000000204.17	0.012841	0	0	0.19536	0	0	0.044585
ENSMUSG00000000214.12	0	0.030962	0	0.054924	0	0	0.095196
ENSMUSG00000000215.12	0.099729	0	0	0	0	0	0
