"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","positive regulation of cell migration","16","220","281","26568","1.39e-8","2.59e-5","6.88","2.59e-5","2.54e-5","1.91e-9","ENSMUSG00000028780,ENSMUSG00000030110,ENSMUSG00000018927,ENSMUSG00000029231,ENSMUSG00000026697,ENSMUSG00000020053,ENSMUSG00000000555,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000024621,ENSMUSG00000040152,ENSMUSG00000068566,ENSMUSG00000020689,ENSMUSG00000002900,ENSMUSG00000019122,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","13","220","236","26568","6.77e-7","6.31e-4","6.65","1.26e-3","6.19e-4","9.63e-8","ENSMUSG00000030110,ENSMUSG00000019929,ENSMUSG00000026185,ENSMUSG00000055980,ENSMUSG00000026697,ENSMUSG00000020053,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000024621,ENSMUSG00000040152,ENSMUSG00000021978,ENSMUSG00000002602,ENSMUSG00000047443"
"GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation","8","220","75","26568","2.90e-6","1.80e-3","12.88","5.39e-3","1.77e-3","2.04e-7","ENSMUSG00000029135,ENSMUSG00000020689,ENSMUSG00000032231,ENSMUSG00000052684,ENSMUSG00000039286,ENSMUSG00000029231,ENSMUSG00000020053,ENSMUSG00000020122"
"GOTERM_BP_DIRECT","cell adhesion","19","220","650","26568","8.33e-6","2.90e-3","3.53","1.54e-2","2.84e-3","2.27e-6","ENSMUSG00000005397,ENSMUSG00000029860,ENSMUSG00000016918,ENSMUSG00000028041,ENSMUSG00000032332,ENSMUSG00000030110,ENSMUSG00000032231,ENSMUSG00000028364,ENSMUSG00000027340,ENSMUSG00000026478,ENSMUSG00000000555,ENSMUSG00000040152,ENSMUSG00000050947,ENSMUSG00000020689,ENSMUSG00000002900,ENSMUSG00000021823,ENSMUSG00000035493,ENSMUSG00000019846,ENSMUSG00000037379"
"GOTERM_BP_DIRECT","angiogenesis","13","220","302","26568","8.65e-6","2.90e-3","5.20","1.60e-2","2.84e-3","1.59e-6","ENSMUSG00000028041,ENSMUSG00000032231,ENSMUSG00000052684,ENSMUSG00000000555,ENSMUSG00000007613,ENSMUSG00000046768,ENSMUSG00000040152,ENSMUSG00000035493,ENSMUSG00000037242,ENSMUSG00000031503,ENSMUSG00000031328,ENSMUSG00000031502,ENSMUSG00000033788"
"GOTERM_BP_DIRECT","positive regulation of gene expression","18","220","593","26568","9.56e-6","2.90e-3","3.67","1.77e-2","2.84e-3","2.51e-6","ENSMUSG00000030110,ENSMUSG00000054675,ENSMUSG00000003032,ENSMUSG00000027276,ENSMUSG00000028364,ENSMUSG00000020053,ENSMUSG00000022770,ENSMUSG00000022462,ENSMUSG00000007613,ENSMUSG00000022797,ENSMUSG00000024621,ENSMUSG00000020689,ENSMUSG00000026879,ENSMUSG00000056749,ENSMUSG00000034462,ENSMUSG00000050697,ENSMUSG00000031207,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","19","220","663","26568","1.09e-5","2.90e-3","3.46","2.01e-2","2.84e-3","3.03e-6","ENSMUSG00000052684,ENSMUSG00000026796,ENSMUSG00000020053,ENSMUSG00000007659,ENSMUSG00000022122,ENSMUSG00000001131,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000022797,ENSMUSG00000024621,ENSMUSG00000029547,ENSMUSG00000040152,ENSMUSG00000038084,ENSMUSG00000052957,ENSMUSG00000002602,ENSMUSG00000047443,ENSMUSG00000050697,ENSMUSG00000031328,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","cell surface receptor protein tyrosine kinase signaling pathway","8","220","110","26568","3.64e-5","8.49e-3","8.78","6.56e-2","8.33e-3","3.86e-6","ENSMUSG00000033544,ENSMUSG00000030110,ENSMUSG00000002602,ENSMUSG00000020170,ENSMUSG00000029231,ENSMUSG00000022102,ENSMUSG00000020122,ENSMUSG00000024621"
"GOTERM_BP_DIRECT","extracellular matrix organization","9","220","157","26568","5.03e-5","1.04e-2","6.92","8.94e-2","1.02e-2","6.82e-6","ENSMUSG00000005397,ENSMUSG00000004098,ENSMUSG00000029675,ENSMUSG00000015659,ENSMUSG00000035493,ENSMUSG00000029231,ENSMUSG00000036545,ENSMUSG00000006403,ENSMUSG00000022665"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","17","220","621","26568","6.33e-5","1.18e-2","3.31","1.11e-1","1.16e-2","1.86e-5","ENSMUSG00000006134,ENSMUSG00000052684,ENSMUSG00000028364,ENSMUSG00000029231,ENSMUSG00000020053,ENSMUSG00000022122,ENSMUSG00000022770,ENSMUSG00000001131,ENSMUSG00000007888,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000024621,ENSMUSG00000040152,ENSMUSG00000020689,ENSMUSG00000052957,ENSMUSG00000050697,ENSMUSG00000034165"
"GOTERM_BP_DIRECT","blood vessel remodeling","6","220","53","26568","7.56e-5","1.28e-2","13.67","1.31e-1","1.26e-2","5.00e-6","ENSMUSG00000028780,ENSMUSG00000029675,ENSMUSG00000027276,ENSMUSG00000002602,ENSMUSG00000020053,ENSMUSG00000031328"
"GOTERM_BP_DIRECT","blood coagulation, fibrin clot formation","4","220","11","26568","8.68e-5","1.35e-2","43.91","1.49e-1","1.32e-2","1.44e-6","ENSMUSG00000040152,ENSMUSG00000025823,ENSMUSG00000020689,ENSMUSG00000039109"
"GOTERM_BP_DIRECT","cell migration","12","220","328","26568","9.52e-5","1.36e-2","4.42","1.63e-1","1.34e-2","2.06e-5","ENSMUSG00000006134,ENSMUSG00000040152,ENSMUSG00000020689,ENSMUSG00000002900,ENSMUSG00000002602,ENSMUSG00000029231,ENSMUSG00000055980,ENSMUSG00000026478,ENSMUSG00000032925,ENSMUSG00000017009,ENSMUSG00000023046,ENSMUSG00000024621"
"GOTERM_BP_DIRECT","cell-matrix adhesion","7","220","97","26568","1.55e-4","2.06e-2","8.71","2.51e-1","2.03e-2","1.66e-5","ENSMUSG00000005397,ENSMUSG00000004098,ENSMUSG00000029860,ENSMUSG00000020689,ENSMUSG00000032231,ENSMUSG00000032925,ENSMUSG00000000555"
"GOTERM_BP_DIRECT","collagen fibril organization","6","220","63","26568","1.73e-4","2.15e-2","11.50","2.76e-1","2.11e-2","1.38e-5","ENSMUSG00000032231,ENSMUSG00000019916,ENSMUSG00000041559,ENSMUSG00000007613,ENSMUSG00000036545,ENSMUSG00000070436"
"GOTERM_BP_DIRECT","positive regulation of integrin-mediated signaling pathway","4","220","15","26568","2.34e-4","2.72e-2","32.20","3.53e-1","2.67e-2","5.81e-6","ENSMUSG00000005397,ENSMUSG00000002900,ENSMUSG00000026478,ENSMUSG00000031328"
"GOTERM_BP_DIRECT","negative regulation of cell migration","8","220","155","26568","3.13e-4","3.44e-2","6.23","4.43e-1","3.37e-2","4.73e-5","ENSMUSG00000016918,ENSMUSG00000028041,ENSMUSG00000019278,ENSMUSG00000003032,ENSMUSG00000027276,ENSMUSG00000026185,ENSMUSG00000037242,ENSMUSG00000007613"
"GOTERM_BP_DIRECT","vesicle-mediated transport","11","220","320","26568","3.47e-4","3.59e-2","4.15","4.76e-1","3.52e-2","7.97e-5","ENSMUSG00000036093,ENSMUSG00000047126,ENSMUSG00000026879,ENSMUSG00000037098,ENSMUSG00000074582,ENSMUSG00000040848,ENSMUSG00000059498,ENSMUSG00000030643,ENSMUSG00000063801,ENSMUSG00000008845,ENSMUSG00000035279"
"GOTERM_BP_DIRECT","regulation of cell population proliferation","9","220","210","26568","3.73e-4","3.66e-2","5.18","5.01e-1","3.59e-2","6.80e-5","ENSMUSG00000024659,ENSMUSG00000003032,ENSMUSG00000052684,ENSMUSG00000027276,ENSMUSG00000028552,ENSMUSG00000034462,ENSMUSG00000034165,ENSMUSG00000020053,ENSMUSG00000020122"
"GOTERM_BP_DIRECT","negative regulation of cell-matrix adhesion","4","220","19","26568","4.86e-4","4.53e-2","25.42","5.96e-1","4.44e-2","1.61e-5","ENSMUSG00000040152,ENSMUSG00000028041,ENSMUSG00000027276,ENSMUSG00000026697"
"GOTERM_BP_DIRECT","positive regulation of substrate adhesion-dependent cell spreading","5","220","46","26568","5.59e-4","4.73e-2","13.13","6.47e-1","4.65e-2","3.87e-5","ENSMUSG00000006134,ENSMUSG00000068566,ENSMUSG00000020689,ENSMUSG00000026697,ENSMUSG00000031328"
"GOTERM_BP_DIRECT","positive regulation of cell-substrate adhesion","5","220","46","26568","5.59e-4","4.73e-2","13.13","6.47e-1","4.65e-2","3.87e-5","ENSMUSG00000040152,ENSMUSG00000005397,ENSMUSG00000063275,ENSMUSG00000000555,ENSMUSG00000022665"
"GOTERM_BP_DIRECT","positive regulation of smooth muscle cell proliferation","6","220","84","26568","6.62e-4","5.10e-2","8.63","7.09e-1","5.01e-2","7.15e-5","ENSMUSG00000040152,ENSMUSG00000016918,ENSMUSG00000020689,ENSMUSG00000052684,ENSMUSG00000020053,ENSMUSG00000020122"
"GOTERM_BP_DIRECT","synapse pruning","3","220","5","26568","6.65e-4","5.10e-2","72.46","7.11e-1","5.01e-2","5.53e-6","ENSMUSG00000036905,ENSMUSG00000036896,ENSMUSG00000036887"
"GOTERM_BP_DIRECT","cellular response to growth factor stimulus","6","220","85","26568","6.98e-4","5.10e-2","8.52","7.28e-1","5.01e-2","7.64e-5","ENSMUSG00000006134,ENSMUSG00000040152,ENSMUSG00000003032,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","ureteric bud development","5","220","49","26568","7.12e-4","5.10e-2","12.32","7.35e-1","5.01e-2","5.27e-5","ENSMUSG00000030110,ENSMUSG00000017009,ENSMUSG00000022770,ENSMUSG00000007888,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","substrate adhesion-dependent cell spreading","5","220","52","26568","8.92e-4","6.16e-2","11.61","8.11e-1","6.04e-2","7.04e-5","ENSMUSG00000020689,ENSMUSG00000002900,ENSMUSG00000002602,ENSMUSG00000039286,ENSMUSG00000026478"
"GOTERM_BP_DIRECT","regulation of basement membrane organization","3","220","6","26568","9.93e-4","6.61e-2","60.38","8.43e-1","6.48e-2","1.10e-5","ENSMUSG00000005397,ENSMUSG00000002900,ENSMUSG00000026478"
"GOTERM_BP_DIRECT","response to lipopolysaccharide","8","220","195","26568","1.22e-3","7.84e-2","4.95","8.97e-1","7.70e-2","2.32e-4","ENSMUSG00000029135,ENSMUSG00000052684,ENSMUSG00000021978,ENSMUSG00000037379,ENSMUSG00000022122,ENSMUSG00000074743,ENSMUSG00000020681,ENSMUSG00000022500"
"GOTERM_BP_DIRECT","positive regulation of miRNA transcription","5","220","58","26568","1.35e-3","8.36e-2","10.41","9.19e-1","8.20e-2","1.19e-4","ENSMUSG00000003032,ENSMUSG00000052684,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","negative regulation of angiogenesis","6","220","102","26568","1.58e-3","9.52e-2","7.10","9.48e-1","9.35e-2","2.09e-4","ENSMUSG00000040152,ENSMUSG00000016918,ENSMUSG00000003032,ENSMUSG00000019929,ENSMUSG00000031503,ENSMUSG00000000753"
"GOTERM_BP_DIRECT","cartilage development","6","220","105","26568","1.80e-3","1.05e-1","6.90","9.65e-1","1.03e-1","2.45e-4","ENSMUSG00000016918,ENSMUSG00000029135,ENSMUSG00000027274,ENSMUSG00000022098,ENSMUSG00000000126,ENSMUSG00000001131"
"GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","6","220","107","26568","1.96e-3","1.10e-1","6.77","9.74e-1","1.08e-1","2.71e-4","ENSMUSG00000021978,ENSMUSG00000055980,ENSMUSG00000020053,ENSMUSG00000022770,ENSMUSG00000020122,ENSMUSG00000032633"
"GOTERM_BP_DIRECT","regulation of epithelial cell proliferation","4","220","31","26568","2.09e-3","1.15e-1","15.58","9.80e-1","1.13e-1","1.21e-4","ENSMUSG00000027276,ENSMUSG00000020170,ENSMUSG00000022122,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","response to activity","5","220","66","26568","2.17e-3","1.16e-1","9.15","9.83e-1","1.13e-1","2.20e-4","ENSMUSG00000024978,ENSMUSG00000020689,ENSMUSG00000032231,ENSMUSG00000050697,ENSMUSG00000031503"
"GOTERM_BP_DIRECT","positive regulation of ERK1 and ERK2 cascade","8","220","222","26568","2.55e-3","1.32e-1","4.35","9.91e-1","1.29e-1","5.52e-4","ENSMUSG00000006134,ENSMUSG00000037060,ENSMUSG00000020689,ENSMUSG00000052684,ENSMUSG00000029231,ENSMUSG00000020053,ENSMUSG00000020122,ENSMUSG00000024621"
"GOTERM_BP_DIRECT","outflow tract morphogenesis","5","220","70","26568","2.69e-3","1.36e-1","8.63","9.93e-1","1.33e-1","2.91e-4","ENSMUSG00000006134,ENSMUSG00000040152,ENSMUSG00000028780,ENSMUSG00000029675,ENSMUSG00000052684"
"GOTERM_BP_DIRECT","ovulation cycle","3","220","10","26568","2.91e-3","1.43e-1","36.23","9.96e-1","1.40e-1","6.44e-5","ENSMUSG00000002602,ENSMUSG00000000753,ENSMUSG00000020122"
"GOTERM_BP_DIRECT","protein localization to plasma membrane","7","220","171","26568","3.04e-3","1.45e-1","4.94","9.97e-1","1.42e-1","5.78e-4","ENSMUSG00000020315,ENSMUSG00000032231,ENSMUSG00000050697,ENSMUSG00000028995,ENSMUSG00000031328,ENSMUSG00000022770,ENSMUSG00000074170"
"GOTERM_BP_DIRECT","osteoblast differentiation","6","220","119","26568","3.10e-3","1.45e-1","6.09","9.97e-1","1.42e-1","4.80e-4","ENSMUSG00000029135,ENSMUSG00000054675,ENSMUSG00000026185,ENSMUSG00000026697,ENSMUSG00000020053,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","endodermal cell differentiation","4","220","36","26568","3.23e-3","1.47e-1","13.42","9.98e-1","1.44e-1","2.19e-4","ENSMUSG00000032332,ENSMUSG00000002900,ENSMUSG00000031503,ENSMUSG00000000555"
"GOTERM_BP_DIRECT","positive regulation of cell adhesion","5","220","76","26568","3.63e-3","1.61e-1","7.94","9.99e-1","1.58e-1","4.26e-4","ENSMUSG00000005397,ENSMUSG00000020689,ENSMUSG00000002900,ENSMUSG00000026478,ENSMUSG00000033788"
"GOTERM_BP_DIRECT","embryonic cranial skeleton morphogenesis","4","220","39","26568","4.06e-3","1.75e-1","12.39","9.99e-1","1.72e-1","3.00e-4","ENSMUSG00000052957,ENSMUSG00000029231,ENSMUSG00000007613,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","positive regulation of MAPK cascade","8","220","243","26568","4.16e-3","1.75e-1","3.98","1.00e+0","1.72e-1","9.92e-4","ENSMUSG00000006134,ENSMUSG00000040152,ENSMUSG00000030110,ENSMUSG00000020170,ENSMUSG00000020053,ENSMUSG00000023046,ENSMUSG00000046491,ENSMUSG00000020122"
"GOTERM_BP_DIRECT","collagen-activated tyrosine kinase receptor signaling pathway","3","220","12","26568","4.23e-3","1.75e-1","30.19","1.00e+0","1.72e-1","1.17e-4","ENSMUSG00000031274,ENSMUSG00000031503,ENSMUSG00000031502"
"GOTERM_BP_DIRECT","collagen biosynthetic process","3","220","13","26568","4.97e-3","2.01e-1","27.87","1.00e+0","1.98e-1","1.51e-4","ENSMUSG00000029135,ENSMUSG00000033382,ENSMUSG00000070436"
"GOTERM_BP_DIRECT","neuromuscular junction development","4","220","43","26568","5.35e-3","2.12e-1","11.23","1.00e+0","2.08e-1","4.38e-4","ENSMUSG00000031274,ENSMUSG00000028364,ENSMUSG00000026478,ENSMUSG00000031502"
"GOTERM_BP_DIRECT","positive regulation of muscle cell differentiation","3","220","14","26568","5.77e-3","2.13e-1","25.88","1.00e+0","2.09e-1","1.91e-4","ENSMUSG00000005397,ENSMUSG00000002900,ENSMUSG00000026478"
"GOTERM_BP_DIRECT","cellular response to calcium ion","5","220","88","26568","6.11e-3","2.13e-1","6.86","1.00e+0","2.09e-1","8.34e-4","ENSMUSG00000019278,ENSMUSG00000052684,ENSMUSG00000037242,ENSMUSG00000050697,ENSMUSG00000034462"
"GOTERM_BP_DIRECT","negative regulation of gene expression","10","220","399","26568","6.12e-3","2.13e-1","3.03","1.00e+0","2.09e-1","1.92e-3","ENSMUSG00000006134,ENSMUSG00000068566,ENSMUSG00000003032,ENSMUSG00000027274,ENSMUSG00000050697,ENSMUSG00000020053,ENSMUSG00000020681,ENSMUSG00000000753,ENSMUSG00000032402,ENSMUSG00000033788"
"GOTERM_BP_DIRECT","positive regulation of D-glucose import","4","220","46","26568","6.46e-3","2.13e-1","10.50","1.00e+0","2.09e-1","5.68e-4","ENSMUSG00000047443,ENSMUSG00000055980,ENSMUSG00000020053,ENSMUSG00000046491"
"GOTERM_BP_DIRECT","positive regulation of bone mineralization","4","220","46","26568","6.46e-3","2.13e-1","10.50","1.00e+0","2.09e-1","5.68e-4","ENSMUSG00000054675,ENSMUSG00000032265,ENSMUSG00000032402,ENSMUSG00000024621"
"GOTERM_BP_DIRECT","complement activation, classical pathway","4","220","46","26568","6.46e-3","2.13e-1","10.50","1.00e+0","2.09e-1","5.68e-4","ENSMUSG00000036905,ENSMUSG00000023224,ENSMUSG00000036896,ENSMUSG00000036887"
"GOTERM_BP_DIRECT","male gonad development","6","220","142","26568","6.58e-3","2.13e-1","5.10","1.00e+0","2.09e-1","1.21e-3","ENSMUSG00000006134,ENSMUSG00000028041,ENSMUSG00000029231,ENSMUSG00000007659,ENSMUSG00000020681,ENSMUSG00000007613"
