"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","extracellular region","67","222","980","13725","1.09e-24","3.98e-22","4.23","3.98e-22","3.78e-22","2.45e-25","ENSMUSG00000004098,ENSMUSG00000028780,ENSMUSG00000016918,ENSMUSG00000029675,ENSMUSG00000054675,ENSMUSG00000031274,ENSMUSG00000021390,ENSMUSG00000041559,ENSMUSG00000007888,ENSMUSG00000021236,ENSMUSG00000072941,ENSMUSG00000032925,ENSMUSG00000017009,ENSMUSG00000034462,ENSMUSG00000037379,ENSMUSG00000035279,ENSMUSG00000036887,ENSMUSG00000005397,ENSMUSG00000032231,ENSMUSG00000033361,ENSMUSG00000026478,ENSMUSG00000028776,ENSMUSG00000020053,ENSMUSG00000023046,ENSMUSG00000006403,ENSMUSG00000022797,ENSMUSG00000024659,ENSMUSG00000026879,ENSMUSG00000047443,ENSMUSG00000036596,ENSMUSG00000031503,ENSMUSG00000039109,ENSMUSG00000031502,ENSMUSG00000036905,ENSMUSG00000019929,ENSMUSG00000026185,ENSMUSG00000028364,ENSMUSG00000020681,ENSMUSG00000000753,ENSMUSG00000022665,ENSMUSG00000041577,ENSMUSG00000029657,ENSMUSG00000039252,ENSMUSG00000019122,ENSMUSG00000035493,ENSMUSG00000061780,ENSMUSG00000019846,ENSMUSG00000036545,ENSMUSG00000033544,ENSMUSG00000032332,ENSMUSG00000027860,ENSMUSG00000018927,ENSMUSG00000022098,ENSMUSG00000026697,ENSMUSG00000000126,ENSMUSG00000001131,ENSMUSG00000023224,ENSMUSG00000008845,ENSMUSG00000040152,ENSMUSG00000071984,ENSMUSG00000039084,ENSMUSG00000002900,ENSMUSG00000074971,ENSMUSG00000046491,ENSMUSG00000030116,ENSMUSG00000036412,ENSMUSG00000036896"
"GOTERM_CC_DIRECT","extracellular matrix","38","222","319","13725","1.48e-21","2.71e-19","7.36","5.42e-19","2.57e-19","1.81e-22","ENSMUSG00000004098,ENSMUSG00000028780,ENSMUSG00000029675,ENSMUSG00000019929,ENSMUSG00000031274,ENSMUSG00000021390,ENSMUSG00000028364,ENSMUSG00000041559,ENSMUSG00000041577,ENSMUSG00000022665,ENSMUSG00000072941,ENSMUSG00000035493,ENSMUSG00000019846,ENSMUSG00000037379,ENSMUSG00000036545,ENSMUSG00000035279,ENSMUSG00000033544,ENSMUSG00000005397,ENSMUSG00000032332,ENSMUSG00000032231,ENSMUSG00000015659,ENSMUSG00000029484,ENSMUSG00000026478,ENSMUSG00000022098,ENSMUSG00000028776,ENSMUSG00000023046,ENSMUSG00000001131,ENSMUSG00000023224,ENSMUSG00000006403,ENSMUSG00000040152,ENSMUSG00000024659,ENSMUSG00000002900,ENSMUSG00000036596,ENSMUSG00000031503,ENSMUSG00000039109,ENSMUSG00000031502,ENSMUSG00000030116,ENSMUSG00000070436"
"GOTERM_CC_DIRECT","extracellular space","53","222","765","13725","1.91e-19","2.33e-17","4.28","6.98e-17","2.21e-17","4.23e-20","ENSMUSG00000028780,ENSMUSG00000016918,ENSMUSG00000029675,ENSMUSG00000021390,ENSMUSG00000041559,ENSMUSG00000007888,ENSMUSG00000021236,ENSMUSG00000072941,ENSMUSG00000037379,ENSMUSG00000035279,ENSMUSG00000036887,ENSMUSG00000032231,ENSMUSG00000033361,ENSMUSG00000028776,ENSMUSG00000020053,ENSMUSG00000023046,ENSMUSG00000006403,ENSMUSG00000022797,ENSMUSG00000024659,ENSMUSG00000025823,ENSMUSG00000019278,ENSMUSG00000026879,ENSMUSG00000047443,ENSMUSG00000002602,ENSMUSG00000036596,ENSMUSG00000031503,ENSMUSG00000031502,ENSMUSG00000070436,ENSMUSG00000028041,ENSMUSG00000036905,ENSMUSG00000019929,ENSMUSG00000026185,ENSMUSG00000028364,ENSMUSG00000020681,ENSMUSG00000000753,ENSMUSG00000041577,ENSMUSG00000039252,ENSMUSG00000019122,ENSMUSG00000035493,ENSMUSG00000061780,ENSMUSG00000074743,ENSMUSG00000033544,ENSMUSG00000032332,ENSMUSG00000018927,ENSMUSG00000022098,ENSMUSG00000026697,ENSMUSG00000000126,ENSMUSG00000001131,ENSMUSG00000023224,ENSMUSG00000040152,ENSMUSG00000002900,ENSMUSG00000046491,ENSMUSG00000036896"
"GOTERM_CC_DIRECT","basement membrane","14","222","101","13725","8.04e-9","7.34e-7","8.57","2.94e-6","6.96e-7","8.24e-10","ENSMUSG00000005397,ENSMUSG00000032231,ENSMUSG00000031274,ENSMUSG00000028364,ENSMUSG00000026478,ENSMUSG00000022770,ENSMUSG00000000753,ENSMUSG00000001131,ENSMUSG00000022665,ENSMUSG00000002900,ENSMUSG00000035493,ENSMUSG00000019846,ENSMUSG00000031503,ENSMUSG00000031502"
"GOTERM_CC_DIRECT","cell surface","26","222","564","13725","4.41e-6","3.22e-4","2.85","1.61e-3","3.05e-4","1.48e-6","ENSMUSG00000016918,ENSMUSG00000028041,ENSMUSG00000036905,ENSMUSG00000031494,ENSMUSG00000029231,ENSMUSG00000000555,ENSMUSG00000020122,ENSMUSG00000024621,ENSMUSG00000020689,ENSMUSG00000032925,ENSMUSG00000017009,ENSMUSG00000074743,ENSMUSG00000036887,ENSMUSG00000032231,ENSMUSG00000059498,ENSMUSG00000008845,ENSMUSG00000007613,ENSMUSG00000026712,ENSMUSG00000022797,ENSMUSG00000040152,ENSMUSG00000024659,ENSMUSG00000025823,ENSMUSG00000002602,ENSMUSG00000037242,ENSMUSG00000031207,ENSMUSG00000036896"
"GOTERM_CC_DIRECT","collagen trimer","9","222","65","13725","9.13e-6","5.55e-4","8.56","3.33e-3","5.26e-4","9.39e-7","ENSMUSG00000004098,ENSMUSG00000032332,ENSMUSG00000036905,ENSMUSG00000031274,ENSMUSG00000031503,ENSMUSG00000046491,ENSMUSG00000036896,ENSMUSG00000031502,ENSMUSG00000036887"
"GOTERM_CC_DIRECT","extrinsic component of postsynaptic membrane","4","222","9","13725","3.22e-4","1.68e-2","27.48","1.11e-1","1.59e-2","7.88e-6","ENSMUSG00000006134,ENSMUSG00000036905,ENSMUSG00000036896,ENSMUSG00000036887"
"GOTERM_CC_DIRECT","complement component C1q complex","3","222","3","13725","7.66e-4","3.50e-2","61.82","2.44e-1","3.31e-2","4.18e-6","ENSMUSG00000036905,ENSMUSG00000036896,ENSMUSG00000036887"
"GOTERM_CC_DIRECT","extracellular exosome","7","222","72","13725","1.05e-3","4.26e-2","6.01","3.18e-1","4.04e-2","1.59e-4","ENSMUSG00000024659,ENSMUSG00000028041,ENSMUSG00000032231,ENSMUSG00000026697,ENSMUSG00000034462,ENSMUSG00000020681,ENSMUSG00000022797"
"GOTERM_CC_DIRECT","apical plasma membrane","14","222","315","13725","1.80e-3","6.58e-2","2.75","4.82e-1","6.24e-2","6.18e-4","ENSMUSG00000027276,ENSMUSG00000028552,ENSMUSG00000027340,ENSMUSG00000022770,ENSMUSG00000025986,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000024659,ENSMUSG00000020689,ENSMUSG00000019278,ENSMUSG00000022822,ENSMUSG00000023959,ENSMUSG00000050697,ENSMUSG00000031207"
