"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","spermatogenesis","4","50","593","26568","9.61e-2","1.00e+0","3.58","1.00e+0","1.00e+0","2.52e-2","ENSMUSG00000030189,ENSMUSG00000024515,ENSMUSG00000050052,ENSMUSG00000019996"
"GOTERM_BP_DIRECT","negative regulation of protein catabolic process","2","50","51","26568","8.99e-2","1.00e+0","20.84","1.00e+0","1.00e+0","4.17e-3","ENSMUSG00000003849,ENSMUSG00000024515"
"GOTERM_BP_DIRECT","positive regulation of bone mineralization","2","50","46","26568","8.15e-2","1.00e+0","23.10","1.00e+0","1.00e+0","3.41e-3","ENSMUSG00000028195,ENSMUSG00000061393"
"GOTERM_BP_DIRECT","long-term memory","2","50","45","26568","7.98e-2","1.00e+0","23.62","1.00e+0","1.00e+0","3.26e-3","ENSMUSG00000038418,ENSMUSG00000029053"
"GOTERM_BP_DIRECT","regulation of neuron apoptotic process","2","50","37","26568","6.61e-2","1.00e+0","28.72","1.00e+0","1.00e+0","2.22e-3","ENSMUSG00000038418,ENSMUSG00000019505"
"GOTERM_BP_DIRECT","female gonad development","2","50","37","26568","6.61e-2","1.00e+0","28.72","1.00e+0","1.00e+0","2.22e-3","ENSMUSG00000024515,ENSMUSG00000019505"
"GOTERM_BP_DIRECT","regulation of DNA-templated transcription","7","50","1554","26568","6.49e-2","1.00e+0","2.39","1.00e+0","1.00e+0","2.55e-2","ENSMUSG00000038418,ENSMUSG00000024515,ENSMUSG00000061393,ENSMUSG00000085793,ENSMUSG00000039852,ENSMUSG00000059824,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","response to light stimulus","2","50","35","26568","6.26e-2","1.00e+0","30.36","1.00e+0","1.00e+0","1.98e-3","ENSMUSG00000068742,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","organ growth","2","50","34","26568","6.09e-2","1.00e+0","31.26","1.00e+0","1.00e+0","1.87e-3","ENSMUSG00000061393,ENSMUSG00000019996"
"GOTERM_BP_DIRECT","mesoderm development","2","50","30","26568","5.39e-2","1.00e+0","35.42","1.00e+0","1.00e+0","1.46e-3","ENSMUSG00000024515,ENSMUSG00000061393"
"GOTERM_BP_DIRECT","regulation of translational initiation","2","50","29","26568","5.22e-2","1.00e+0","36.65","1.00e+0","1.00e+0","1.36e-3","ENSMUSG00000028708,ENSMUSG00000026083"
"GOTERM_BP_DIRECT","locomotor rhythm","2","50","29","26568","5.22e-2","1.00e+0","36.65","1.00e+0","1.00e+0","1.36e-3","ENSMUSG00000038418,ENSMUSG00000038550"
"GOTERM_BP_DIRECT","seminiferous tubule development","2","50","29","26568","5.22e-2","1.00e+0","36.65","1.00e+0","1.00e+0","1.36e-3","ENSMUSG00000024515,ENSMUSG00000019505"
"GOTERM_BP_DIRECT","gastrulation with mouth forming second","2","50","26","26568","4.69e-2","1.00e+0","40.87","1.00e+0","1.00e+0","1.10e-3","ENSMUSG00000024515,ENSMUSG00000061393"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","5","50","705","26568","4.07e-2","1.00e+0","3.77","1.00e+0","1.00e+0","1.03e-2","ENSMUSG00000068742,ENSMUSG00000024515,ENSMUSG00000038550,ENSMUSG00000039852,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","activin receptor signaling pathway","2","50","22","26568","3.98e-2","1.00e+0","48.31","1.00e+0","1.00e+0","7.83e-4","ENSMUSG00000024515,ENSMUSG00000061393"
"GOTERM_BP_DIRECT","male gonad development","3","50","142","26568","2.83e-2","8.80e-1","11.23","1.00e+0","8.80e-1","2.44e-3","ENSMUSG00000030189,ENSMUSG00000024515,ENSMUSG00000019505"
"GOTERM_BP_DIRECT","lymphangiogenesis","2","50","15","26568","2.73e-2","8.80e-1","70.85","1.00e+0","8.80e-1","3.59e-4","ENSMUSG00000026604,ENSMUSG00000061393"
"GOTERM_BP_DIRECT","anterior/posterior pattern specification","3","50","127","26568","2.30e-2","8.35e-1","12.55","1.00e+0","8.35e-1","1.77e-3","ENSMUSG00000024515,ENSMUSG00000061393,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","cellular response to insulin stimulus","3","50","118","26568","2.01e-2","7.94e-1","13.51","1.00e+0","7.94e-1","1.44e-3","ENSMUSG00000029053,ENSMUSG00000033083,ENSMUSG00000027559"
"GOTERM_BP_DIRECT","BMP signaling pathway","3","50","104","26568","1.58e-2","6.89e-1","15.33","9.99e-1","6.89e-1","9.99e-4","ENSMUSG00000038418,ENSMUSG00000024515,ENSMUSG00000061393"
"GOTERM_BP_DIRECT","positive regulation of neuron apoptotic process","3","50","101","26568","1.50e-2","6.89e-1","15.78","9.99e-1","6.89e-1","9.18e-4","ENSMUSG00000062604,ENSMUSG00000003849,ENSMUSG00000038418"
"GOTERM_BP_DIRECT","response to insulin","3","50","100","26568","1.47e-2","6.89e-1","15.94","9.98e-1","6.89e-1","8.92e-4","ENSMUSG00000068742,ENSMUSG00000038418,ENSMUSG00000031808"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","7","50","1028","26568","1.12e-2","6.89e-1","3.62","9.93e-1","6.89e-1","2.97e-3","ENSMUSG00000030189,ENSMUSG00000068742,ENSMUSG00000038418,ENSMUSG00000024515,ENSMUSG00000061393,ENSMUSG00000028957,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","intracellular signal transduction","5","50","460","26568","1.02e-2","6.89e-1","5.78","9.88e-1","6.89e-1","1.70e-3","ENSMUSG00000028708,ENSMUSG00000062604,ENSMUSG00000020599,ENSMUSG00000024515,ENSMUSG00000029053"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","6","50","663","26568","7.35e-3","6.40e-1","4.81","9.60e-1","6.40e-1","1.48e-3","ENSMUSG00000030189,ENSMUSG00000003849,ENSMUSG00000028195,ENSMUSG00000029053,ENSMUSG00000057719,ENSMUSG00000027559"
"GOTERM_BP_DIRECT","entrainment of circadian clock by photoperiod","3","50","26","26568","1.05e-3","1.14e-1","61.31","3.68e-1","1.14e-1","1.58e-5","ENSMUSG00000068742,ENSMUSG00000028957,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","circadian rhythm","4","50","105","26568","9.68e-4","1.14e-1","20.24","3.44e-1","1.14e-1","4.61e-5","ENSMUSG00000068742,ENSMUSG00000028957,ENSMUSG00000059824,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","circadian regulation of gene expression","5","50","76","26568","1.19e-5","2.58e-3","34.96","5.15e-3","2.58e-3","3.21e-7","ENSMUSG00000068742,ENSMUSG00000038418,ENSMUSG00000038550,ENSMUSG00000028957,ENSMUSG00000030103"
"GOTERM_BP_DIRECT","rhythmic process","6","50","155","26568","9.82e-6","2.58e-3","20.57","4.26e-3","2.58e-3","4.60e-7","ENSMUSG00000068742,ENSMUSG00000038418,ENSMUSG00000038550,ENSMUSG00000028957,ENSMUSG00000059824,ENSMUSG00000030103"

