baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000016918	208.075863729366	-1.24057224572491	0.34518582170078	-3.59392584438269	0.000325732579449865	0.0197154757870887	Sulf1
ENSMUSG00000037503	636.759735595224	-0.616577312854472	0.187848207882461	-3.2823167162727	0.0010295789321056	0.0454211071843349	Fam168b
ENSMUSG00000047343	739.980176491374	-1.08924558494823	0.262460305968389	-4.1501345543635	3.3227988643464e-05	0.00404187834673748	Mettl21c
ENSMUSG00000025986	161.917216210255	-1.0939000894275	0.331060084569715	-3.30423430794824	0.000952361999211076	0.0429213794536531	Slc39a10
ENSMUSG00000026028	1392.58251823719	-0.814333114991783	0.202948915353944	-4.01250291765089	6.00783362350759e-05	0.00602177179751413	Trak2
ENSMUSG00000026185	2827.19109476412	-0.919035288400248	0.207045258221708	-4.43881350528746	9.04561524657929e-06	0.00145298094133836	Igfbp5
ENSMUSG00000055980	2189.1738078821	-1.11279727039932	0.267598983846736	-4.15845103147573	3.20412899848167e-05	0.00393573845313498	Irs1
ENSMUSG00000047443	25.819284508663	-4.0180958343268	1.04305796293514	-3.85222679573813	0.000117048536581918	0.00958497460676373	Erfe
ENSMUSG00000026311	227.069076651831	-1.68777901284251	0.242925103407355	-6.94773405123275	3.71199913441134e-12	1.16269092887599e-08	Asb1
ENSMUSG00000009905	184.904154697075	-1.02057058260853	0.313354050064157	-3.25692481842686	0.00112626259017415	0.0479964081370473	Kdsr
ENSMUSG00000046062	361.24377437879	-0.997140166256442	0.280739256725165	-3.55183730942414	0.000382551313807118	0.0219861716086669	Ppp1r15b
ENSMUSG00000041577	698.239540139179	-1.20395677753358	0.259297358041883	-4.64315096237545	3.43135441911434e-06	0.00070477769700137	Prelp
ENSMUSG00000041559	1631.64405454668	-1.14802338456412	0.297558603609347	-3.85814212944525	0.000114252204941422	0.00941753865599388	Fmod
ENSMUSG00000026478	1071.6112051504	-0.71206067828152	0.18274885107567	-3.89638935670617	9.76373808536139e-05	0.00826553205888465	Lamc1
ENSMUSG00000033544	69.0914096590986	-1.60876264679796	0.478075052110345	-3.36508387061084	0.000765203951992423	0.0365533605711705	Angptl1
ENSMUSG00000026697	891.837034598767	-1.31384450528115	0.299161536447067	-4.39175610903982	1.12438786500422e-05	0.00176093194507973	Myoc
ENSMUSG00000040848	356.297079109754	-0.94926188744609	0.250862411222809	-3.78399411382115	0.000154331474572054	0.0115096371721027	Sft2d2
ENSMUSG00000040596	275.606087401071	-1.00081675937942	0.289750420073688	-3.45406491257163	0.000552204443926563	0.0284714793331519	Pogk
ENSMUSG00000059498	55.4131254108221	-2.30904527247643	0.705276448394911	-3.27395771931903	0.00106052478293575	0.0465032624973844	Fcgr3
ENSMUSG00000006403	51.3816727063856	-1.63082892447984	0.448592060025054	-3.6354386753719	0.000277508005214668	0.0176492273976374	Adamts4
ENSMUSG00000026547	674.391112915543	-0.662862743312179	0.160878733213475	-4.12026331928289	3.78439643071828e-05	0.00439025026671012	Tagln2
ENSMUSG00000054203	65.773262958107	-2.12418554411791	0.50596450307118	-4.19828966503422	2.68938486260784e-05	0.00333616860827857	Ifi205
ENSMUSG00000121135	217.239955982411	-2.08105987858454	0.517070599180181	-4.02471129065174	5.70452565463214e-05	0.00585836081367918	Hmga2-ps1
ENSMUSG00000063275	632.933037784168	-0.962845167735839	0.252174898085863	-3.81816419891246	0.000134448432065081	0.0105281525333962	Hacd1
ENSMUSG00000026712	188.745983682244	-2.31484455651806	0.662544083765241	-3.49387250334013	0.000476068315660751	0.0259333040300589	Mrc1
ENSMUSG00000026796	273.064446185044	-0.915428603126086	0.254679747948904	-3.59443030118652	0.000325102158192986	0.0197154757870887	Niban2
ENSMUSG00000026879	11101.1142269908	-1.21978432559076	0.230941289248054	-5.2817940419506	1.27924962648761e-07	5.52679950698733e-05	Gsn
ENSMUSG00000036093	718.038716302032	-1.36656456101941	0.206060801027846	-6.63185115365409	3.31502786467172e-11	5.51799078842578e-08	Arl5a
ENSMUSG00000042410	323.454835105157	-1.01310698585415	0.226413147691242	-4.47459432539542	7.65565248515321e-06	0.00132017144818093	Agps
ENSMUSG00000023224	1334.49776068045	-0.972563856446164	0.280384859490762	-3.46867465744243	0.000523032426206195	0.0272373521794248	Serping1
ENSMUSG00000074971	106.621643689751	-1.35859254125542	0.365130985813416	-3.72083606716871	0.000198564308530508	0.0135207185955366	Fibin
ENSMUSG00000040152	319.255759979817	-1.81261084530425	0.366722965904237	-4.94272520084706	7.70380358731507e-07	0.000194271799255229	Thbs1
ENSMUSG00000027333	6461.85156669229	-1.17566098968052	0.201505705753376	-5.8343806458732	5.39907389937781e-09	3.97911746384144e-06	Smox
ENSMUSG00000027340	259.939667338988	-0.80707605679554	0.223005441683071	-3.61908682902246	0.000295644435575063	0.0184285031508456	Slc23a2
ENSMUSG00000034723	347.415112445447	-1.15726320764359	0.305028382508199	-3.79395254345712	0.000148268023847159	0.0111906630769943	Tmx4
ENSMUSG00000027274	155.557878895297	-0.884947339596124	0.232736252438318	-3.80236138686929	0.000143323457556054	0.0110165619614711	Mkks
ENSMUSG00000027276	305.692688860221	-0.979082053310821	0.264460867626835	-3.70218120395924	0.000213753861062007	0.014398506049709	Jag1
ENSMUSG00000074743	549.208067060307	-1.45126459297349	0.218248979123354	-6.64958250344545	2.93925553775229e-11	5.51799078842578e-08	Thbd
ENSMUSG00000007659	550.775638562645	-0.590969155820653	0.180586397384293	-3.27250094348497	0.00106600516773999	0.0465365113122453	Bcl2l1
ENSMUSG00000017009	986.831288425799	-0.880178036714466	0.263869232765785	-3.33565996872294	0.000850971788289016	0.0393425296511922	Sdc4
ENSMUSG00000074582	581.359568553052	-0.781493835201045	0.224536919704113	-3.48046920849752	0.000500536354644834	0.0268632178011266	Arfgef2
ENSMUSG00000047213	762.675529506761	-1.19309924561569	0.18014886399701	-6.62285189672634	3.52333995589482e-11	5.51799078842578e-08	Ythdf3
ENSMUSG00000039286	297.414894973049	-0.860409046403158	0.201528769829104	-4.26941050219669	1.95990270468936e-05	0.00266908923772316	Fndc3b
ENSMUSG00000037400	287.731119421138	-1.20843854224508	0.230492032156401	-5.24286471397455	1.58102463833719e-07	6.38988957862152e-05	Atp11b
ENSMUSG00000028041	598.044172073268	-0.901363839537985	0.199734862134451	-4.51280177083576	6.39768119393117e-06	0.00116168909679368	Adam15
ENSMUSG00000027860	66.1611609330185	-2.09382171004933	0.481859620092878	-4.34529398758449	1.39089255601646e-05	0.0020745824802774	Vangl1
ENSMUSG00000050947	702.621391800804	-0.557928337030949	0.170427995212679	-3.27368949176867	0.00106153189195083	0.0465032624973844	Amigo1
ENSMUSG00000007613	332.688851359079	-1.11903458270142	0.264893997090544	-4.22446184131125	2.39512428083272e-05	0.00303116283985386	Tgfbr1
ENSMUSG00000003032	195.276621520364	-1.78201133610704	0.366362796086352	-4.86406194936623	1.15000893722471e-06	0.000277085807201699	Klf4
ENSMUSG00000050812	3090.11567002493	-0.673817459737938	0.186585036511116	-3.61131563568761	0.000304647617452939	0.0188026108328467	Ecpas
ENSMUSG00000028364	153.881248321292	-2.36910607110029	0.697538112480885	-3.39638226028146	0.000682829266632272	0.0338148928127895	Tnc
ENSMUSG00000052684	2522.27694929413	-0.69563712797289	0.200574756492095	-3.46821873369846	0.000523920654101795	0.0272373521794248	Jun
ENSMUSG00000028552	1048.47177165524	-0.729873207228958	0.179325957960765	-4.0700923364851	4.69945078826344e-05	0.00522265198303896	Eps15
ENSMUSG00000070803	382.298227053847	-1.00284700286299	0.300876061883357	-3.33309003243924	0.000858871446505048	0.0395617660046388	Cited4
ENSMUSG00000028776	997.644707192281	-1.19240416439868	0.346964827338239	-3.43667158872061	0.000588909194934464	0.0301160951156486	Tinagl1
ENSMUSG00000037242	1795.8425176307	-0.688497282984534	0.1542456060753	-4.46364276106784	8.05778675938284e-06	0.0013460801374441	Clic4
ENSMUSG00000036905	333.407274058193	-1.93857009122473	0.513636334486689	-3.77420747144392	0.000160517136131375	0.0116889565436839	C1qb
ENSMUSG00000036896	226.928726909643	-2.1185493454409	0.47198990276574	-4.48854802407159	7.17102596126121e-06	0.00128351120383774	C1qc
ENSMUSG00000036887	278.370961089036	-2.5517023140592	0.532670766492657	-4.79039300553464	1.66454964406519e-06	0.000359571422249875	C1qa
ENSMUSG00000029009	81.7350027515217	-1.58485492751659	0.391866954477359	-4.04436993068309	5.24640248775751e-05	0.00566774646412082	Mthfr
ENSMUSG00000028780	930.001641478022	-1.1126369238367	0.248301313984982	-4.48099490888715	7.42958839038967e-06	0.00131106074567876	Sema3c
ENSMUSG00000028995	141.916427060801	-1.031546218085	0.288661220356709	-3.57355316661614	0.000352169696749482	0.0205224843282524	Hycc1
ENSMUSG00000029135	138.361079567979	-0.930927204323012	0.286033376607539	-3.25461040723341	0.00113548014690382	0.048062266082966	Fosl2
ENSMUSG00000037379	40.3001435437748	-4.0631530929616	0.808508558615116	-5.02549175227201	5.02144149196681e-07	0.00015728410113213	Spon2
ENSMUSG00000036596	23.098340874043	-4.56786544080283	1.07588494624513	-4.24568208407861	2.17929447708797e-05	0.00283458311924831	Cpz
ENSMUSG00000029190	1143.47723973079	-0.804595584613104	0.199544041563898	-4.03217043369072	5.52640840146929e-05	0.00576406410432925	D5Ertd579e
ENSMUSG00000072941	260.303484356022	-1.27874967166292	0.359603479036653	-3.55599916632782	0.00037654527011035	0.0218413689315397	Sod3
ENSMUSG00000039252	37.6194932499309	-2.43429972214185	0.660611406711706	-3.68491929962116	0.000228775115506112	0.0152464011817877	Lgi2
ENSMUSG00000029174	2435.80248796753	-0.631524672612289	0.190429161311999	-3.31632334176802	0.000912102323741071	0.0415513916799171	Tbc1d1
ENSMUSG00000029201	313.715087918523	-2.13969520703159	0.525544712189982	-4.07138566405764	4.67343000424214e-05	0.00522265198303896	Ugdh
ENSMUSG00000029231	276.740241423841	-1.87987175013696	0.33603837779056	-5.59421742985742	2.21619083222915e-08	1.11066619747996e-05	Pdgfra
ENSMUSG00000029484	425.412708503779	-0.835146767454796	0.184008224942475	-4.53863824682771	5.6618671076777e-06	0.00104613332628971	Anxa3
ENSMUSG00000034462	263.266491199903	-0.923937409156911	0.23123907140006	-3.99559383958273	6.45322888665941e-05	0.00632209489593606	Pkd2
ENSMUSG00000123711	90.9237752086158	-2.23888324649186	0.667108301553371	-3.35610161240475	0.00079049519132016	0.0375155842880693	ENSMUSG00000123711
ENSMUSG00000054675	70.3558101603306	-2.69494910558241	0.697542588417169	-3.86349041668934	0.000111778280528195	0.00933646717825173	Tmem119
ENSMUSG00000048578	2296.68421600468	-0.804477973382809	0.2130061059905	-3.77678362618716	0.000158866629732077	0.0116400000228842	Mlec
ENSMUSG00000038023	727.268308867209	-0.531231570040257	0.144679159504733	-3.67179054577572	0.000240857048801145	0.0157171768980705	Atp6v0a2
ENSMUSG00000044017	204.033262112704	-2.32150277202385	0.444981540137482	-5.21707658098939	1.81769121982663e-07	7.11682915412746e-05	Adgrd1
ENSMUSG00000029675	247.883366978312	-1.6767199582982	0.478482940689095	-3.5042418772202	0.000457909242584673	0.0253855969041742	Eln
ENSMUSG00000029547	633.759494022554	-0.570214933255438	0.16862883041546	-3.38147950057275	0.000720966120339187	0.0351477996954462	Ints1
ENSMUSG00000029657	1068.30031470431	-0.713212211248362	0.176683457502585	-4.03666659759546	5.42160301503788e-05	0.00576406410432925	Hsph1
ENSMUSG00000019577	11786.4304980708	-1.15294978836304	0.30511847040815	-3.77869549103586	0.000157652063518077	0.0116189570812823	Pdk4
ENSMUSG00000057137	223.285982699152	-0.994460778261132	0.257566451470358	-3.86098722323539	0.00011292980939274	0.00937018266146778	Tmem140
ENSMUSG00000038456	51.1933227688777	-1.64986842582165	0.448482408242052	-3.67878069574403	0.000234351670897855	0.0154536425509433	Dennd2a
ENSMUSG00000029860	589.42196337475	-0.813731889969615	0.214273325875487	-3.79763503760832	0.000146083197100499	0.0111262970176299	Zyx
ENSMUSG00000025823	248.207262208223	-0.94337896357151	0.246220515341114	-3.83143931879336	0.000127395796749871	0.0103645580355788	Pdia4
ENSMUSG00000033788	890.979216298851	-0.832406981471712	0.204391537987016	-4.07260980405457	4.64892711922944e-05	0.00522265198303896	Dysf
ENSMUSG00000030091	594.564365283257	-0.768861737282405	0.216934234132549	-3.54421578667304	0.000393782809722287	0.0225283325251622	Nup210
ENSMUSG00000030104	155.611438936201	-1.03064340540957	0.236881834701139	-4.35087564527637	1.35594940863125e-05	0.00204683013743866	Edem1
