Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000026311	6432	-1.85241280840143	3.53529613033159	53.4655899033905	2.63162168810798e-13	3.57426857678826e-09	Asb1
ENSMUSG00000047213	5363	-1.36085532203833	5.26633702453368	49.0531213225665	2.49123484382963e-12	1.6917975824447e-08	Ythdf3
ENSMUSG00000074743	3723	-1.62146805207689	4.80401969502021	46.27559320682	1.02735771573614e-11	4.65119083170942e-08	Thbd
ENSMUSG00000031502	7464	-1.55438781628875	6.38449895431179	44.1565828965817	3.03130668550155e-11	9.04592243085741e-08	Col4a1
ENSMUSG00000021390	2566	-1.73348571953601	4.14275790972809	43.9725623394828	3.33011428024496e-11	9.04592243085741e-08	Ogn
ENSMUSG00000036093	5409	-1.51640501017169	5.18546513008096	43.1107910111149	5.17261742380109e-11	1.17090816416777e-07	Arl5a
ENSMUSG00000035941	8628	-1.08128437436686	6.05537727561191	41.3313018545837	1.28494705527052e-10	2.39273257225365e-07	Ibtk
ENSMUSG00000042834	3908	-1.58546087367436	6.25902022538103	41.1506621449678	1.40935507127295e-10	2.39273257225365e-07	Nrep
ENSMUSG00000020122	11326	-1.62895647241295	3.65343143017008	37.0315516447902	1.16233109055515e-09	1.75408676354667e-06	Egfr
ENSMUSG00000026879	3157	-1.42137324883841	9.12308353842899	35.559728496394	2.47348632650547e-09	3.35948912865973e-06	Gsn
ENSMUSG00000022797	6185	-1.48893772166203	6.69443630356345	34.5632252058875	4.12628513650456e-09	4.53488966619943e-06	Tfrc
ENSMUSG00000027333	3894	-1.36203915622628	8.35000862072429	34.55541165761	4.14288159512666e-09	4.53488966619943e-06	Smox
ENSMUSG00000029231	10024	-2.05463217922344	3.82930183404276	34.4646804639792	4.34056587104937e-09	4.53488966619943e-06	Pdgfra
ENSMUSG00000023959	9669	-1.11471828656467	6.95730652337916	34.2533803078539	4.83834308824072e-09	4.69388398746324e-06	Clic5
ENSMUSG00000022096	6919	-1.34828767802419	5.60592601745832	33.5769186930288	6.85007745565266e-09	6.15345930641457e-06	Hr
ENSMUSG00000041935	5199	-1.44294078597745	4.06797362328895	33.4668352713131	7.24895809914837e-09	6.15345930641457e-06	Rimoc1
ENSMUSG00000067279	2725	-1.61492283414757	8.9489436634858	30.9683834097013	2.62266109824649e-08	1.87478858086231e-05	Ppp1r3c
ENSMUSG00000000753	2359	-1.58191962919946	5.48507702228929	30.6951677882214	3.019159943325e-08	1.97593832226297e-05	Serpinf1
ENSMUSG00000037400	9176	-1.36035247323611	3.86768705373879	30.6721906739499	3.05512478040954e-08	1.97593832226297e-05	Atp11b
ENSMUSG00000043639	6790	-0.992412884334647	5.7102168703059	30.3397993576941	3.62608855691756e-08	2.2386152172752e-05	Rbm20
ENSMUSG00000019278	2486	-1.3146278745037	4.26778608603096	29.7514120378539	4.91148432741749e-08	2.90033826673845e-05	Dpep1
ENSMUSG00000075232	3544	-1.11457275691386	7.56264455864202	29.4129293031772	5.84861426044055e-08	3.30982828688765e-05	Amd1
ENSMUSG00000036450	6606	-1.37764969070051	7.14351518931382	28.3503953074314	1.01226131482959e-07	5.4994132712062e-05	Hif1an
ENSMUSG00000046768	6484	-1.09812586133825	4.54124526037522	28.2715978526166	1.05431654935434e-07	5.50758745128101e-05	Rhoj
ENSMUSG00000047126	8499	-1.06085099272783	6.3253593179199	28.1333453218039	1.13237925513803e-07	5.69628705306843e-05	Cltc
ENSMUSG00000034055	6259	-0.991941053412503	9.43390006585864	27.5928943362224	1.49727796343376e-07	7.21205684857941e-05	Phka1
ENSMUSG00000044017	8321	-2.50620658238721	3.40167667621735	27.5386001999739	1.53990317043736e-07	7.21205684857941e-05	Adgrd1
ENSMUSG00000015659	4576	-1.27822618666231	3.35366630626069	27.3471942017402	1.70010950437584e-07	7.69696242947757e-05	Serac1
ENSMUSG00000040152	6073	-2.00214831517396	4.03071868452539	27.2699209360227	1.76942672184892e-07	7.75237217295226e-05	Thbs1
ENSMUSG00000033382	12045	-1.13024030494107	4.85752092246525	26.9914659656457	2.04355722194663e-07	8.67362318389971e-05	Trappc8
ENSMUSG00000037379	2947	-4.23425440589208	1.12257904574396	26.913364133214	2.12782463041159e-07	8.75761034250008e-05	Spon2
ENSMUSG00000003032	3049	-1.95152709212387	3.32831000498271	26.5132077125809	2.61742446038886e-07	0.000104558408885298	Klf4
ENSMUSG00000056579	9734	-1.01086651528261	4.74440198662993	26.4284591929761	2.73481281471549e-07	0.000106126364712759	Tug1
ENSMUSG00000041577	3615	-1.37373581555217	5.14154042280174	26.3469510281277	2.85268883693883e-07	0.000107625610509176	Prelp
ENSMUSG00000034165	8775	-1.17797552047069	4.42266607755564	26.2638019355044	2.97818752456249e-07	0.0001083463376499	Ccnd3
ENSMUSG00000004798	5977	-1.00966841858011	7.14904471001627	26.2296419648038	3.03133620283921e-07	0.0001083463376499	Ulk2
ENSMUSG00000028041	6145	-1.0742499643359	4.91157686895675	26.0946293582249	3.25086997519218e-07	0.000113213630777078	Adam15
ENSMUSG00000051495	5080	-1.38802932203177	4.18241130805294	25.9828957379724	3.444556490196e-07	0.000116959915624605	Irf2bp2
ENSMUSG00000022122	4266	-1.38197743655609	4.39131145584406	25.3094173262965	4.88318791237891e-07	0.000159647787377471	Ednrb
ENSMUSG00000023046	1112	-1.79498267506132	5.07352916348468	25.2751353428259	4.97075477432777e-07	0.000159647787377471	Igfbp6
ENSMUSG00000030110	6763	-2.18253133193945	2.50873925637208	25.2429582032199	5.05437701165605e-07	0.000159647787377471	Ret
ENSMUSG00000070436	2443	-2.21435592992648	6.07952379919927	25.1974560348923	5.17504153325365e-07	0.000159744122965116	Serpinh1
ENSMUSG00000038366	6495	-1.07648465471946	4.906337132861	24.8619463393272	6.15861994154042e-07	0.000185880835657782	Lasp1
ENSMUSG00000020363	5591	-2.39154651145141	3.68367541581852	24.8041517401474	6.34606354155354e-07	0.000187129786024264	Gfpt2
ENSMUSG00000120878	485	-3.46402979948942	1.72697491230359	24.7652164074494	6.47555584092211e-07	0.000187129786024264	Gm56663
ENSMUSG00000031328	9457	-1.04792565996278	5.42962957360925	24.0216596910693	9.52580561699881e-07	0.000264039779367506	Flna
ENSMUSG00000026028	7088	-0.990683317592661	6.12161338406717	23.8788195688164	1.02594361201969e-06	0.00027868732276903	Trak2
ENSMUSG00000045246	3806	-1.28155003878438	6.09770627416763	23.4394558731538	1.28907320324135e-06	0.000343297887184785	Kcng4
ENSMUSG00000022905	8486	-0.869887130891532	7.52778449611465	23.361892767995	1.34211141739613e-06	0.000350549178289889	Kpna1
ENSMUSG00000041460	9478	-1.37130394825017	3.77418601276614	23.2402205684796	1.4297562949313e-06	0.000366395282976547	Cacna2d4
ENSMUSG00000030643	9642	-1.78656540945612	2.91465262875244	23.0370658434405	1.58907963151324e-06	0.000399682954726163	Rab30
ENSMUSG00000026697	2074	-1.50579979844969	5.4958560972332	22.9889863955898	1.62932157714622e-06	0.000402353557469089	Myoc
ENSMUSG00000052957	2961	-1.5858964569804	4.68716276977557	22.9284259573917	1.68146791319343e-06	0.000407816021374879	Gas1
ENSMUSG00000047343	4300	-1.27885127273091	5.22511775425327	22.307785165317	2.32263070545135e-06	0.000553438074411232	Mettl21c
ENSMUSG00000005397	6943	-1.79271797836274	6.3055583969554	22.2692276996009	2.36973904061757e-06	0.00055492751120117	Nid1
ENSMUSG00000007888	1644	-2.03216506464598	1.76957746231232	22.1790310028492	2.48371684540433e-06	0.000571760037191213	Crlf1
ENSMUSG00000025203	5464	-2.40108784211366	3.83639139788137	21.9271040629236	2.83205599651216e-06	0.000641083075743803	Scd2
ENSMUSG00000029484	3643	-1.00643504964593	4.4253433964115	21.8333920283961	2.97379436380441e-06	0.000662132377855598	Anxa3
ENSMUSG00000022462	8838	-1.39065904043292	7.73117695688248	21.7720978092027	3.0703297979646e-06	0.000669566309620495	Slc38a2
ENSMUSG00000041559	3306	-1.35417384083811	6.35023145175622	21.7191440138511	3.15625757981713e-06	0.000669817038266816	Fmod
ENSMUSG00000063275	2073	-1.14972551952698	4.99298791064214	21.6857764864819	3.21163793979701e-06	0.000671084099974201	Hacd1
ENSMUSG00000058672	1610	-1.14293921969965	3.89578145565683	21.3543229152656	3.81758961971188e-06	0.000785613669923132	Tubb2a
ENSMUSG00000050697	4655	-1.2889960722778	3.57368844547243	21.1389007342771	4.2716813346578e-06	0.00086593993861675	Prkaa1
ENSMUSG00000007613	6534	-1.27857326602912	4.07824346031979	21.0125756097311	4.56278624867743e-06	0.000911349453375543	Tgfbr1
ENSMUSG00000019929	5838	-0.94338660054087	7.45719939446462	20.9406176127056	4.73742368901788e-06	0.000932517225278853	Dcn
