baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000016918	107.109832094059	-1.25232149118407	0.348216821802507	-3.59638424330439	0.000322671072298228	0.0218508293689997	Sulf1
ENSMUSG00000047343	382.322242122882	-1.07999921183387	0.255018126381845	-4.23498998740492	2.2856188971417e-05	0.00329239271496701	Mettl21c
ENSMUSG00000026028	714.225482995697	-0.798221291494121	0.20040853656007	-3.98297051211122	6.80592029715909e-05	0.00753440584007723	Trak2
ENSMUSG00000026185	1465.85618893387	-0.915456405928948	0.207729355856599	-4.40696695059755	1.04828175532087e-05	0.00181641400965454	Igfbp5
ENSMUSG00000055980	1126.82786594647	-1.10281398045311	0.26576989481693	-4.14950677996377	3.3319241954189e-05	0.00428349308391703	Irs1
ENSMUSG00000026311	115.32289081473	-1.69465665603629	0.258564146480732	-6.55410535103937	5.59764402599025e-11	1.33850863949479e-07	Asb1
ENSMUSG00000046062	186.091931558419	-0.970800075792195	0.290343322268473	-3.34362804767565	0.000826905232167493	0.0412258301379196	Ppp1r15b
ENSMUSG00000041577	359.201680618136	-1.24007569116845	0.254493976100809	-4.87271137088618	1.1007698347268e-06	0.000292462314310969	Prelp
ENSMUSG00000041559	835.758678013382	-1.12855350079346	0.292367030849916	-3.8600573310634	0.000113360425476592	0.0101144570671503	Fmod
ENSMUSG00000026478	548.015606225838	-0.714115623395036	0.184616877102129	-3.86809502253681	0.00010968892294255	0.0100098610102044	Lamc1
ENSMUSG00000026697	455.739624170956	-1.30915988357622	0.296894365678673	-4.40951407273627	1.03602826231625e-05	0.00181641400965454	Myoc
ENSMUSG00000040848	183.53289899672	-0.927584229058381	0.239105749483433	-3.87938906137701	0.000104719147235697	0.00985844192401569	Sft2d2
ENSMUSG00000040596	141.519699057929	-0.988170451662471	0.27875150033774	-3.54498702416018	0.000392632414306279	0.0252382427174509	Pogk
ENSMUSG00000038463	83.8552738205571	-2.18853377859593	0.594364535187162	-3.68214058718488	0.000231283801771406	0.0175014502150565	Olfml2b
ENSMUSG00000059498	26.3837163324442	-2.49324396637586	0.72610708350105	-3.43371387365381	0.000595372303126212	0.0325035217177032	Fcgr3
ENSMUSG00000006403	26.4741315225806	-1.6471572801326	0.477953409599746	-3.4462716387189	0.000568378718474852	0.0317548409256324	Adamts4
ENSMUSG00000026547	346.724618572502	-0.645566044874151	0.170760461847704	-3.78053583299577	0.000156491193282402	0.0129931160200306	Tagln2
ENSMUSG00000054203	39.8595598622156	-2.27559306439343	0.540874062081474	-4.20725123263657	2.5849571261276e-05	0.00363597028235078	Ifi205
ENSMUSG00000121135	107.119148092787	-1.9844653729618	0.504034495046848	-3.93716182615111	8.24510069677002e-05	0.0085720368635289	Hmga2-ps1
ENSMUSG00000063275	295.843569725827	-0.897151418433885	0.271458084456048	-3.30493534658072	0.000949983115363113	0.045247736622416	Hacd1
ENSMUSG00000026796	140.547020870925	-0.885444192477128	0.259792503224899	-3.40827460948944	0.000653750677724936	0.0344580775291925	Niban2
ENSMUSG00000026879	5687.96684445574	-1.22396243790307	0.224401558989472	-5.45434017221108	4.91550237521624e-08	2.44873943325356e-05	Gsn
ENSMUSG00000036093	340.422961577917	-1.41469277147859	0.217094181899225	-6.51649325238613	7.19700456174696e-11	1.35876506901151e-07	Arl5a
ENSMUSG00000042410	167.697629635695	-0.974766120989849	0.240427519895055	-4.05430344003602	5.0283910682063e-05	0.00595242015955193	Agps
ENSMUSG00000023224	687.43115624316	-0.985310490655095	0.277585960056232	-3.54956889914567	0.000385862476571172	0.0249371447020807	Serping1
ENSMUSG00000074971	57.1035403856359	-1.14458879153458	0.349771754222735	-3.27238771489166	0.001066432228677	0.0482964535078114	Fibin
ENSMUSG00000040152	162.681462819423	-1.7439338900401	0.356431240926524	-4.89276384838444	9.94296850491036e-07	0.000276460770801647	Thbs1
ENSMUSG00000027333	3304.05684442091	-1.18068179641279	0.201353358445812	-5.86373033718501	4.5258228147271e-09	3.86505268377694e-06	Smox
ENSMUSG00000034723	180.402470196694	-1.13695186206174	0.294274857946076	-3.86357118646569	0.000111741309608731	0.0100449556216691	Tmx4
ENSMUSG00000027274	83.6634412558855	-0.8749922371286	0.255930796429968	-3.41886263526722	0.000628834631233811	0.0338664272568984	Mkks
ENSMUSG00000027276	155.403071234932	-0.987832381818224	0.269099494659604	-3.67088159369373	0.000241715304837083	0.0178391863248899	Jag1
ENSMUSG00000074743	284.291911438395	-1.42680979918299	0.225940709289824	-6.31497441814593	2.7020616961715e-10	3.50868776984154e-07	Thbd
ENSMUSG00000017009	513.088280504966	-0.870008588549463	0.26130208210567	-3.32951265270681	0.000869981113250665	0.0424948847796582	Sdc4
ENSMUSG00000074582	297.729393508141	-0.799406716744612	0.224023766902307	-3.56840137007972	0.000359166008327346	0.023594443931658	Arfgef2
ENSMUSG00000047213	390.38070829102	-1.17203725692856	0.180832837824742	-6.48132977963031	9.09177028445306e-11	1.35876506901151e-07	Ythdf3
