Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000026311	6432	-1.85537110279863	3.58415481674593	48.9860491641284	2.57789531602524e-12	2.96921982499787e-08	Asb1
ENSMUSG00000047213	5363	-1.33725968647036	5.31948643119419	46.3774905826785	9.75295046154594e-12	5.61672417080431e-08	Ythdf3
ENSMUSG00000031502	7464	-1.53972662359791	6.43989907020927	44.8486955620899	2.12862627641883e-11	8.17250581726402e-08	Col4a1
ENSMUSG00000036093	5409	-1.5654169035991	5.13015391014353	44.2246052205928	2.92777984805760e-11	8.43054207248187e-08	Arl5a
ENSMUSG00000074743	3723	-1.59676251305961	4.87131802170305	43.5145675381907	4.20815052538269e-11	9.69389555027157e-08	Thbd
ENSMUSG00000021390	2566	-1.70880445106857	4.23484257970845	41.1383134871257	1.41828735907782e-10	2.57781626608991e-07	Ogn
ENSMUSG00000042834	3908	-1.57958627588816	6.31745292396202	40.9438611930811	1.5666534001241e-10	2.57781626608991e-07	Nrep
ENSMUSG00000037379	2947	-5.05978944818177	1.20029362353076	37.0362413359662	1.1595388922009e-09	1.66944612004624e-06	Spon2
ENSMUSG00000026879	3157	-1.42133239910085	9.17583191233913	36.4630310709627	1.5558943891316e-09	1.97690692305859e-06	Gsn
ENSMUSG00000035941	8628	-1.02478246309276	6.06356558308068	36.2717216078852	1.71636301706771e-09	1.97690692305859e-06	Ibtk
ENSMUSG00000022096	6919	-1.35774079986878	5.65079745293179	35.39644232741	2.68977745881337e-09	2.81644152460113e-06	Hr
ENSMUSG00000027333	3894	-1.36407178284446	8.39994583496567	34.1147065005194	5.19571003831995e-09	4.35033223017697e-06	Smox
ENSMUSG00000020122	11326	-1.56669139988422	3.74816644918625	34.1071800340816	5.21584530499417e-09	4.35033223017697e-06	Egfr
ENSMUSG00000029231	10024	-2.06587549432202	3.89722725382561	33.701337351865	6.42564972135328e-09	4.73732553616827e-06	Pdgfra
ENSMUSG00000022797	6185	-1.48570864903538	6.75037029475229	33.6549379380369	6.58076129351383e-09	4.73732553616827e-06	Tfrc
ENSMUSG00000023959	9669	-1.09292422213548	7.00968009668077	32.207561420513	1.38550501373099e-08	8.86569263786308e-06	Clic5
ENSMUSG00000067279	2725	-1.61218233261283	9.00044903361097	31.6151127172769	1.87961119017413e-08	1.08753167184879e-05	Ppp1r3c
ENSMUSG00000041935	5199	-1.40226238018472	4.13794899680979	31.6060498103583	1.88840366704079e-08	1.08753167184879e-05	Rimoc1
ENSMUSG00000075232	3544	-1.1224274752869	7.17441617238538	30.9408246815645	2.66016732847218e-08	1.45903844234964e-05	Amd1
ENSMUSG00000000753	2359	-1.60336945301323	5.54990141339007	30.6840462475362	3.03651461752632e-08	1.58975342566673e-05	Serpinf1
ENSMUSG00000043639	6790	-1.01051815220284	5.76852930082557	30.2253934122531	3.84640310040143e-08	1.92621177871407e-05	Rbm20
ENSMUSG00000036450	6606	-1.35019831658303	7.19347903653198	29.8371620349378	4.69898083872863e-08	2.25511922085318e-05	Hif1an
ENSMUSG00000019278	2486	-1.31039748314297	4.32753103949056	29.3038808003725	6.18716559893427e-08	2.850550934741e-05	Dpep1
ENSMUSG00000034165	8775	-1.22814841248522	4.42312354329389	29.0130884485875	7.18909273344799e-08	3.18476808091746e-05	Ccnd3
ENSMUSG00000037400	9176	-1.33214207329207	3.93434953431238	28.7462825968353	8.25081419762368e-08	3.49178660011246e-05	Atp11b
ENSMUSG00000041577	3615	-1.41063710199264	5.20413135365774	28.6912924593549	8.48845500982367e-08	3.49178660011246e-05	Prelp
ENSMUSG00000040152	6073	-1.93508343685968	4.07131830738457	27.4057276308471	1.64941987450447e-07	6.36777184526328e-05	Thbs1
ENSMUSG00000020363	5591	-2.42039315895688	3.72392230424768	27.3950389038442	1.65856186280516e-07	6.36777184526328e-05	Gfpt2
ENSMUSG00000046768	6484	-1.08053780526879	4.61527674033108	27.2517617419787	1.78612309460823e-07	6.63631154957986e-05	Rhoj
ENSMUSG00000033382	12045	-1.12804596973821	4.91104228107586	26.9319686864833	2.10744063862094e-07	7.58546914863625e-05	Trappc8
ENSMUSG00000047126	8499	-1.01814641323158	6.3926426769866	26.273494164145	2.96327844380525e-07	0.000103427397320451	Cltc
ENSMUSG00000034055	6259	-0.990354016017345	9.48542889836972	26.1366248014532	3.18092858436889e-07	0.00010775863363165	Phka1
ENSMUSG00000022122	4266	-1.38783872465355	4.44898454755174	25.7320148775187	3.92265525890067e-07	0.000128357769451462	Ednrb
ENSMUSG00000004798	5977	-0.9997287970923	7.19603627674021	25.6886110879813	4.01187680174739e-07	0.000128357769451462	Ulk2
ENSMUSG00000030110	6763	-2.10041573463222	2.59169117035158	24.8300510506698	6.26136792412501e-07	0.000194914691216411	Ret
ENSMUSG00000038366	6495	-1.05500305976538	4.91044224255585	24.1443738736025	8.93768979410132e-07	0.000270906081706471	Lasp1
ENSMUSG00000052957	2961	-1.60662372475858	4.74721731486905	24.0848216490049	9.21840577073634e-07	0.00027225025042908	Gas1
ENSMUSG00000056579	9734	-0.968941685682544	4.74807181907835	23.5957878430264	1.18847388841461e-06	0.000342221056168987	Tug1
ENSMUSG00000031328	9457	-1.02163552984718	5.48777834277585	23.3935593527007	1.32019818748123e-06	0.000358459116130798	Flna
ENSMUSG00000045246	3806	-1.27232067646858	6.14909301235259	23.365431714264	1.33964447594265e-06	0.000358459116130798	Kcng4
ENSMUSG00000051495	5080	-1.3308770665447	4.27557944296174	23.3232423659798	1.36935241446042e-06	0.000358459116130798	Irf2bp2
ENSMUSG00000026028	7088	-0.972583464649648	6.17627537370223	23.2361352699587	1.43279666668352e-06	0.000366732266819129	Trak2
ENSMUSG00000070436	2443	-2.25012441880102	6.13754205837399	23.028800168012	1.59592625232273e-06	0.000399606055962027	Serpinh1
ENSMUSG00000044017	8321	-2.48048883804403	3.4651749658689	22.9497464101326	1.6629214370745e-06	0.000407521896004767	Adgrd1
ENSMUSG00000022462	8838	-1.39167791682902	7.78421625181593	22.7714338272398	1.8245773167412e-06	0.000437822531963024	Slc38a2
ENSMUSG00000028041	6145	-0.979743395604684	4.9578848117467	22.7277098090671	1.86656735056829e-06	0.000438757607017255	Adam15
ENSMUSG00000120878	485	-3.24645312554739	1.80368764125506	22.6831893576441	1.91031841759833e-06	0.00044006095067795	Gm56663
ENSMUSG00000003032	3049	-1.79744351638917	3.3862263470713	22.4542175777709	2.15212415173457e-06	0.000486042470189779	Klf4
ENSMUSG00000007613	6534	-1.29521679809293	4.1183372187319	22.3881739347203	2.22741332263591e-06	0.000493372050963855	Tgfbr1
ENSMUSG00000023046	1112	-1.75360527473861	5.14383788880772	22.2737175157928	2.36420457833645e-06	0.000507756022440228	Igfbp6
ENSMUSG00000022905	8486	-0.858737602313236	7.57815700682631	22.2605120932232	2.38051963984827e-06	0.000507756022440228	Kpna1
