Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000059824	2993	1.622117902419	5.77280071096603	34.0805268070555	5.28778010266345e-09	4.35033223017697e-06	Dbp
ENSMUSG00000034472	3176	1.49283900534332	6.32753960708709	32.5786431820481	1.14465670274517e-08	7.75538582483462e-06	Rasd2
ENSMUSG00000038550	2261	1.59499813918666	2.85492877675605	23.4562590935185	1.27786296505148e-06	0.000358459116130798	Ciart
ENSMUSG00000135686	421	1.54018924696036	2.74686100143289	22.0289708381968	2.68565990515324e-06	0.000550649597878696	ENSMUSG00000135686
ENSMUSG00000038418	4484	1.05462097929262	4.04604950145491	18.8844751961282	1.38878305772655e-05	0.0019995004073618	Egr1
ENSMUSG00000040562	1679	1.03760579526856	5.04366413496299	18.3907572656502	1.79928646173095e-05	0.00243813899602554	Gstm2
ENSMUSG00000021815	1826	1.00453693893996	6.4329706377064	18.2352595090167	1.95230970615393e-05	0.0025846785282162	Mss51
ENSMUSG00000030189	3075	1.29518442237266	8.75120898741566	17.265941035049	3.24959683346227e-05	0.00370582735918995	Ybx3
ENSMUSG00000024515	3712	0.825541905486046	5.53772582692088	15.4455140686615	8.49182655835568e-05	0.00688794776754512	Smad4
ENSMUSG00000119584	1849	0.875593098374067	17.0312872259435	14.9622759836038	0.000109682128577424	0.0081875136511843	Rn18s-rs5
ENSMUSG00000029053	6318	1.62636149610594	2.11971211427085	14.1445831055594	0.000169283824074871	0.0116060183672284	Prkcz
ENSMUSG00000101227	3792	1.93287100909448	0.41047012063108	13.7726075790493	0.000206322730935725	0.0129859301361622	Gm29506
ENSMUSG00000033318	4156	1.21877057779193	2.27377743461242	13.7340335981931	0.000210603412678496	0.013183315800168	Gstt2
ENSMUSG00000026090	5075	2.27564385388899	1.7257738510668	13.3331979899466	0.000260748451874633	0.0152451810593504	Cracdl
ENSMUSG00000045466	2968	0.99705933897724	3.21813908790185	12.524223817274	0.000401709741376859	0.0197730461588832	Zfp956
ENSMUSG00000038605	2448	0.952705071971175	3.53399935653549	12.1836211014214	0.000482109639281414	0.0227370250905927	Samd10
ENSMUSG00000030410	2556	0.752784534319404	5.08569716894719	12.045971344831	0.000519044332589752	0.0236298522639082	Dmwd
ENSMUSG00000127030	1591	1.68464579692968	0.781053996742999	11.9770957660137	0.000538584586684339	0.0242641205812273	ENSMUSG00000127030
ENSMUSG00000074227	4556	1.45534903629397	2.15859285080709	11.5331949674307	0.000683644222228128	0.0288432752806725	Spint2
ENSMUSG00000028957	9608	0.874950739208604	4.76283913796565	11.5072412100786	0.000693255918251715	0.0291420498774571	Per3
ENSMUSG00000027559	2865	0.748956510870227	11.3663430607401	11.3902457410184	0.000738307629688338	0.0305893067580945	Car3
ENSMUSG00000098128	4065	1.64838972648911	1.53014651207122	10.9122234518907	0.00095531793308558	0.0352671536964093	Gm3693
ENSMUSG00000028195	2019	0.805286907600375	5.61720720177028	10.5047896121095	0.00119065514723579	0.0404806407268437	Ccn1
ENSMUSG00000076612	1326	1.80433048728271	2.11034332330976	10.4670222244494	0.00121524445790564	0.0409353368030123	Ighg2c
ENSMUSG00000121583	3959	0.743153903077462	4.45715061116635	10.4551648773151	0.00122306996033231	0.0409353368030123	Gm57852
ENSMUSG00000049225	4507	0.623452398825366	6.8376562441608	10.4046294158724	0.00125699786092956	0.041844223590135	Pdp1
ENSMUSG00000025196	3688	1.6820568718931	1.22682184065631	10.1330080130754	0.00145637545823721	0.0464668491079672	Cpn1
