Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR9126694_1 - polya	(1, 0.00030078144132461473)	(2, 0.0003824751661288311)	(3, 0.00046045553980558307)	(4, 0.0006052762337766938)	(5, 0.0009803246976505962)	(6, 0.0013850799705442136)	(7, 0.00152618731338786)	(8, 0.001800975296820224)	(9, 0.0020200630133406223)	(10, 0.003004101062118683)	(12, 0.0048960534615617845)	(14, 0.008173085831549099)	(16, 0.012001550843964873)	(18, 0.015705618593610592)	(20, 0.018830403567371867)	(22, 0.022618021717385535)	(24, 0.02664143766399319)	(26, 0.03089136802937617)	(28, 0.03503546788762642)	(30, 0.03864298850795807)	(32, 0.04251972708503088)	(34, 0.046713957183501895)	(36, 0.050557275600427526)	(38, 0.054430300826372874)	(40, 0.05856883065793192)	(42, 0.0627147871917459)	(44, 0.06755142703526826)	(46, 0.07200187836153432)	(48, 0.07690535852535103)	(50, 0.0816974381553438)	(52, 0.08693140656950485)	(54, 0.09184045676001276)	(56, 0.09699087477380586)	(58, 0.10168083724779337)	(60, 0.10650448036236959)	(62, 0.11168646186074614)	(64, 0.11658808534899912)	(66, 0.12161967612671336)	(68, 0.1272175529513659)	(70, 0.13259634205949805)	(72, 0.13789529411838974)	(74, 0.14365284504152326)	(76, 0.14941596599134796)	(78, 0.15467407118783752)	(80, 0.16044276216435344)	(82, 0.16579370113902964)	(84, 0.1712096237584364)	(86, 0.17669795672482877)	(88, 0.18221599650024084)
SRR9126694_2 - polya	(1, 0.0008206505991696279)	(2, 0.0009728979953956674)	(3, 0.0010620184224548125)	(4, 0.0012811061389752109)	(5, 0.0016338744960843268)	(6, 0.00203491641785048)	(7, 0.0022391507298610207)	(8, 0.0025139387132933847)	(9, 0.0028332869102553216)	(10, 0.003947292248494635)	(12, 0.00583367462124654)	(14, 0.008852629087875081)	(16, 0.012367315930020117)	(18, 0.015631351571061304)	(20, 0.019112618253059162)	(22, 0.022905806429764024)	(24, 0.02669156790421396)	(26, 0.03053302964557586)	(28, 0.034658562748188786)	(30, 0.038362630497834505)	(32, 0.04198686119823974)	(34, 0.046268355048206165)	(36, 0.05012281351851419)	(38, 0.05400883547340567)	(40, 0.05839801650606856)	(42, 0.06271293051618218)	(44, 0.06809357629987806)	(46, 0.07274083523589972)	(48, 0.07801193716133542)	(50, 0.08359496058147811)	(52, 0.08925782105086129)	(54, 0.09477400415070963)	(56, 0.09987986195097315)	(58, 0.10437858684189624)	(60, 0.10927835365458549)	(62, 0.11464971606046272)	(64, 0.11966274008253963)	(66, 0.12506566597300028)	(68, 0.1308752038119183)	(70, 0.1363709634805656)	(72, 0.1424497192762248)	(74, 0.14843564129369735)	(76, 0.1541653420833749)	(78, 0.1598931861974887)	(80, 0.16616503625177603)	(82, 0.17239975279478875)	(84, 0.1782872710073835)	(86, 0.18401697179706106)	(88, 0.1897986595025231)
SRR9126930_1 - polya	(1, 0.000623774848587595)	(2, 0.0006754249952859308)	(3, 0.0007509136712296526)	(4, 0.0009376488169851746)	(5, 0.0014263386665155833)	(6, 0.001768024252366113)	(7, 0.001954759398121635)	(8, 0.002240821749066265)	(9, 0.0024792070415201226)	(10, 0.0034565867405809405)	(12, 0.0055782158434202755)	(14, 0.009340730375983666)	(16, 0.013562136596520735)	(18, 0.017362395467055987)	(20, 0.0209441344861752)	(22, 0.02477617806237097)	(24, 0.02851088097748141)	(26, 0.03263494653693315)	(28, 0.037116590035065684)	(30, 0.04092876817022363)	(32, 0.04475286557000427)	(34, 0.04901201612851319)	(36, 0.05303278139456827)	(38, 0.057025735043170385)	(40, 0.06095511928045148)	(42, 0.06551622454273529)	(44, 0.070379284508794)	(46, 0.07499601300598371)	(48, 0.07974981304633438)	(50, 0.08503600690649869)	(52, 0.09014937142963395)	(54, 0.09512566440960823)	(56, 0.09990926261151564)	(58, 0.10451804493229024)	(60, 0.10929767004599009)	(62, 0.11468716419955105)	(64, 0.11990581556018676)	(66, 0.1248999874370951)	(68, 0.13063911335292172)	(70, 0.13646763375341855)	(72, 0.14243322569707634)	(74, 0.14832134242068662)	(76, 0.1542034995119856)	(78, 0.16007572388276559)	(80, 0.16629559347170753)	(82, 0.17202478666701523)	(84, 0.17755731199604852)	(86, 0.1833699400437151)	(88, 0.18897994059279588)
SRR9126930_2 - polya	(1, 0.0007946176415128598)	(2, 0.0009813527872683818)	(3, 0.0011402763155709539)	(4, 0.001315092196703783)	(5, 0.0017640511641585487)	(6, 0.002284525719349472)	(7, 0.0025149648353882015)	(8, 0.002721565422181545)	(9, 0.0029639238028429673)	(10, 0.00392739769317731)	(12, 0.005931820693893498)	(14, 0.009652617800277465)	(16, 0.014076651519400312)	(18, 0.017692161788283825)	(20, 0.02117258705811015)	(22, 0.024571564019681406)	(24, 0.02841552686049987)	(26, 0.03257733675792347)	(28, 0.03689807018364964)	(30, 0.040557284422816364)	(32, 0.04403572314853891)	(34, 0.0479313361360557)	(36, 0.052059374783715015)	(38, 0.05621919813703483)	(40, 0.06025784230002394)	(42, 0.06468982219556191)	(44, 0.0696978998811967)	(46, 0.0742411262465465)	(48, 0.07917570180034135)	(50, 0.08488502955461125)	(52, 0.09054866679449416)	(54, 0.09587459153673411)	(56, 0.10102967348604878)	(58, 0.10555104786625695)	(60, 0.11028299592146604)	(62, 0.1150944057408264)	(64, 0.12000315622127208)	(66, 0.1253549060368612)	(68, 0.13075035982273353)	(70, 0.13609019037369993)	(72, 0.1417677334223093)	(74, 0.14772935227775955)	(76, 0.15379029833839888)	(78, 0.15969033432663188)	(80, 0.16616646810496166)	(82, 0.1719731365203169)	(84, 0.17780960309722887)	(86, 0.1834017247493756)	(88, 0.1887892323588328)
SRR9126963_1 - polya	(1, 0.0006350378145173613)	(2, 0.0007640298705912003)	(3, 0.0009029443925168732)	(4, 0.0011013937095535485)	(5, 0.0016620130301821566)	(6, 0.002173020021551596)	(7, 0.00242108166784744)	(8, 0.002684027012921035)	(9, 0.003001545920179716)	(10, 0.004688365114991457)	(12, 0.007779213227837676)	(14, 0.013033158896383658)	(16, 0.019123072312946635)	(18, 0.025495776006286875)	(20, 0.03214630874347846)	(22, 0.038754671000799754)	(24, 0.04565574600075013)	(26, 0.05351433895540249)	(28, 0.06055432847727855)	(30, 0.06748517087478444)	(32, 0.07465415245273432)	(34, 0.08229941239157225)	(36, 0.0897288586981328)	(38, 0.0967713288364718)	(40, 0.10316139684505277)	(42, 0.11098526116922369)	(44, 0.11920850474393092)	(46, 0.12657097440599158)	(48, 0.1349802642154207)	(50, 0.1439526539619414)	(52, 0.1534261282339797)	(54, 0.16204130920983434)	(56, 0.17087478443442938)	(58, 0.17989430589374628)	(60, 0.1896927409224321)	(62, 0.19936714512797005)	(64, 0.2083891472037499)	(66, 0.21786510209225116)	(68, 0.22697392574423456)	(70, 0.2367599576906056)	(72, 0.2462036645650884)	(74, 0.2561186885675333)	(76, 0.266165185242515)	(78, 0.2763381933571076)	(80, 0.2863201940040523)	(82, 0.2959747532778866)	(84, 0.305140631108518)	(86, 0.314812554697593)	(88, 0.3241396725983168)
SRR9126963_2 - polya	(1, 0.0009525567217760421)	(2, 0.0011510060388127174)	(3, 0.001384183986330811)	(4, 0.001597517002145237)	(5, 0.0019249583752557517)	(6, 0.002267283447144017)	(7, 0.002649298382439617)	(8, 0.0030511582494388845)	(9, 0.0033041811286606457)	(10, 0.004675962032676665)	(12, 0.007675027336393422)	(14, 0.013018275197605907)	(16, 0.019264467451335268)	(18, 0.025051745659417313)	(20, 0.031161504007683957)	(22, 0.03714723153280268)	(24, 0.04390195016143852)	(26, 0.05143062112651739)	(28, 0.05823743270087536)	(30, 0.06487804297221511)	(32, 0.07145415721551795)	(34, 0.07824856570756111)	(36, 0.08520669488615955)	(38, 0.09261381564455345)	(40, 0.10010031612976203)	(42, 0.10769844435580375)	(44, 0.11558184347508568)	(46, 0.12376291656992262)	(48, 0.132216857475685)	(50, 0.14134800667583503)	(52, 0.1509901628673545)	(54, 0.1606546446070406)	(56, 0.16975354579317214)	(58, 0.1784108972488971)	(60, 0.1879513481654353)	(62, 0.19761831052158435)	(64, 0.20682139759916018)	(66, 0.21672401851929027)	(68, 0.2263438491626431)	(70, 0.23669794227903163)	(72, 0.24621110641447727)	(74, 0.2561534171980147)	(76, 0.2659072011303673)	(78, 0.27560641150053483)	(80, 0.2860225200284973)	(82, 0.29607893916933087)	(84, 0.30548543679686924)	(86, 0.3149241824384261)	(88, 0.3246159509592048)
SRR9127454_1 - polya	(1, 0.0007029574901521205)	(2, 0.0008298069620592701)	(3, 0.0008879463033500469)	(4, 0.0010676497218851755)	(5, 0.0015539060308625823)	(6, 0.001997879182537606)	(7, 0.00218815339039833)	(8, 0.0025211332541545976)	(9, 0.0027959737766200883)	(10, 0.004186032572935936)	(12, 0.00651424892189841)	(14, 0.010774277020113517)	(16, 0.015512633335311832)	(18, 0.0196220276856372)	(20, 0.023879413086520907)	(22, 0.02812094230341622)	(24, 0.0326795952000794)	(26, 0.038025771901499486)	(28, 0.04304953952848888)	(30, 0.04763726209579747)	(32, 0.05214041834850127)	(34, 0.05757116136452611)	(36, 0.062227594062451055)	(38, 0.06696066498298658)	(40, 0.07195536293933058)	(42, 0.07674657320115688)	(44, 0.08206368023193159)	(46, 0.0867756095738159)	(48, 0.09184694575277048)	(50, 0.09721690673017315)	(52, 0.10274542954745974)	(54, 0.10799382644761807)	(56, 0.11370469538077119)	(58, 0.1189821619515749)	(60, 0.12403235655187828)	(62, 0.1297379400903686)	(64, 0.13513961343574807)	(66, 0.14076591605429645)	(68, 0.14670141426061847)	(70, 0.1524492809564112)	(72, 0.15780074305249406)	(74, 0.1635274681696356)	(76, 0.16910091684155598)	(78, 0.17488313860265686)	(80, 0.18050151312921103)	(82, 0.18631016186362592)	(84, 0.19256806914437863)	(86, 0.1984057875494389)	(88, 0.2042302924678422)
SRR9127454_2 - polya	(1, 0.0009566564339664197)	(2, 0.0011680722204783357)	(3, 0.0014006295856414431)	(4, 0.0015486206361997844)	(5, 0.001929169051921233)	(6, 0.002399569176910246)	(7, 0.0026374119367361514)	(8, 0.002933394037852834)	(9, 0.003187092981667133)	(10, 0.0043287382288314784)	(12, 0.006532747803218203)	(14, 0.010454510643014243)	(16, 0.014970880382375049)	(18, 0.01919391071795057)	(20, 0.023308590462938733)	(22, 0.027624115205113216)	(24, 0.03222505125907879)	(26, 0.037190679544777415)	(28, 0.04206117072654568)	(30, 0.04645861908599353)	(32, 0.050660507842917854)	(34, 0.05578469796850043)	(36, 0.06048605652105915)	(38, 0.06525083980957146)	(40, 0.07010811750468272)	(42, 0.07517681098630591)	(44, 0.08057584163435397)	(46, 0.08596694419040782)	(48, 0.09192622667271245)	(50, 0.09821848901877335)	(52, 0.10497586609516046)	(54, 0.11103557107605826)	(56, 0.1169710692823803)	(58, 0.122274962826498)	(60, 0.12785633959041257)	(62, 0.1335698512208971)	(64, 0.13955027528185293)	(66, 0.14546991730418657)	(68, 0.15204759096203857)	(70, 0.15839270725472743)	(72, 0.1645316931555672)	(74, 0.17092173530288984)	(76, 0.17718492797830537)	(78, 0.18379959939879692)	(80, 0.19047505285791066)	(82, 0.1972218591449722)	(84, 0.20328684952053278)	(86, 0.20938883765873295)	(88, 0.2155357516515669)
SRR9127455_1 - polya	(1, 0.00067769995803301)	(2, 0.0007617123495247055)	(3, 0.0008513255671158473)	(4, 0.0009745437413036673)	(5, 0.00129379082897211)	(6, 0.001629840394938892)	(7, 0.001814667656220622)	(8, 0.002027499047999584)	(9, 0.0021731205265851893)	(10, 0.0030216456806513134)	(12, 0.004732698054032178)	(14, 0.00815760321384363)	(16, 0.01177573687408598)	(18, 0.014808584206936187)	(20, 0.01762860014800743)	(22, 0.020933087546680787)	(24, 0.024170365032160784)	(26, 0.027558864822325835)	(28, 0.031090185678026766)	(30, 0.034067024749882505)	(32, 0.03711387414798133)	(34, 0.040482771046798316)	(36, 0.04373405059752693)	(38, 0.04696852766995721)	(40, 0.05005738326380188)	(42, 0.05340947768432053)	(44, 0.05764370221550198)	(46, 0.06121702926694876)	(48, 0.0652216199280529)	(50, 0.06929622091540014)	(52, 0.07354164709878047)	(54, 0.07746502578144265)	(56, 0.08157043131233685)	(58, 0.08514375836378363)	(60, 0.08920155687283252)	(62, 0.09350299131720732)	(64, 0.09782682906597992)	(66, 0.10229068746723866)	(68, 0.10708499460836476)	(70, 0.11171127696650746)	(72, 0.11628995230280487)	(74, 0.12089663176959949)	(76, 0.12572174345427253)	(78, 0.13068127496533227)	(80, 0.13531595856262416)	(82, 0.14030629461723088)	(84, 0.14471694517054487)	(86, 0.14931522339819034)	(88, 0.1540591231044214)
SRR9127455_2 - polya	(1, 0.0011593710025853974)	(2, 0.0013666015682649128)	(3, 0.0014842189163532865)	(4, 0.0016858486559333556)	(5, 0.0020050957436017983)	(6, 0.0024083552227619365)	(7, 0.002643589918938684)	(8, 0.0029460345283087875)	(9, 0.003108458485192732)	(10, 0.003802960921524081)	(12, 0.005247974055181243)	(14, 0.008289222627180619)	(16, 0.011571306721456188)	(18, 0.014567748684659994)	(20, 0.017118924972957812)	(22, 0.020182576849354972)	(24, 0.023184619638658224)	(26, 0.026427497950237668)	(28, 0.029981222110336388)	(30, 0.033134487204324686)	(32, 0.036164534124125174)	(34, 0.03949422524024604)	(36, 0.042857521312963574)	(38, 0.04635803762511756)	(40, 0.0497577390674815)	(42, 0.05340107644517136)	(44, 0.05771651295479478)	(46, 0.06166229494185474)	(48, 0.06575369840750031)	(50, 0.07042758778748831)	(52, 0.0751742879067691)	(54, 0.07975856406916595)	(56, 0.08408800264403798)	(58, 0.08796377430485487)	(60, 0.09211958727064407)	(62, 0.09667865971559342)	(64, 0.10059923798520587)	(66, 0.10490627325568012)	(68, 0.10955775933127032)	(70, 0.11446128258133562)	(72, 0.11935920500530146)	(74, 0.12446435799494682)	(76, 0.1294854985931005)	(78, 0.13455704662614917)	(80, 0.1399730454643138)	(82, 0.14481776004033492)	(84, 0.14994251592132835)	(86, 0.15519889121565875)	(88, 0.16066529748871838)
