Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126694_1	(1, 0.0)	(2, 0.0035239702199636957)	(3, 0.0008874909194639867)	(4, 0.014560049770787831)	(5, 0.0002859280368147572)	(6, 0.002291137645645522)	(7, 1.8566755637321898e-05)	(8, 0.0)	(9, 0.0)	(10, 1.8566755637321898e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 7.426702254928759e-06)	(24, 0.00015039072066230737)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.00013553731615244984)	(40, 0.0014537769664023047)	(42, 1.8566755637321898e-06)	(44, 0.0)	(46, 1.8566755637321898e-06)	(48, 0.0)	(50, 2.4138101281727608e-05)	(52, 0.0004921612182717359)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 5.578851600092743e-06)	(62, 1.1161987242257854e-05)	(64, 0.004053106714670983)	(66, 0.0)	(68, 0.00025329712773722004)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.8663894008343172e-06)	(80, 5.601620795367415e-06)	(82, 3.175732264548735e-05)	(84, 0.0006784235790880698)	(86, 0.0)	(88, 0.0)	(90, 0.000979444255463932)	(92, 0.0)	(94, 0.0)	(96, 0.0017392509012413347)	(98, 2.0793220926063145e-05)	(100, 0.0)
SRR9126694_2	(1, 0.0)	(2, 0.010542203850871373)	(3, 0.0)	(4, 0.0)	(5, 7.426702254928759e-06)	(6, 0.0004938756999527625)	(7, 0.00011511388495139577)	(8, 0.0003267748992168654)	(9, 0.0010137448577977755)	(10, 0.001036024964562562)	(12, 2.9706809019715037e-05)	(14, 2.5993457892250656e-05)	(16, 5.7556942475697883e-05)	(18, 0.001832538781403671)	(20, 0.0001448206939711108)	(22, 3.7133511274643796e-06)	(24, 7.24103469855554e-05)	(26, 0.0005570026691196568)	(28, 0.00011140053382393139)	(30, 0.0011734189562787438)	(32, 0.0)	(34, 0.001409216752872732)	(36, 1.8566755637321898e-06)	(38, 5.57002669119657e-06)	(40, 4.827356465703693e-05)	(42, 0.002062766551306463)	(44, 0.0020869033336349814)	(46, 0.0002339411210302559)	(48, 2.228010676478628e-05)	(50, 0.0005867415061647036)	(52, 0.001593486776947714)	(54, 0.0)	(56, 5.5749614802682325e-06)	(58, 0.0)	(60, 1.8596167504681258e-06)	(62, 3.7206741117355643e-06)	(64, 3.535795133796814e-05)	(66, 7.446539524202612e-06)	(68, 0.00020487636288878502)	(70, 0.00011926094884458128)	(72, 0.0009246431665001781)	(74, 0.00016224612793554763)	(76, 0.0)	(78, 3.7330853668709247e-06)	(80, 2.054146479542139e-05)	(82, 5.418228073883631e-05)	(84, 0.00015889130210506114)	(86, 9.725729745349534e-05)	(88, 0.0005240462358507516)	(90, 3.7472460083867115e-06)	(92, 1.1257018328789813e-05)	(94, 0.00022561160203151217)	(96, 0.0010125976403414518)	(98, 0.0002707251406970862)	(100, 0.0)
SRR9126930_1	(1, 0.0)	(2, 0.0036949720330347983)	(3, 0.0009495680816078675)	(4, 0.014481906516571871)	(5, 0.00021454676320847214)	(6, 0.002356041307085629)	(7, 3.5757793868078686e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.9865441037821493e-06)	(24, 0.0001370715431609683)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.00014104463136853262)	(40, 0.0015495044009500765)	(42, 1.9865441037821493e-06)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 2.1852839916604e-05)	(52, 0.00045302240154049874)	(54, 0.0)	(56, 1.987632236675798e-06)	(58, 3.975985998803865e-06)	(60, 3.97669640002798e-06)	(62, 5.966131346250976e-06)	(64, 0.004097531187732072)	(66, 0.0)	(68, 0.0003144079137825047)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 9.964834299055319e-06)	(82, 2.5917583122374174e-05)	(84, 0.0006541697899285295)	(86, 0.0)	(88, 1.9964108127126888e-06)	(90, 0.0009390989158083036)	(92, 2.000144010368747e-06)	(94, 2.003308744855353e-06)	(96, 0.0017439779957046245)	(98, 3.2243925944649794e-05)	(100, 0.0)
SRR9126930_2	(1, 0.0)	(2, 0.010198917428817556)	(3, 0.0)	(4, 0.0)	(5, 1.9865441037821495e-05)	(6, 0.0006277479367951592)	(7, 0.00010727338160423607)	(8, 0.0003615510268883512)	(9, 0.0009892989636835104)	(10, 0.0010548549191083214)	(12, 2.5825073349167944e-05)	(14, 2.1851985141603643e-05)	(16, 4.7677058490771584e-05)	(18, 0.0018176878549606668)	(20, 0.00010528683750045394)	(22, 0.0)	(24, 6.158286721724663e-05)	(26, 0.000544313084436309)	(28, 0.00010727338160423607)	(30, 0.0010866396247688358)	(32, 0.0)	(34, 0.0013727019757134654)	(36, 0.0)	(38, 9.932720518910747e-06)	(40, 9.138102877397888e-05)	(42, 0.00209779057359395)	(44, 0.002075938588452346)	(46, 0.00021256021910469)	(48, 2.1851985141603643e-05)	(50, 0.0005781071650959634)	(52, 0.0015359069716446737)	(54, 0.0)	(56, 3.975275377263572e-06)	(58, 1.9879993623293246e-06)	(60, 5.9650810122623185e-06)	(62, 1.988724133038087e-06)	(64, 3.182581540275182e-05)	(66, 5.968587206162224e-06)	(68, 0.00020098666543023387)	(70, 0.00010350360087036974)	(72, 0.0008322042498401392)	(74, 0.00011749347622451801)	(76, 0.0)	(78, 0.0)	(80, 2.7905034702103192e-05)	(82, 6.979000884239412e-05)	(84, 0.00012168785361916732)	(86, 8.582628416779302e-05)	(88, 0.000509328165589897)	(90, 1.9995642949401326e-06)	(92, 1.2015357068175979e-05)	(94, 0.00023890123100383886)	(96, 0.0009918906976046063)	(98, 0.00028559979694462096)	(100, 0.0)
SRR9126963_1	(1, 0.0)	(2, 0.0041674356577701835)	(3, 0.001086510010775798)	(4, 0.014471916444899554)	(5, 0.0002331779475180936)	(6, 0.0023119345434772683)	(7, 2.976739755550131e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 9.92246585183377e-06)	(24, 0.0001686819194811741)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.00014139513838863123)	(40, 0.0013742615204789773)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 1.9854580584518355e-05)	(52, 0.00043764289910968516)	(54, 0.0)	(56, 0.0)	(58, 5.005810619822224e-06)	(60, 2.5087116894951485e-06)	(62, 5.029553783772291e-06)	(64, 0.0038420090258472666)	(66, 0.0)	(68, 0.0002534951531473223)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 3.371611060803504e-05)	(84, 0.0006508275715134542)	(86, 5.228358490974442e-06)	(88, 2.6253549217318692e-06)	(90, 0.0008889336022783923)	(92, 2.652270214668651e-06)	(94, 5.337210567740971e-06)	(96, 0.0016647734134285096)	(98, 4.33656797938916e-05)	(100, 0.0)
SRR9126963_2	(1, 0.0)	(2, 0.01036897681516629)	(3, 0.0)	(4, 0.0)	(5, 9.92246585183377e-06)	(6, 0.00048123959381393786)	(7, 4.465109633325197e-05)	(8, 0.00030263520848093)	(9, 0.0010170527498129613)	(10, 0.0011063549424794655)	(12, 9.92246585183377e-06)	(14, 1.984493170366754e-05)	(16, 2.976739755550131e-05)	(18, 0.0017984469356448708)	(20, 0.0001339532889997559)	(22, 2.4806164629584426e-06)	(24, 6.945726096283639e-05)	(26, 0.0005556580877026911)	(28, 0.00010914712437017147)	(30, 0.001076587544923964)	(32, 0.0)	(34, 0.0013817033698678527)	(36, 4.961232925916885e-06)	(38, 7.441849388875328e-06)	(40, 1.4883698777750655e-05)	(42, 0.0021035627605887593)	(44, 0.0020812372124221334)	(46, 0.00018604623472188322)	(48, 7.441849388875328e-06)	(50, 0.0005906740216006015)	(52, 0.0015690489844908584)	(54, 0.0)	(56, 7.491637272603525e-06)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.7731455742348756e-05)	(66, 7.583728534066791e-06)	(68, 0.00016731073695360306)	(70, 7.628090514515213e-05)	(72, 0.0009257617144433671)	(74, 0.00015859476849576317)	(76, 0.0)	(78, 2.5751326495892625e-06)	(80, 3.1011309023275304e-05)	(82, 3.891064815567808e-05)	(84, 0.0001171764506268823)	(86, 7.583354202811265e-05)	(88, 0.0005830506697558197)	(90, 2.639099269085623e-06)	(92, 1.5924081199756373e-05)	(94, 0.0002350284663540592)	(96, 0.0010187952083635648)	(98, 0.00025756137850320074)	(100, 0.0)
SRR9127454_1	(1, 0.0)	(2, 0.003261088506946303)	(3, 0.0007452406474545037)	(4, 0.014756821898531735)	(5, 0.00020613039184911805)	(6, 0.0022145803637123197)	(7, 3.171236797678739e-05)	(8, 0.0)	(9, 0.0)	(10, 5.285394662797899e-06)	(12, 2.6426973313989494e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 5.285394662797899e-06)	(24, 0.0001717753265409317)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 2.6426973313989494e-06)	(38, 0.00014534835322694222)	(40, 0.0014006295856414431)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 1.8499800440009827e-05)	(52, 0.00040179329865346107)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 2.6464418523134598e-06)	(62, 1.588399810292116e-05)	(64, 0.0038291690634281463)	(66, 0.0)	(68, 0.0002544074433257731)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 2.6562755998560936e-06)	(82, 2.1259970560787268e-05)	(84, 0.0006380890000156332)	(86, 2.6600060116135863e-06)	(88, 0.0)	(90, 0.0010202050953197865)	(92, 0.0)	(94, 0.0)	(96, 0.0017384948530089189)	(98, 3.763810462355349e-05)	(100, 0.0)
SRR9127454_2	(1, 0.0)	(2, 0.010676497218851754)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0005126832822913962)	(7, 0.00011099328791875588)	(8, 0.0003752630210586508)	(9, 0.0009619418286292174)	(10, 0.0010676497218851755)	(12, 1.5856183988393696e-05)	(14, 1.3213486656994746e-05)	(16, 5.549664395937794e-05)	(18, 0.0019000993812758448)	(20, 0.00010570789325595797)	(22, 0.0)	(24, 6.078203862217584e-05)	(26, 0.0005391102556053857)	(28, 0.00013742026123274536)	(30, 0.001091433997867766)	(32, 0.0)	(34, 0.0014191284669612357)	(36, 2.6426973313989494e-06)	(38, 5.285394662797899e-06)	(40, 5.0211249296580033e-05)	(42, 0.0019635241172294192)	(44, 0.001989951090543409)	(46, 0.00022727197050030965)	(48, 1.3213486656994746e-05)	(50, 0.0004942087586953322)	(52, 0.0015754498808156305)	(54, 0.0)	(56, 5.289536255248476e-06)	(58, 2.6455401589821488e-06)	(60, 0.0)	(62, 0.0)	(64, 3.9721738102505285e-05)	(66, 1.5894018683418962e-05)	(68, 0.0002067079923645248)	(70, 9.809681572433627e-05)	(72, 0.0007824042742294625)	(74, 0.00014592355001538963)	(76, 2.6542300065479856e-06)	(78, 2.655301128141858e-06)	(80, 4.515996243116161e-05)	(82, 4.5182133432301695e-05)	(84, 0.0001595453510585382)	(86, 0.00011174250652755825)	(88, 0.0005511024818460985)	(90, 0.0)	(92, 2.6681100074563e-06)	(94, 0.00024060248787784514)	(96, 0.0008673864416596416)	(98, 0.00027445927218136784)	(100, 0.0)
SRR9127455_1	(1, 0.0)	(2, 0.0034893146599550844)	(3, 0.00098574539350256)	(4, 0.014332513988483245)	(5, 0.00024083552227619363)	(6, 0.002430758527159722)	(7, 1.6802478298339092e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.800413049723182e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 5.600826099446364e-06)	(24, 0.000154022717734775)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 5.600826099446364e-06)	(38, 0.00013161941333698956)	(40, 0.0014226098292593765)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.800413049723182e-06)	(50, 1.9603286608619655e-05)	(52, 0.00045651806835498253)	(54, 0.0)	(56, 2.801363389945526e-06)	(58, 2.8017036263206494e-06)	(60, 5.604177712734446e-06)	(62, 2.8024813393977536e-06)	(64, 0.004027685587595603)	(66, 0.0)	(68, 0.00024392683854667605)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 1.684196485435616e-05)	(82, 2.5269922786066264e-05)	(84, 0.0006628244754004071)	(86, 0.0)	(88, 2.810774711347491e-06)	(90, 0.0010407524043560493)	(92, 2.815337429029918e-06)	(94, 0.0)	(96, 0.0016640103816136134)	(98, 1.700877357897933e-05)	(100, 0.0)
SRR9127455_2	(1, 0.0)	(2, 0.009969470457014528)	(3, 0.0)	(4, 0.0)	(5, 1.1201652198892728e-05)	(6, 0.00055448178384519)	(7, 0.00013441982638671274)	(8, 0.00031924708766844275)	(9, 0.0009465396108064355)	(10, 0.0010109491109500687)	(12, 8.401239149169546e-06)	(14, 1.400206524861591e-05)	(16, 2.5203717447508638e-05)	(18, 0.0018230688953697915)	(20, 8.961321759114182e-05)	(22, 2.800413049723182e-06)	(24, 8.121197844197228e-05)	(26, 0.00047326980540321776)	(28, 0.00012881900028726637)	(30, 0.0011481693503865046)	(32, 0.0)	(34, 0.0014646160250052242)	(36, 2.800413049723182e-06)	(38, 5.600826099446364e-06)	(40, 6.440950014363319e-05)	(42, 0.002061104004596262)	(44, 0.0020218982219001374)	(46, 0.0002044301526297923)	(48, 1.9602891348062274e-05)	(50, 0.0005880987629538555)	(52, 0.001607616719975685)	(54, 0.0)	(56, 2.8013652733796343e-06)	(58, 5.603419497955467e-06)	(60, 0.0)	(62, 8.407493026825284e-06)	(64, 3.643733048232711e-05)	(66, 5.606582464207928e-06)	(68, 0.0001514061127750674)	(70, 8.97402597184074e-05)	(72, 0.0008947598599170695)	(74, 0.00016832261992586904)	(76, 0.0)	(78, 0.0)	(80, 2.8072767983344987e-05)	(82, 6.73950934293968e-05)	(84, 0.00012359927956227202)	(86, 9.273706361520886e-05)	(88, 0.0005538941075367135)	(90, 0.0)	(92, 1.1268799174222397e-05)	(94, 0.00020601188976456173)	(96, 0.0010144789381137244)	(98, 0.00024413159453727737)	(100, 0.0)
