Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126694_1	(1, 35.82987337509789)	(2, 35.82153367120125)	(3, 36.118472165444054)	(4, 36.13154234447548)	(5, 36.20362866444165)	(6, 36.37147673995844)	(7, 36.35256456839924)	(8, 36.34928987544046)	(9, 36.419818370341645)	(10, 36.38794821865534)	(12, 36.37559633169925)	(14, 36.383778886576174)	(16, 36.366087404933104)	(18, 36.360332119154165)	(20, 36.35435236129956)	(22, 36.34942474435341)	(24, 36.32387438208444)	(26, 36.285754883251684)	(28, 36.28800350302692)	(30, 36.279511811668634)	(32, 36.263562745775104)	(34, 36.24922638827624)	(36, 36.232457822922385)	(38, 36.21735723919473)	(40, 36.212092747034305)	(42, 36.17886378733668)	(44, 36.171771230982955)	(46, 36.15064911420051)	(48, 36.117666145448325)	(50, 36.075309193971684)	(52, 36.08528830310213)	(54, 36.09294835859783)	(56, 36.071510326655286)	(58, 36.06907905493786)	(60, 36.0510604084904)	(62, 36.03097527302069)	(64, 36.04139893111591)	(66, 36.0201409079084)	(68, 36.00684463479888)	(70, 36.0057805255188)	(72, 35.98897790826723)	(74, 35.98382695077464)	(76, 35.986382276461555)	(78, 35.950422116063336)	(80, 35.93576766024903)	(82, 35.935012687373444)	(84, 35.93540412390267)	(86, 35.9238588547759)	(88, 35.90825804926594)	(90, 35.9063879676037)	(92, 35.89943178385208)	(94, 35.911159108973536)	(96, 35.94603749519809)	(98, 35.954341352819576)	(100, 35.74737815935358)
SRR9126694_2	(1, 36.37457022138219)	(2, 36.21953019944075)	(3, 36.29632308056045)	(4, 36.269605370664294)	(5, 36.27033110800865)	(6, 36.36042773794569)	(7, 36.31584398176997)	(8, 36.300842674484706)	(9, 36.408094095426364)	(10, 36.32310826204659)	(12, 36.32065774737055)	(14, 36.32705210087853)	(16, 36.280329324486104)	(18, 36.26421523726847)	(20, 36.26577163269328)	(22, 36.24899500936748)	(24, 36.22831389016494)	(26, 36.210685702591846)	(28, 36.196712288032174)	(30, 36.18522507345287)	(32, 36.16888138973503)	(34, 36.141426746740876)	(36, 36.130310904407835)	(38, 36.10865686864314)	(40, 36.09455851838479)	(42, 36.05457424888283)	(44, 36.03363520031097)	(46, 36.00463682441935)	(48, 35.9753936272879)	(50, 35.94364483973747)	(52, 35.92935880212174)	(54, 35.936206494780905)	(56, 35.91828090249788)	(58, 35.932097339706125)	(60, 35.905207513740166)	(62, 35.85613617908923)	(64, 35.85611141128464)	(66, 35.840444246394455)	(68, 35.83647657001464)	(70, 35.80428290451896)	(72, 35.78467517234017)	(74, 35.79186276425916)	(76, 35.792294029330606)	(78, 35.73792350902109)	(80, 35.7484468658932)	(82, 35.73477412418259)	(84, 35.708231306731236)	(86, 35.666428594026)	(88, 35.69658495117023)	(90, 35.69477527737598)	(92, 35.67720460515193)	(94, 35.69176245420173)	(96, 35.74252938827512)	(98, 35.76411848753298)	(100, 35.57885953450987)
SRR9126930_1	(1, 35.90360827130217)	(2, 35.91592849998677)	(3, 36.18926771137167)	(4, 36.196488640265386)	(5, 36.273563015443635)	(6, 36.42899447732793)	(7, 36.412284224559265)	(8, 36.41485111765753)	(9, 36.474468577600256)	(10, 36.445200227356)	(12, 36.43385487532488)	(14, 36.43894452051143)	(16, 36.427143693648205)	(18, 36.423895336460575)	(20, 36.416581198917505)	(22, 36.41275294964055)	(24, 36.386492386092954)	(26, 36.35590157357337)	(28, 36.35991196907921)	(30, 36.3523379121056)	(32, 36.338107780188736)	(34, 36.323965612444795)	(36, 36.30792625535086)	(38, 36.297670224779054)	(40, 36.290363536776375)	(42, 36.25679247106142)	(44, 36.248837176408855)	(46, 36.22877844462973)	(48, 36.19122648358888)	(50, 36.152271472957906)	(52, 36.16257352129483)	(54, 36.17046453848266)	(56, 36.15023011149984)	(58, 36.14795384307557)	(60, 36.13553067961098)	(62, 36.11580318930099)	(64, 36.12445464471093)	(66, 36.10581681955455)	(68, 36.098272816483046)	(70, 36.09668831158947)	(72, 36.07993637071618)	(74, 36.07505643807925)	(76, 36.076153284983604)	(78, 36.04781970537053)	(80, 36.03612363593628)	(82, 36.03380857371759)	(84, 36.03333466469728)	(86, 36.023143753337095)	(88, 36.015128800485584)	(90, 36.012458896846255)	(92, 36.004289010450265)	(94, 36.01912413376961)	(96, 36.05172082912571)	(98, 36.05910159592472)	(100, 35.871655278764386)
SRR9126930_2	(1, 36.11531848791574)	(2, 35.71744640244412)	(3, 35.9364139017085)	(4, 35.92290722942336)	(5, 35.90890324568727)	(6, 36.09143355300008)	(7, 36.0290793901691)	(8, 36.02485949372208)	(9, 36.163383915778795)	(10, 36.048153213247005)	(12, 36.03851160090106)	(14, 36.07513286602929)	(16, 36.02812549142135)	(18, 36.00956658057514)	(20, 36.00916343131472)	(22, 35.99878967813933)	(24, 35.97228915992943)	(26, 35.95466897063403)	(28, 35.93938199725396)	(30, 35.92827362006899)	(32, 35.90923233658351)	(34, 35.87576385600607)	(36, 35.86667484063348)	(38, 35.84767912846973)	(40, 35.82975475954115)	(42, 35.78289925622994)	(44, 35.761694069983086)	(46, 35.73138858479313)	(48, 35.698356647282495)	(50, 35.666361445214974)	(52, 35.648633620526425)	(54, 35.65780270050878)	(56, 35.63700931209728)	(58, 35.65466085604878)	(60, 35.62516574162345)	(62, 35.56718612814509)	(64, 35.57232917721895)	(66, 35.555049615892486)	(68, 35.55258383444686)	(70, 35.51583450276644)	(72, 35.49371148124889)	(74, 35.50461797567645)	(76, 35.50440641221434)	(78, 35.446811184987936)	(80, 35.45603373081333)	(82, 35.43881685998904)	(84, 35.414851365221814)	(86, 35.36328109757956)	(88, 35.40028919027321)	(90, 35.40370486611195)	(92, 35.37688609135172)	(94, 35.40514393556721)	(96, 35.468877177110244)	(98, 35.49511335790733)	(100, 35.31639633477444)
SRR9126963_1	(1, 35.95821748854451)	(2, 36.029106164431134)	(3, 36.253330723724815)	(4, 36.24913778732981)	(5, 36.326334174758436)	(6, 36.46666289612964)	(7, 36.44972435389864)	(8, 36.4497344748138)	(9, 36.50960891593092)	(10, 36.47383470561036)	(12, 36.45660885838062)	(14, 36.46686075009873)	(16, 36.455672772952155)	(18, 36.448014564195375)	(20, 36.44767238796048)	(22, 36.44438304091827)	(24, 36.419052325131425)	(26, 36.385621850857405)	(28, 36.3907716106345)	(30, 36.384277604796125)	(32, 36.37288840004207)	(34, 36.35839033789965)	(36, 36.342015490953685)	(38, 36.33302328108162)	(40, 36.32311165552374)	(42, 36.290566017142055)	(44, 36.283492737747245)	(46, 36.260316784644786)	(48, 36.22368676164451)	(50, 36.18622193343319)	(52, 36.195145646432934)	(54, 36.19844213020855)	(56, 36.185885030016465)	(58, 36.18143244388277)	(60, 36.16470077796106)	(62, 36.1416690022549)	(64, 36.14799657611893)	(66, 36.132016224318434)	(68, 36.12196797659257)	(70, 36.121006244322444)	(72, 36.108176745503755)	(74, 36.09677483620388)	(76, 36.098532402933046)	(78, 36.06884122923201)	(80, 36.05589696267861)	(82, 36.05463945410125)	(84, 36.04819879997167)	(86, 36.04033233735824)	(88, 36.03028218019848)	(90, 36.03028182870848)	(92, 36.02832931552174)	(94, 36.039998101239675)	(96, 36.072147667860136)	(98, 36.08381672275688)	(100, 35.90002271268712)
SRR9126963_2	(1, 36.5178656974402)	(2, 36.36160501838633)	(3, 36.44040537241991)	(4, 36.42337871869214)	(5, 36.43064424586283)	(6, 36.50859786627294)	(7, 36.47183979385085)	(8, 36.46048005882038)	(9, 36.558556985713636)	(10, 36.48575297624363)	(12, 36.477180908381904)	(14, 36.48790327381839)	(16, 36.46153327895822)	(18, 36.44557515077187)	(20, 36.449671913666606)	(22, 36.43900816519715)	(24, 36.41966756762656)	(26, 36.40542128805514)	(28, 36.39320658375455)	(30, 36.385920566691865)	(32, 36.3777123060406)	(34, 36.351469641223474)	(36, 36.34155498931351)	(38, 36.326982285421714)	(40, 36.31297918068215)	(42, 36.27434149555374)	(44, 36.2576834366262)	(46, 36.227045590753846)	(48, 36.19613333908836)	(50, 36.167923727433426)	(52, 36.16127094741113)	(54, 36.16443376446112)	(56, 36.15464827726214)	(58, 36.16471905325014)	(60, 36.14230936129741)	(62, 36.09912481646239)	(64, 36.10139444162904)	(66, 36.08879659329758)	(68, 36.08472790893978)	(70, 36.059570228100995)	(72, 36.043787674758825)	(74, 36.045528302560356)	(76, 36.04386493329808)	(78, 35.99823291992116)	(80, 36.0073276245887)	(82, 35.99754985654876)	(84, 35.97133261604633)	(86, 35.93899648863243)	(88, 35.964862019721195)	(90, 35.967228154499125)	(92, 35.95229719917957)	(94, 35.966982364831914)	(96, 36.002172129636335)	(98, 36.01972469224487)	(100, 35.85005620306826)
SRR9127454_1	(1, 35.824472518934)	(2, 35.79807868504455)	(3, 36.116469696744666)	(4, 36.12067480959234)	(5, 36.18516301980601)	(6, 36.35480294119528)	(7, 36.33113203692821)	(8, 36.325721906951365)	(9, 36.401555481078475)	(10, 36.35255749412674)	(12, 36.35110815962928)	(14, 36.35919885679027)	(16, 36.33798597816508)	(18, 36.332329707358795)	(20, 36.32171901330349)	(22, 36.32147630798058)	(24, 36.2975505155559)	(26, 36.25821711058784)	(28, 36.259479209979375)	(30, 36.24942728784782)	(32, 36.23526824408566)	(34, 36.221561841522416)	(36, 36.20631139018934)	(38, 36.18959839087216)	(40, 36.18367592116368)	(42, 36.151054412450954)	(44, 36.14372330578392)	(46, 36.1197380262423)	(48, 36.08473565864976)	(50, 36.04349353203011)	(52, 36.05404587356333)	(54, 36.06363276677099)	(56, 36.03893642037605)	(58, 36.03498014066032)	(60, 36.01842971087582)	(62, 36.00135047777435)	(64, 36.00827893846419)	(66, 35.986315718238686)	(68, 35.97243159660568)	(70, 35.97133186929251)	(72, 35.96064505914015)	(74, 35.95292313482673)	(76, 35.951988829333814)	(78, 35.91852332080945)	(80, 35.90043768137865)	(82, 35.90202980945453)	(84, 35.90162691429353)	(86, 35.888596539184775)	(88, 35.87003287056693)	(90, 35.86908866978449)	(92, 35.86036885988301)	(94, 35.876620787839116)	(96, 35.908658706995624)	(98, 35.913596007986115)	(100, 35.690178065804986)
SRR9127454_2	(1, 36.421067572555124)	(2, 36.21262957739623)	(3, 36.305505906613526)	(4, 36.26557115586772)	(5, 36.25450808488323)	(6, 36.37049379803862)	(7, 36.32091510477529)	(8, 36.30939188733145)	(9, 36.410748579431264)	(10, 36.32730657397917)	(12, 36.31753435493317)	(14, 36.32806854290072)	(16, 36.29653762252272)	(18, 36.27717775041235)	(20, 36.27469681258461)	(22, 36.263166565565875)	(24, 36.240781465685394)	(26, 36.222850209325415)	(28, 36.21147429583083)	(30, 36.19755771954882)	(32, 36.18319246611388)	(34, 36.15615532041305)	(36, 36.14658986600626)	(38, 36.12648837374378)	(40, 36.112334113263785)	(42, 36.06940338940732)	(44, 36.050789075068096)	(46, 36.020847287876364)	(48, 35.99243837084475)	(50, 35.96153290169812)	(52, 35.94827789937485)	(54, 35.954547331444076)	(56, 35.938992563414786)	(58, 35.953185313253655)	(60, 35.9280755861959)	(62, 35.880821913132365)	(64, 35.88611512548819)	(66, 35.870752411947066)	(68, 35.86749599673776)	(70, 35.83397011826214)	(72, 35.81547533989964)	(74, 35.82051953431238)	(76, 35.81971505931861)	(78, 35.770759500706724)	(80, 35.77883581603679)	(82, 35.76066571599694)	(84, 35.73733804678376)	(86, 35.69367046539183)	(88, 35.72577138833603)	(90, 35.727320563166955)	(92, 35.704000099936884)	(94, 35.71960836569234)	(96, 35.761183112938966)	(98, 35.782434961502986)	(100, 35.59242745427519)
SRR9127455_1	(1, 35.889328516398855)	(2, 35.910238360517226)	(3, 36.18670717856201)	(4, 36.19612491163997)	(5, 36.26993506234196)	(6, 36.41747297559401)	(7, 36.39728507795986)	(8, 36.39394356910067)	(9, 36.460538623604826)	(10, 36.427359721849534)	(12, 36.41264105890563)	(14, 36.42560139850387)	(16, 36.40780740596115)	(18, 36.39941227171243)	(20, 36.39698554578006)	(22, 36.39333419922105)	(24, 36.370936355628714)	(26, 36.33526948290765)	(28, 36.338076560940436)	(30, 36.33208238882402)	(32, 36.318935177662965)	(34, 36.306265436926886)	(36, 36.29050258396913)	(38, 36.27872485880177)	(40, 36.27371399571952)	(42, 36.24116602702432)	(44, 36.23549535862341)	(46, 36.21390215771265)	(48, 36.18126253149835)	(50, 36.14228227166923)	(52, 36.15582485956289)	(54, 36.160910603207384)	(56, 36.14502940886359)	(58, 36.14314490525463)	(60, 36.12822198525731)	(62, 36.11061916941982)	(64, 36.11809650695696)	(66, 36.099245238698714)	(68, 36.09161944471525)	(70, 36.09265946649309)	(72, 36.07912311429709)	(74, 36.0748283425292)	(76, 36.07941434990359)	(78, 36.04577757452849)	(80, 36.03517726588507)	(82, 36.03477893655712)	(84, 36.03618719934977)	(86, 36.02638499803617)	(88, 36.01308628050792)	(90, 36.01279187050223)	(92, 36.007455334573095)	(94, 36.020055240472715)	(96, 36.049463326074104)	(98, 36.058351849262635)	(100, 35.864853521458436)
SRR9127455_2	(1, 36.399315321412644)	(2, 36.21219261756232)	(3, 36.29601267668576)	(4, 36.26539094410269)	(5, 36.26818956488806)	(6, 36.36139184785199)	(7, 36.30343522748231)	(8, 36.301295319854496)	(9, 36.384689044095246)	(10, 36.31850383004092)	(12, 36.31909869378094)	(14, 36.335213894708616)	(16, 36.306051065307926)	(18, 36.28397871372436)	(20, 36.28752322452552)	(22, 36.275211796639155)	(24, 36.25373262854778)	(26, 36.23626353992709)	(28, 36.225030215056606)	(30, 36.21727799963583)	(32, 36.20439111487188)	(34, 36.17821142547241)	(36, 36.170252315535535)	(38, 36.151202085702835)	(40, 36.13783210168367)	(42, 36.096434631722445)	(44, 36.077927037926386)	(46, 36.050392676718246)	(48, 36.022931994377444)	(50, 35.99201574927253)	(52, 35.98156060984928)	(54, 35.990622283624475)	(56, 35.97791374135645)	(58, 35.99221282096647)	(60, 35.96955072091043)	(62, 35.92320613460021)	(64, 35.92767186498419)	(66, 35.91428108136537)	(68, 35.90987295705649)	(70, 35.88275128643782)	(72, 35.866280590165765)	(74, 35.87410762566155)	(76, 35.87648750150603)	(78, 35.82357472392441)	(80, 35.83879163793895)	(82, 35.82633682801565)	(84, 35.8033179450284)	(86, 35.76463779951335)	(88, 35.792579480840615)	(90, 35.795763420667)	(92, 35.77684405726034)	(94, 35.794364121760005)	(96, 35.834944443558584)	(98, 35.85258480910451)	(100, 35.675198689761956)
