Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR9126694_1	(0.0, 188.0)	(1.0, 297.0)	(2.0, 1237.5)	(3.0, 2104.0)	(4.0, 1824.5)	(5.0, 1594.0)	(6.0, 2117.5)	(7.0, 3488.0)	(8.0, 5139.5)	(9.0, 6395.5)	(10.0, 6778.5)	(11.0, 6606.5)	(12.0, 6814.0)	(13.0, 7341.0)	(14.0, 8008.5)	(15.0, 8693.5)	(16.0, 9558.0)	(17.0, 10811.5)	(18.0, 12274.5)	(19.0, 14053.0)	(20.0, 16850.0)	(21.0, 20747.5)	(22.0, 25680.0)	(23.0, 31889.0)	(24.0, 39602.5)	(25.0, 50946.0)	(26.0, 65159.5)	(27.0, 81914.5)	(28.0, 97426.0)	(29.0, 121602.0)	(30.0, 149398.5)	(31.0, 172604.0)	(32.0, 208384.5)	(33.0, 256214.5)	(34.0, 311299.0)	(35.0, 358181.0)	(36.0, 391547.0)	(37.0, 413014.0)	(38.0, 415193.0)	(39.0, 411030.5)	(40.0, 396698.5)	(41.0, 386828.5)	(42.0, 385727.0)	(43.0, 420497.0)	(44.0, 481131.0)	(45.0, 522424.0)	(46.0, 643413.5)	(47.0, 808363.0)	(48.0, 850829.0)	(49.0, 832434.5)	(50.0, 825076.0)	(51.0, 812166.0)	(52.0, 933581.5)	(53.0, 1053065.0)	(54.0, 1029981.0)	(55.0, 987311.0)	(56.0, 949907.5)	(57.0, 902111.0)	(58.0, 850943.0)	(59.0, 791319.0)	(60.0, 723743.0)	(61.0, 687883.5)	(62.0, 603376.5)	(63.0, 481119.5)	(64.0, 393690.0)	(65.0, 349267.0)	(66.0, 389099.5)	(67.0, 388891.0)	(68.0, 306866.5)	(69.0, 282148.0)	(70.0, 272808.5)	(71.0, 215703.5)	(72.0, 200849.0)	(73.0, 237171.0)	(74.0, 208689.0)	(75.0, 146544.0)	(76.0, 140700.0)	(77.0, 166440.0)	(78.0, 194477.5)	(79.0, 199026.5)	(80.0, 220668.0)	(81.0, 248714.0)	(82.0, 305094.5)	(83.0, 328741.0)	(84.0, 252671.0)	(85.0, 209317.0)	(86.0, 161877.5)	(87.0, 74089.5)	(88.0, 18690.5)	(89.0, 6165.0)	(90.0, 3233.5)	(91.0, 1352.5)	(92.0, 503.0)	(93.0, 146.0)	(94.0, 89.0)	(95.0, 60.0)	(96.0, 44.0)	(97.0, 35.0)	(98.0, 23.5)	(99.0, 10.0)	(100.0, 2.5)
SRR9126694_2	(0.0, 323.0)	(1.0, 401.0)	(2.0, 1605.0)	(3.0, 2656.0)	(4.0, 2087.0)	(5.0, 1862.5)	(6.0, 2746.0)	(7.0, 4517.5)	(8.0, 6527.0)	(9.0, 8005.0)	(10.0, 8329.0)	(11.0, 8152.5)	(12.0, 8534.5)	(13.0, 9179.0)	(14.0, 9711.5)	(15.0, 10309.5)	(16.0, 11086.5)	(17.0, 11924.0)	(18.0, 13150.5)	(19.0, 14788.5)	(20.0, 17332.0)	(21.0, 20853.5)	(22.0, 25679.5)	(23.0, 32111.5)	(24.0, 39608.0)	(25.0, 50646.5)	(26.0, 65153.0)	(27.0, 81703.0)	(28.0, 97013.0)	(29.0, 120452.5)	(30.0, 147395.0)	(31.0, 171732.0)	(32.0, 208133.5)	(33.0, 255160.5)	(34.0, 310508.5)	(35.0, 358609.0)	(36.0, 391769.5)	(37.0, 413261.5)	(38.0, 415130.0)	(39.0, 409601.0)	(40.0, 395947.5)	(41.0, 386477.5)	(42.0, 386000.5)	(43.0, 422923.0)	(44.0, 484203.0)	(45.0, 526272.5)	(46.0, 642559.5)	(47.0, 797414.0)	(48.0, 842457.5)	(49.0, 834451.0)	(50.0, 833017.0)	(51.0, 823367.0)	(52.0, 943614.5)	(53.0, 1058616.5)	(54.0, 1033355.5)	(55.0, 991048.0)	(56.0, 951026.5)	(57.0, 900172.5)	(58.0, 850064.5)	(59.0, 793635.5)	(60.0, 725925.5)	(61.0, 693047.5)	(62.0, 608568.0)	(63.0, 483611.5)	(64.0, 398254.0)	(65.0, 353108.5)	(66.0, 391701.0)	(67.0, 391701.0)	(68.0, 307821.0)	(69.0, 281489.0)	(70.0, 271257.0)	(71.0, 213554.0)	(72.0, 200563.0)	(73.0, 234127.5)	(74.0, 204998.0)	(75.0, 145528.5)	(76.0, 138520.0)	(77.0, 163071.0)	(78.0, 188872.0)	(79.0, 193741.0)	(80.0, 214124.0)	(81.0, 249232.0)	(82.0, 305864.5)	(83.0, 319658.0)	(84.0, 245211.0)	(85.0, 200344.5)	(86.0, 153665.0)	(87.0, 71284.5)	(88.0, 18126.5)	(89.0, 5682.5)	(90.0, 2979.0)	(91.0, 1317.5)	(92.0, 548.5)	(93.0, 171.0)	(94.0, 134.0)	(95.0, 107.5)	(96.0, 77.5)	(97.0, 71.0)	(98.0, 63.0)	(99.0, 65.0)	(100.0, 74.5)
SRR9126930_1	(0.0, 368.0)	(1.0, 488.0)	(2.0, 1690.5)	(3.0, 2878.0)	(4.0, 2440.0)	(5.0, 2081.0)	(6.0, 2894.5)	(7.0, 5061.0)	(8.0, 7825.0)	(9.0, 9594.0)	(10.0, 9504.5)	(11.0, 8444.5)	(12.0, 8208.0)	(13.0, 8530.0)	(14.0, 8948.5)	(15.0, 9598.0)	(16.0, 10240.0)	(17.0, 10968.5)	(18.0, 11464.5)	(19.0, 11856.5)	(20.0, 13242.5)	(21.0, 15221.0)	(22.0, 17710.0)	(23.0, 21082.0)	(24.0, 24970.0)	(25.0, 32406.5)	(26.0, 42920.5)	(27.0, 54887.5)	(28.0, 63299.0)	(29.0, 82061.5)	(30.0, 104982.5)	(31.0, 117684.5)	(32.0, 141440.5)	(33.0, 177638.0)	(34.0, 217232.5)	(35.0, 247392.5)	(36.0, 274071.5)	(37.0, 294421.0)	(38.0, 308943.0)	(39.0, 335033.0)	(40.0, 332958.5)	(41.0, 326049.5)	(42.0, 332632.5)	(43.0, 370947.5)	(44.0, 431261.0)	(45.0, 475635.5)	(46.0, 595668.5)	(47.0, 758950.5)	(48.0, 809285.5)	(49.0, 797728.5)	(50.0, 806487.0)	(51.0, 810952.0)	(52.0, 944998.5)	(53.0, 1071794.0)	(54.0, 1054433.5)	(55.0, 1024835.5)	(56.0, 994996.0)	(57.0, 946289.5)	(58.0, 888793.5)	(59.0, 826678.0)	(60.0, 758124.5)	(61.0, 723757.0)	(62.0, 627367.5)	(63.0, 488908.5)	(64.0, 398314.0)	(65.0, 350562.0)	(66.0, 386534.5)	(67.0, 378514.5)	(68.0, 290604.0)	(69.0, 266151.0)	(70.0, 259827.5)	(71.0, 204550.0)	(72.0, 186302.5)	(73.0, 219402.5)	(74.0, 196805.0)	(75.0, 138041.0)	(76.0, 129256.5)	(77.0, 143886.0)	(78.0, 168028.0)	(79.0, 173973.0)	(80.0, 189620.5)	(81.0, 208205.5)	(82.0, 237180.0)	(83.0, 247362.5)	(84.0, 186845.0)	(85.0, 157284.0)	(86.0, 123466.0)	(87.0, 54432.5)	(88.0, 12763.5)	(89.0, 4056.5)	(90.0, 2095.0)	(91.0, 872.5)	(92.0, 355.5)	(93.0, 97.5)	(94.0, 56.0)	(95.0, 41.5)	(96.0, 26.0)	(97.0, 24.5)	(98.0, 22.5)	(99.0, 11.0)	(100.0, 1.0)
SRR9126930_2	(0.0, 455.0)	(1.0, 622.0)	(2.0, 1988.5)	(3.0, 3292.0)	(4.0, 2757.5)	(5.0, 2339.0)	(6.0, 3450.5)	(7.0, 6183.0)	(8.0, 9104.5)	(9.0, 10851.5)	(10.0, 10884.0)	(11.0, 9907.0)	(12.0, 9746.5)	(13.0, 10062.0)	(14.0, 10456.0)	(15.0, 11023.5)	(16.0, 11464.0)	(17.0, 11769.5)	(18.0, 12144.0)	(19.0, 12563.5)	(20.0, 13620.5)	(21.0, 15414.5)	(22.0, 17874.0)	(23.0, 21005.0)	(24.0, 24645.5)	(25.0, 32145.5)	(26.0, 42182.5)	(27.0, 53853.5)	(28.0, 62684.0)	(29.0, 81246.5)	(30.0, 104354.0)	(31.0, 117953.5)	(32.0, 142117.5)	(33.0, 178451.0)	(34.0, 217559.0)	(35.0, 248000.5)	(36.0, 274335.5)	(37.0, 295029.5)	(38.0, 309947.5)	(39.0, 333819.5)	(40.0, 332269.5)	(41.0, 326993.0)	(42.0, 334286.0)	(43.0, 372495.0)	(44.0, 433193.0)	(45.0, 477965.5)	(46.0, 595255.5)	(47.0, 751879.0)	(48.0, 802164.5)	(49.0, 798473.5)	(50.0, 810462.0)	(51.0, 816666.0)	(52.0, 946449.5)	(53.0, 1069429.5)	(54.0, 1053972.5)	(55.0, 1026065.0)	(56.0, 995689.0)	(57.0, 945314.0)	(58.0, 887640.5)	(59.0, 827398.0)	(60.0, 761321.0)	(61.0, 729023.5)	(62.0, 633022.0)	(63.0, 494946.0)	(64.0, 406075.5)	(65.0, 356519.5)	(66.0, 388258.0)	(67.0, 379007.0)	(68.0, 292164.0)	(69.0, 266527.5)	(70.0, 257769.0)	(71.0, 203177.5)	(72.0, 186178.5)	(73.0, 213935.5)	(74.0, 191826.5)	(75.0, 137795.0)	(76.0, 128745.5)	(77.0, 143478.5)	(78.0, 165054.0)	(79.0, 169835.5)	(80.0, 184338.0)	(81.0, 205592.5)	(82.0, 235649.0)	(83.0, 241437.0)	(84.0, 183373.0)	(85.0, 152818.0)	(86.0, 118781.5)	(87.0, 54319.0)	(88.0, 13907.0)	(89.0, 4346.5)	(90.0, 2265.0)	(91.0, 1035.5)	(92.0, 432.5)	(93.0, 142.5)	(94.0, 107.5)	(95.0, 95.0)	(96.0, 88.0)	(97.0, 80.5)	(98.0, 76.0)	(99.0, 68.0)	(100.0, 69.0)
SRR9126963_1	(0.0, 269.0)	(1.0, 311.5)	(2.0, 943.5)	(3.0, 1662.5)	(4.0, 1572.0)	(5.0, 1426.0)	(6.0, 1945.0)	(7.0, 3241.5)	(8.0, 4729.5)	(9.0, 5856.5)	(10.0, 6192.5)	(11.0, 6005.5)	(12.0, 6336.5)	(13.0, 6971.0)	(14.0, 7474.0)	(15.0, 7912.5)	(16.0, 8426.0)	(17.0, 9132.5)	(18.0, 10073.5)	(19.0, 11083.5)	(20.0, 12772.0)	(21.0, 15233.5)	(22.0, 18320.5)	(23.0, 22009.0)	(24.0, 26584.5)	(25.0, 34618.5)	(26.0, 44714.0)	(27.0, 58109.0)	(28.0, 67114.0)	(29.0, 84033.0)	(30.0, 103744.0)	(31.0, 115028.5)	(32.0, 140828.5)	(33.0, 176705.5)	(34.0, 215947.0)	(35.0, 247806.0)	(36.0, 270640.5)	(37.0, 286614.5)	(38.0, 290903.5)	(39.0, 297918.5)	(40.0, 291403.0)	(41.0, 283129.0)	(42.0, 284138.0)	(43.0, 316159.5)	(44.0, 366909.0)	(45.0, 401079.0)	(46.0, 498145.5)	(47.0, 631276.5)	(48.0, 677709.0)	(49.0, 671028.0)	(50.0, 675413.5)	(51.0, 668122.5)	(52.0, 756750.5)	(53.0, 856788.0)	(54.0, 832628.0)	(55.0, 798317.0)	(56.0, 775644.5)	(57.0, 732981.5)	(58.0, 702725.0)	(59.0, 674702.5)	(60.0, 627273.0)	(61.0, 568062.0)	(62.0, 484815.5)	(63.0, 386580.0)	(64.0, 316411.5)	(65.0, 288387.0)	(66.0, 293305.5)	(67.0, 270634.0)	(68.0, 211732.0)	(69.0, 197451.0)	(70.0, 192041.0)	(71.0, 157492.0)	(72.0, 145310.0)	(73.0, 170511.5)	(74.0, 153110.0)	(75.0, 110199.0)	(76.0, 104993.0)	(77.0, 118170.0)	(78.0, 134325.5)	(79.0, 127136.0)	(80.0, 140951.0)	(81.0, 159064.0)	(82.0, 180542.5)	(83.0, 187288.5)	(84.0, 142538.5)	(85.0, 125043.5)	(86.0, 98330.5)	(87.0, 43569.0)	(88.0, 10776.0)	(89.0, 3819.0)	(90.0, 1843.0)	(91.0, 746.0)	(92.0, 402.0)	(93.0, 216.5)	(94.0, 119.5)	(95.0, 61.0)	(96.0, 20.5)	(97.0, 20.0)	(98.0, 14.5)	(99.0, 4.0)	(100.0, 0.0)
SRR9126963_2	(0.0, 337.0)	(1.0, 400.5)	(2.0, 1161.5)	(3.0, 1963.0)	(4.0, 1737.0)	(5.0, 1562.5)	(6.0, 2251.5)	(7.0, 3703.5)	(8.0, 5430.0)	(9.0, 6606.0)	(10.0, 6755.0)	(11.0, 6702.0)	(12.0, 7054.5)	(13.0, 7563.5)	(14.0, 8227.5)	(15.0, 8757.5)	(16.0, 9200.0)	(17.0, 9822.0)	(18.0, 10512.0)	(19.0, 11320.0)	(20.0, 13082.0)	(21.0, 15574.0)	(22.0, 18242.0)	(23.0, 21806.0)	(24.0, 26512.0)	(25.0, 34514.0)	(26.0, 44330.5)	(27.0, 57558.0)	(28.0, 66800.0)	(29.0, 83120.0)	(30.0, 102593.0)	(31.0, 114210.0)	(32.0, 140247.5)	(33.0, 176730.0)	(34.0, 216742.5)	(35.0, 248714.5)	(36.0, 271565.0)	(37.0, 286941.5)	(38.0, 290211.0)	(39.0, 297414.5)	(40.0, 291732.0)	(41.0, 283521.5)	(42.0, 283271.0)	(43.0, 316090.0)	(44.0, 367425.0)	(45.0, 401278.5)	(46.0, 493736.5)	(47.0, 616194.5)	(48.0, 666131.5)	(49.0, 670934.5)	(50.0, 681853.5)	(51.0, 675685.5)	(52.0, 760427.0)	(53.0, 858322.5)	(54.0, 833595.0)	(55.0, 798260.0)	(56.0, 774170.5)	(57.0, 732505.5)	(58.0, 701694.0)	(59.0, 675779.5)	(60.0, 631094.0)	(61.0, 573016.5)	(62.0, 488682.0)	(63.0, 388087.5)	(64.0, 319099.0)	(65.0, 290841.0)	(66.0, 294769.5)	(67.0, 272602.0)	(68.0, 213424.5)	(69.0, 198507.5)	(70.0, 192919.0)	(71.0, 157525.5)	(72.0, 144609.5)	(73.0, 167962.0)	(74.0, 151013.0)	(75.0, 111003.0)	(76.0, 107184.5)	(77.0, 119029.0)	(78.0, 133766.0)	(79.0, 126173.0)	(80.0, 138416.0)	(81.0, 158617.0)	(82.0, 180696.0)	(83.0, 184667.0)	(84.0, 139442.0)	(85.0, 121874.5)	(86.0, 96126.5)	(87.0, 42954.0)	(88.0, 10558.5)	(89.0, 3382.0)	(90.0, 1574.0)	(91.0, 633.5)	(92.0, 309.5)	(93.0, 208.5)	(94.0, 173.5)	(95.0, 99.5)	(96.0, 44.5)	(97.0, 53.5)	(98.0, 53.0)	(99.0, 44.0)	(100.0, 46.0)
SRR9127454_1	(0.0, 294.0)	(1.0, 339.0)	(2.0, 931.5)	(3.0, 1618.5)	(4.0, 1486.5)	(5.0, 1299.0)	(6.0, 1825.5)	(7.0, 3202.5)	(8.0, 4858.5)	(9.0, 5960.5)	(10.0, 6053.5)	(11.0, 5544.0)	(12.0, 5381.0)	(13.0, 5619.5)	(14.0, 6128.0)	(15.0, 6649.0)	(16.0, 7162.5)	(17.0, 8082.0)	(18.0, 9074.5)	(19.0, 9982.0)	(20.0, 11650.0)	(21.0, 14226.5)	(22.0, 17913.0)	(23.0, 22085.5)	(24.0, 26949.5)	(25.0, 35019.0)	(26.0, 45286.0)	(27.0, 57036.5)	(28.0, 67365.5)	(29.0, 84808.5)	(30.0, 104847.5)	(31.0, 120645.0)	(32.0, 146202.5)	(33.0, 180196.5)	(34.0, 220050.0)	(35.0, 255539.0)	(36.0, 280236.5)	(37.0, 296679.5)	(38.0, 303068.0)	(39.0, 307639.0)	(40.0, 299151.5)	(41.0, 291739.0)	(42.0, 294361.0)	(43.0, 322885.0)	(44.0, 368798.5)	(45.0, 398068.0)	(46.0, 477873.5)	(47.0, 587658.5)	(48.0, 623438.0)	(49.0, 620077.0)	(50.0, 620023.0)	(51.0, 624651.0)	(52.0, 716045.5)	(53.0, 798567.0)	(54.0, 790681.5)	(55.0, 777206.0)	(56.0, 762772.0)	(57.0, 725415.5)	(58.0, 686405.5)	(59.0, 648162.5)	(60.0, 590325.0)	(61.0, 559309.5)	(62.0, 485533.5)	(63.0, 360487.0)	(64.0, 280225.0)	(65.0, 243330.0)	(66.0, 248395.5)	(67.0, 227826.5)	(68.0, 172393.5)	(69.0, 157537.0)	(70.0, 154600.0)	(71.0, 122830.5)	(72.0, 111680.5)	(73.0, 135939.0)	(74.0, 122350.0)	(75.0, 83512.0)	(76.0, 72357.5)	(77.0, 68344.5)	(78.0, 74224.0)	(79.0, 78021.5)	(80.0, 83069.5)	(81.0, 88864.5)	(82.0, 88634.5)	(83.0, 83513.5)	(84.0, 61068.0)	(85.0, 51172.5)	(86.0, 40277.5)	(87.0, 16723.5)	(88.0, 3275.0)	(89.0, 910.5)	(90.0, 486.5)	(91.0, 213.0)	(92.0, 89.0)	(93.0, 24.5)	(94.0, 11.0)	(95.0, 4.5)	(96.0, 4.5)	(97.0, 3.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
SRR9127454_2	(0.0, 365.0)	(1.0, 427.0)	(2.0, 1237.5)	(3.0, 2051.0)	(4.0, 1717.5)	(5.0, 1507.5)	(6.0, 2330.0)	(7.0, 4217.5)	(8.0, 6256.5)	(9.0, 7434.0)	(10.0, 7353.0)	(11.0, 6721.0)	(12.0, 6652.5)	(13.0, 6896.5)	(14.0, 7216.0)	(15.0, 7713.0)	(16.0, 8241.5)	(17.0, 8905.0)	(18.0, 9645.0)	(19.0, 10474.0)	(20.0, 12137.0)	(21.0, 14447.0)	(22.0, 17530.5)	(23.0, 21621.5)	(24.0, 26776.0)	(25.0, 34394.5)	(26.0, 43961.0)	(27.0, 55712.5)	(28.0, 66466.0)	(29.0, 84064.0)	(30.0, 104292.5)	(31.0, 120202.5)	(32.0, 145869.5)	(33.0, 180603.5)	(34.0, 220712.5)	(35.0, 255103.5)	(36.0, 279713.0)	(37.0, 295936.5)	(38.0, 301627.0)	(39.0, 306495.0)	(40.0, 299673.5)	(41.0, 291853.0)	(42.0, 293224.0)	(43.0, 323446.0)	(44.0, 369996.5)	(45.0, 398064.0)	(46.0, 477312.5)	(47.0, 584224.0)	(48.0, 619702.5)	(49.0, 619601.0)	(50.0, 620782.5)	(51.0, 626559.5)	(52.0, 718340.0)	(53.0, 800974.5)	(54.0, 792736.0)	(55.0, 779066.0)	(56.0, 762374.5)	(57.0, 722725.0)	(58.0, 685663.0)	(59.0, 649110.0)	(60.0, 592609.0)	(61.0, 563424.5)	(62.0, 487524.0)	(63.0, 360679.5)	(64.0, 282018.5)	(65.0, 246162.0)	(66.0, 249424.0)	(67.0, 228221.0)	(68.0, 172672.5)	(69.0, 156009.5)	(70.0, 152468.5)	(71.0, 121562.0)	(72.0, 110479.0)	(73.0, 133088.0)	(74.0, 120458.0)	(75.0, 83302.5)	(76.0, 72247.0)	(77.0, 68279.0)	(78.0, 73388.0)	(79.0, 76520.5)	(80.0, 81187.5)	(81.0, 88058.5)	(82.0, 88501.5)	(83.0, 82113.0)	(84.0, 60210.5)	(85.0, 50510.5)	(86.0, 39059.0)	(87.0, 16280.0)	(88.0, 3411.0)	(89.0, 967.0)	(90.0, 483.0)	(91.0, 207.5)	(92.0, 97.0)	(93.0, 44.0)	(94.0, 41.5)	(95.0, 41.5)	(96.0, 41.0)	(97.0, 44.0)	(98.0, 41.0)	(99.0, 41.5)	(100.0, 46.0)
SRR9127455_1	(0.0, 327.0)	(1.0, 361.5)	(2.0, 901.5)	(3.0, 1503.0)	(4.0, 1369.5)	(5.0, 1175.0)	(6.0, 1659.5)	(7.0, 2942.0)	(8.0, 4444.0)	(9.0, 5365.0)	(10.0, 5391.0)	(11.0, 5036.5)	(12.0, 4980.5)	(13.0, 5273.0)	(14.0, 5676.0)	(15.0, 6059.0)	(16.0, 6426.0)	(17.0, 6811.0)	(18.0, 7263.0)	(19.0, 7787.0)	(20.0, 8716.5)	(21.0, 10117.0)	(22.0, 12022.5)	(23.0, 14283.5)	(24.0, 16957.0)	(25.0, 22034.5)	(26.0, 29313.5)	(27.0, 38325.0)	(28.0, 44126.0)	(29.0, 57169.5)	(30.0, 73467.0)	(31.0, 82752.5)	(32.0, 100809.0)	(33.0, 127107.5)	(34.0, 156518.0)	(35.0, 179429.0)	(36.0, 197733.0)	(37.0, 211718.0)	(38.0, 219947.0)	(39.0, 234383.0)	(40.0, 230971.0)	(41.0, 224593.0)	(42.0, 227457.0)	(43.0, 256124.0)	(44.0, 301369.5)	(45.0, 330969.5)	(46.0, 416539.0)	(47.0, 532137.0)	(48.0, 567564.0)	(49.0, 562049.0)	(50.0, 565036.0)	(51.0, 566161.5)	(52.0, 665912.5)	(53.0, 761270.0)	(54.0, 750727.5)	(55.0, 727119.0)	(56.0, 700797.0)	(57.0, 666248.0)	(58.0, 636620.5)	(59.0, 601639.0)	(60.0, 552021.5)	(61.0, 517221.5)	(62.0, 450689.0)	(63.0, 355861.0)	(64.0, 290270.0)	(65.0, 252648.5)	(66.0, 267403.5)	(67.0, 256629.0)	(68.0, 197243.0)	(69.0, 186696.5)	(70.0, 181637.5)	(71.0, 144593.5)	(72.0, 134110.5)	(73.0, 154886.0)	(74.0, 136592.5)	(75.0, 98478.5)	(76.0, 94406.5)	(77.0, 105682.5)	(78.0, 121370.5)	(79.0, 123749.5)	(80.0, 135543.5)	(81.0, 149871.5)	(82.0, 176927.5)	(83.0, 184510.0)	(84.0, 139480.0)	(85.0, 120176.5)	(86.0, 95191.5)	(87.0, 42119.5)	(88.0, 9056.5)	(89.0, 2941.5)	(90.0, 1583.0)	(91.0, 601.5)	(92.0, 241.0)	(93.0, 55.5)	(94.0, 32.0)	(95.0, 18.0)	(96.0, 9.5)	(97.0, 9.0)	(98.0, 5.5)	(99.0, 0.5)	(100.0, 0.0)
SRR9127455_2	(0.0, 439.0)	(1.0, 489.5)	(2.0, 1160.0)	(3.0, 1793.0)	(4.0, 1455.0)	(5.0, 1238.0)	(6.0, 1926.0)	(7.0, 3549.5)	(8.0, 5315.5)	(9.0, 6326.0)	(10.0, 6301.5)	(11.0, 5895.5)	(12.0, 5976.5)	(13.0, 6252.5)	(14.0, 6573.0)	(15.0, 6935.5)	(16.0, 7160.0)	(17.0, 7447.5)	(18.0, 7792.0)	(19.0, 7955.5)	(20.0, 8753.0)	(21.0, 10066.0)	(22.0, 11735.0)	(23.0, 13941.5)	(24.0, 16519.5)	(25.0, 21716.0)	(26.0, 28993.5)	(27.0, 37541.0)	(28.0, 43815.0)	(29.0, 57064.0)	(30.0, 72784.5)	(31.0, 81958.0)	(32.0, 99711.0)	(33.0, 125798.5)	(34.0, 155569.5)	(35.0, 179320.0)	(36.0, 197098.0)	(37.0, 211804.5)	(38.0, 220396.5)	(39.0, 233292.5)	(40.0, 230428.5)	(41.0, 223989.0)	(42.0, 227136.0)	(43.0, 255967.5)	(44.0, 301309.5)	(45.0, 333028.0)	(46.0, 420412.0)	(47.0, 532803.5)	(48.0, 567925.5)	(49.0, 564953.0)	(50.0, 569744.5)	(51.0, 572528.0)	(52.0, 669639.5)	(53.0, 763876.0)	(54.0, 753299.0)	(55.0, 729565.0)	(56.0, 701933.5)	(57.0, 665040.5)	(58.0, 636722.5)	(59.0, 602592.0)	(60.0, 551790.0)	(61.0, 519649.0)	(62.0, 453500.5)	(63.0, 357448.0)	(64.0, 292323.5)	(65.0, 253332.5)	(66.0, 265480.5)	(67.0, 254930.0)	(68.0, 196822.5)	(69.0, 186014.0)	(70.0, 179933.5)	(71.0, 142019.0)	(72.0, 132486.0)	(73.0, 152140.0)	(74.0, 134002.0)	(75.0, 97212.5)	(76.0, 92485.0)	(77.0, 103822.0)	(78.0, 119347.0)	(79.0, 121959.5)	(80.0, 133572.0)	(81.0, 150714.5)	(82.0, 176958.0)	(83.0, 180994.5)	(84.0, 137319.5)	(85.0, 116430.0)	(86.0, 90963.5)	(87.0, 41039.5)	(88.0, 9362.0)	(89.0, 2860.5)	(90.0, 1547.5)	(91.0, 610.5)	(92.0, 254.5)	(93.0, 80.0)	(94.0, 55.5)	(95.0, 38.0)	(96.0, 34.5)	(97.0, 39.0)	(98.0, 32.0)	(99.0, 36.0)	(100.0, 42.0)
