Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
SRR9126694_1	(22.0, 23.0)	(23.0, 433.0)	(24.0, 5943.0)	(25.0, 25921.0)	(26.0, 53793.0)	(27.0, 88059.0)	(28.0, 130045.0)	(29.0, 178409.0)	(30.0, 245475.0)	(31.0, 349976.0)	(32.0, 499919.0)	(33.0, 731630.0)	(34.0, 1148010.0)	(35.0, 2309433.0)	(36.0, 14529591.0)	(37.0, 6633193.0)			
SRR9126694_2	(22.0, 64.0)	(23.0, 2702.0)	(24.0, 23855.0)	(25.0, 65346.0)	(26.0, 100526.0)	(27.0, 134346.0)	(28.0, 165514.0)	(29.0, 197369.0)	(30.0, 247205.0)	(31.0, 333539.0)	(32.0, 469139.0)	(33.0, 702882.0)	(34.0, 1188399.0)	(35.0, 2744343.0)	(36.0, 15698666.0)	(37.0, 4855958.0)			
SRR9126930_1	(22.0, 13.0)	(23.0, 322.0)	(24.0, 4498.0)	(25.0, 20610.0)	(26.0, 44548.0)	(27.0, 75253.0)	(28.0, 112890.0)	(29.0, 151779.0)	(30.0, 205945.0)	(31.0, 289387.0)	(32.0, 415344.0)	(33.0, 611456.0)	(34.0, 964442.0)	(35.0, 1940770.0)	(36.0, 13354374.0)	(37.0, 6977707.0)			
SRR9126930_2	(20.0, 1.0)	(21.0, 4.0)	(22.0, 105.0)	(23.0, 4757.0)	(24.0, 38942.0)	(25.0, 94723.0)	(26.0, 136355.0)	(27.0, 177340.0)	(28.0, 213769.0)	(29.0, 254449.0)	(30.0, 319288.0)	(31.0, 425564.0)	(32.0, 584841.0)	(33.0, 855413.0)	(34.0, 1413608.0)	(35.0, 3171342.0)	(36.0, 14296473.0)	(37.0, 3182364.0)	
SRR9126963_1	(21.0, 1.0)	(22.0, 18.0)	(23.0, 238.0)	(24.0, 3872.0)	(25.0, 18474.0)	(26.0, 39659.0)	(27.0, 65118.0)	(28.0, 94556.0)	(29.0, 124606.0)	(30.0, 162400.0)	(31.0, 223950.0)	(32.0, 311326.0)	(33.0, 448600.0)	(34.0, 702596.0)	(35.0, 1402866.0)	(36.0, 10315073.0)	(37.0, 6242927.0)		
SRR9126963_2	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 43.0)	(23.0, 1073.0)	(24.0, 10257.0)	(25.0, 34043.0)	(26.0, 56900.0)	(27.0, 76826.0)	(28.0, 92787.0)	(29.0, 104385.0)	(30.0, 126056.0)	(31.0, 169766.0)	(32.0, 239923.0)	(33.0, 364226.0)	(34.0, 635504.0)	(35.0, 1585538.0)	(36.0, 11989553.0)	(37.0, 4669398.0)
SRR9127454_1	(21.0, 1.0)	(22.0, 9.0)	(23.0, 247.0)	(24.0, 3808.0)	(25.0, 17056.0)	(26.0, 36431.0)	(27.0, 62363.0)	(28.0, 94101.0)	(29.0, 130366.0)	(30.0, 179455.0)	(31.0, 254429.0)	(32.0, 360604.0)	(33.0, 525016.0)	(34.0, 826885.0)	(35.0, 1706578.0)	(36.0, 10512791.0)	(37.0, 4209923.0)		
SRR9127454_2	(21.0, 3.0)	(22.0, 45.0)	(23.0, 1689.0)	(24.0, 14993.0)	(25.0, 41290.0)	(26.0, 64661.0)	(27.0, 88969.0)	(28.0, 110264.0)	(29.0, 131633.0)	(30.0, 164891.0)	(31.0, 224939.0)	(32.0, 320619.0)	(33.0, 484630.0)	(34.0, 830881.0)	(35.0, 1955143.0)	(36.0, 11207016.0)	(37.0, 3278397.0)		
SRR9127455_1	(22.0, 8.0)	(23.0, 215.0)	(24.0, 3077.0)	(25.0, 14355.0)	(26.0, 31461.0)	(27.0, 53625.0)	(28.0, 80172.0)	(29.0, 109210.0)	(30.0, 148234.0)	(31.0, 208364.0)	(32.0, 297661.0)	(33.0, 436587.0)	(34.0, 691300.0)	(35.0, 1404279.0)	(36.0, 9555145.0)	(37.0, 4820816.0)			
SRR9127455_2	(20.0, 1.0)	(21.0, 1.0)	(22.0, 57.0)	(23.0, 1456.0)	(24.0, 13270.0)	(25.0, 37837.0)	(26.0, 60378.0)	(27.0, 82170.0)	(28.0, 102374.0)	(29.0, 120376.0)	(30.0, 150473.0)	(31.0, 205115.0)	(32.0, 292263.0)	(33.0, 440016.0)	(34.0, 753249.0)	(35.0, 1753127.0)	(36.0, 10488370.0)	(37.0, 3353976.0)	
