Sample	Unique Reads	Duplicate Reads
SRR9126694_1	4991171.0	21938682.0
SRR9126694_2	5277121.0	21652732.0
SRR9126930_1	3740612.0	21428726.0
SRR9126930_2	4316938.0	20852400.0
SRR9126963_1	3833956.0	16322324.0
SRR9126963_2	3862678.0	16293602.0
SRR9127454_1	4422163.0	14497900.0
SRR9127454_2	4574184.0	14345879.0
SRR9127455_1	2893942.0	14960567.0
SRR9127455_2	3089029.0	14765480.0
SRR9127457_1	3581057.0	19618789.0
SRR9127457_2	3820439.0	19379407.0
SRR9127584_1	3610554.0	7266769.0
SRR9127584_2	3732432.0	7144891.0
