Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9126694_1	(1.0, 9.367314302893112)	(2.0, 8.34052365610813)	(3.0, 6.45315931917118)	(4.0, 4.3908141068898905)	(5.0, 2.815893122794184)	(6.0, 1.7522814398228659)	(7.0, 1.1957121352922868)	(8.0, 0.8711744305377758)	(9.0, 0.7294004234219021)	('>10', 7.6880477556235105)	('>50', 3.369063067305764)	('>100', 11.049648571596418)	('>500', 6.597679472286047)	('>1k', 19.575197052380208)	('>5k', 8.222142258081957)	('>10k+', 7.581948885794882)
SRR9126694_2	(1.0, 10.585616676235663)	(2.0, 8.2145651815915)	(3.0, 6.3200929506748285)	(4.0, 4.296564726824024)	(5.0, 2.7046099513745636)	(6.0, 1.7782140130868456)	(7.0, 1.2606520400028929)	(8.0, 0.8987257136680773)	(9.0, 0.7013481159679249)	('>10', 7.416123212198141)	('>50', 3.3062905789835013)	('>100', 11.129574873015983)	('>500', 6.435464787331364)	('>1k', 19.214144536925858)	('>5k', 8.49481498192771)	('>10k+', 7.243197660191019)
SRR9126930_1	(1.0, 7.225681147591752)	(2.0, 6.280881564817391)	(3.0, 5.0732915816056945)	(4.0, 3.686133015225913)	(5.0, 2.5364574032691)	(6.0, 1.816281982243775)	(7.0, 1.3431433964631545)	(8.0, 1.0478971706186797)	(9.0, 0.8498255695485205)	('>10', 9.611409017447226)	('>50', 4.2034893265279605)	('>100', 13.659082524251751)	('>500', 7.954588287177851)	('>1k', 20.58136237019864)	('>5k', 7.15154806551071)	('>10k+', 6.97892757750186)
SRR9126930_2	(1.0, 9.60721822250379)	(2.0, 6.261343207031195)	(3.0, 5.028959078338943)	(4.0, 3.597730611882879)	(5.0, 2.5119027287362825)	(6.0, 1.7190455989274624)	(7.0, 1.331960128592558)	(8.0, 1.018197213309754)	(9.0, 0.7856574528591503)	('>10', 9.463794766104078)	('>50', 4.103189962782143)	('>100', 13.396383036339913)	('>500', 7.760855288921747)	('>1k', 20.003923087228348)	('>5k', 6.833330210330751)	('>10k+', 6.576509406111045)
SRR9126963_1	(1.0, 11.656367918948444)	(2.0, 7.867060808201513)	(3.0, 4.4280427306796994)	(4.0, 2.4560944923907675)	(5.0, 1.5743683684777636)	(6.0, 1.0997403883071828)	(7.0, 0.864787067313816)	(8.0, 0.7135044471262241)	(9.0, 0.5978748930966802)	('>10', 8.245924154637924)	('>50', 4.056925744006658)	('>100', 13.424933146752965)	('>500', 7.899870747714366)	('>1k', 21.470412799276296)	('>5k', 7.442277174197318)	('>10k+', 6.201815118872323)
SRR9126963_2	(1.0, 11.828810100160764)	(2.0, 7.8819577241828975)	(3.0, 4.348667097130431)	(4.0, 2.4734188361483755)	(5.0, 1.5426798988979125)	(6.0, 1.0732003808076904)	(7.0, 0.8885952583892252)	(8.0, 0.7235351884098324)	(9.0, 0.5934500598670442)	('>10', 8.099579022408333)	('>50', 4.068800199634932)	('>100', 13.405652047405)	('>500', 7.7664987539668955)	('>1k', 21.863147620456846)	('>5k', 7.598052561025457)	('>10k+', 5.843955251108322)
SRR9127454_1	(1.0, 13.459075392188558)	(2.0, 10.24595615886621)	(3.0, 6.39723046096833)	(4.0, 3.733148406998411)	(5.0, 2.224510373921702)	(6.0, 1.5892000520877716)	(7.0, 1.1523963070416272)	(8.0, 0.918694374046568)	(9.0, 0.7780927378964329)	('>10', 9.518227154975472)	('>50', 4.604061851873592)	('>100', 14.471561303704936)	('>500', 7.503273301648488)	('>1k', 16.08318099038271)	('>5k', 4.5638654091504955)	('>10k+', 2.757525724248622)
SRR9127454_2	(1.0, 14.43190416299017)	(2.0, 10.018538548242825)	(3.0, 6.312239431722098)	(4.0, 3.690362642667018)	(5.0, 2.254470796015148)	(6.0, 1.5590488168593108)	(7.0, 1.115448085401625)	(8.0, 0.9339930517177177)	(9.0, 0.7010873830095756)	('>10', 9.421302803129421)	('>50', 4.582253630039515)	('>100', 14.296735879035941)	('>500', 7.4469088745838246)	('>1k', 16.13993710212328)	('>5k', 4.386374112892448)	('>10k+', 2.7093946795701376)
SRR9127455_1	(1.0, 8.46722934070248)	(2.0, 6.90394751298317)	(3.0, 5.048842672879706)	(4.0, 3.5118776606353297)	(5.0, 2.307921340016543)	(6.0, 1.586418508429594)	(7.0, 1.175996247156715)	(8.0, 0.9212102602307131)	(9.0, 0.7853872678811227)	('>10', 9.238662055278555)	('>50', 4.403469082678683)	('>100', 14.551483395466722)	('>500', 8.249307303397856)	('>1k', 21.502725224793647)	('>5k', 7.163600249529376)	('>10k+', 4.181921877939745)
SRR9127455_2	(1.0, 9.662378077895035)	(2.0, 6.874203739321766)	(3.0, 4.9183453445795315)	(4.0, 3.422331628520306)	(5.0, 2.3193998953412143)	(6.0, 1.575364005489602)	(7.0, 1.1784483150305332)	(8.0, 0.8941178347924597)	(9.0, 0.7428732767781759)	('>10', 8.993949878789163)	('>50', 4.399611550643399)	('>100', 14.311982208304693)	('>500', 8.19302801029276)	('>1k', 21.38830229069277)	('>5k', 6.688125037463631)	('>10k+', 4.437538906064898)
SRR9127457_1	(1.0, 7.621875820739819)	(2.0, 6.657807994060466)	(3.0, 5.141152473597935)	(4.0, 3.549219628975512)	(5.0, 2.49738673705735)	(6.0, 1.708534832706568)	(7.0, 1.3386312378718221)	(8.0, 1.031741503031516)	(9.0, 0.8584224198729618)	('>10', 10.050361520665964)	('>50', 4.404391786486043)	('>100', 14.55161419067268)	('>500', 8.434208470715374)	('>1k', 20.027336499613387)	('>5k', 6.408345251920022)	('>10k+', 5.718969632012534)
SRR9127457_2	(1.0, 8.794278711478489)	(2.0, 6.5663251026150755)	(3.0, 4.998536397419411)	(4.0, 3.5182641061941826)	(5.0, 2.416516451213653)	(6.0, 1.6897507806058116)	(7.0, 1.2847112869505228)	(8.0, 1.0341763636517791)	(9.0, 0.8578551257350667)	('>10', 9.782807460175095)	('>50', 4.428335623999526)	('>100', 14.37297614629437)	('>500', 8.36654416597196)	('>1k', 19.811245080527705)	('>5k', 6.410278232936213)	('>10k+', 5.667398964231071)
SRR9127584_1	(1.0, 22.577838213667388)	(2.0, 12.53914663969754)	(3.0, 5.982720161776117)	(4.0, 3.0021628897997212)	(5.0, 1.8617139647286194)	(6.0, 1.3460015154159866)	(7.0, 1.0151701787087708)	(8.0, 0.8371692945809956)	(9.0, 0.6608882073630463)	('>10', 10.253709808208685)	('>50', 5.193368225754481)	('>100', 15.271266442423764)	('>500', 6.830902016848779)	('>1k', 10.795337177175186)	('>5k', 1.4726833477800123)	('>10k+', 0.3599219160709427)
SRR9127584_2	(1.0, 23.998645103593994)	(2.0, 12.123385895453263)	(3.0, 5.829753571612831)	(4.0, 2.9740875106480047)	(5.0, 1.8277554838146681)	(6.0, 1.2560331485277387)	(7.0, 0.9811144317215127)	(8.0, 0.8070037701412434)	(9.0, 0.7021398661449985)	('>10', 10.160890978466396)	('>50', 5.145594294187091)	('>100', 15.17550824874691)	('>500', 6.791365578865337)	('>1k', 10.40899514338871)	('>5k', 1.4793006889116593)	('>10k+', 0.3384262857755496)
