Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR9126694_1	(50, 6031.0)	(52, 7141.0)	(54, 8550.0)	(56, 8463.0)	(58, 9251.0)	(60, 10997.0)	(62, 8868.0)	(64, 9624.0)	(66, 11698.0)	(68, 13594.0)	(70, 11252.0)	(72, 9498.0)	(74, 10683.0)	(76, 11034.0)	(78, 12052.0)	(80, 12607.0)	(82, 12362.0)	(84, 12673.0)	(86, 14614.0)	(88, 20974.0)	(90, 31054.0)	(92, 36141.0)	(94, 86542.0)	(96, 101258.0)	(98, 14691.0)	(100, 26438201.0)
SRR9126694_2	(50, 6017.0)	(52, 7133.0)	(54, 8511.0)	(56, 8474.0)	(58, 9285.0)	(60, 11054.0)	(62, 8992.0)	(64, 9734.0)	(66, 11863.0)	(68, 13707.0)	(70, 11520.0)	(72, 9792.0)	(74, 11183.0)	(76, 11490.0)	(78, 12560.0)	(80, 13708.0)	(82, 13656.0)	(84, 14038.0)	(86, 16562.0)	(88, 24099.0)	(90, 36563.0)	(92, 46534.0)	(94, 97016.0)	(96, 103849.0)	(98, 22394.0)	(100, 26390119.0)
SRR9126930_1	(50, 3983.0)	(52, 4258.0)	(54, 4427.0)	(56, 4612.0)	(58, 4415.0)	(60, 4549.0)	(62, 4712.0)	(64, 5095.0)	(66, 5421.0)	(68, 5823.0)	(70, 5645.0)	(72, 5803.0)	(74, 6509.0)	(76, 6635.0)	(78, 7163.0)	(80, 8560.0)	(82, 9355.0)	(84, 10561.0)	(86, 12986.0)	(88, 17583.0)	(90, 26144.0)	(92, 32582.0)	(94, 74590.0)	(96, 85276.0)	(98, 13088.0)	(100, 24799563.0)
SRR9126930_2	(50, 4013.0)	(52, 4276.0)	(54, 4458.0)	(56, 4600.0)	(58, 4484.0)	(60, 4572.0)	(62, 4776.0)	(64, 5247.0)	(66, 5553.0)	(68, 5996.0)	(70, 5931.0)	(72, 6053.0)	(74, 6908.0)	(76, 7193.0)	(78, 7914.0)	(80, 9594.0)	(82, 10759.0)	(84, 12652.0)	(86, 16318.0)	(88, 23189.0)	(90, 36138.0)	(92, 50906.0)	(94, 116416.0)	(96, 124721.0)	(98, 20140.0)	(100, 24666531.0)
SRR9126963_1	(50, 38658.0)	(52, 40353.0)	(54, 43856.0)	(56, 45423.0)	(58, 45539.0)	(60, 47600.0)	(62, 48011.0)	(64, 53964.0)	(66, 54889.0)	(68, 58107.0)	(70, 59409.0)	(72, 57612.0)	(74, 64082.0)	(76, 63858.0)	(78, 66780.0)	(80, 71691.0)	(82, 71996.0)	(84, 77967.0)	(86, 80592.0)	(88, 85737.0)	(90, 99095.0)	(92, 111944.0)	(94, 157141.0)	(96, 142630.0)	(98, 91952.0)	(100, 18377394.0)
SRR9126963_2	(50, 38654.0)	(52, 40379.0)	(54, 43896.0)	(56, 45500.0)	(58, 45557.0)	(60, 47676.0)	(62, 48058.0)	(64, 54040.0)	(66, 54953.0)	(68, 58333.0)	(70, 59670.0)	(72, 57839.0)	(74, 64447.0)	(76, 64420.0)	(78, 67297.0)	(80, 72570.0)	(82, 72823.0)	(84, 79016.0)	(86, 81997.0)	(88, 87872.0)	(90, 101843.0)	(92, 115154.0)	(94, 156331.0)	(96, 134143.0)	(98, 97377.0)	(100, 18366435.0)
SRR9127454_1	(50, 3834.0)	(52, 4352.0)	(54, 5272.0)	(56, 5525.0)	(58, 5961.0)	(60, 6589.0)	(62, 5617.0)	(64, 6239.0)	(66, 7241.0)	(68, 8221.0)	(70, 7078.0)	(72, 6296.0)	(74, 7197.0)	(76, 7216.0)	(78, 7998.0)	(80, 8551.0)	(82, 8660.0)	(84, 8735.0)	(86, 10522.0)	(88, 13461.0)	(90, 18578.0)	(92, 25464.0)	(94, 60681.0)	(96, 71043.0)	(98, 10593.0)	(100, 18589139.0)
SRR9127454_2	(50, 3801.0)	(52, 4341.0)	(54, 5267.0)	(56, 5518.0)	(58, 5978.0)	(60, 6605.0)	(62, 5657.0)	(64, 6298.0)	(66, 7337.0)	(68, 8336.0)	(70, 7222.0)	(72, 6461.0)	(74, 7363.0)	(76, 7385.0)	(78, 8265.0)	(80, 9151.0)	(82, 9425.0)	(84, 9621.0)	(86, 11966.0)	(88, 15434.0)	(90, 22122.0)	(92, 31075.0)	(94, 63801.0)	(96, 68083.0)	(98, 15951.0)	(100, 18567600.0)
SRR9127455_1	(50, 1575.0)	(52, 1771.0)	(54, 2148.0)	(56, 2141.0)	(58, 2315.0)	(60, 2622.0)	(62, 2277.0)	(64, 2548.0)	(66, 3143.0)	(68, 3396.0)	(70, 3183.0)	(72, 2833.0)	(74, 3221.0)	(76, 3522.0)	(78, 4030.0)	(80, 4787.0)	(82, 5074.0)	(84, 5839.0)	(86, 7047.0)	(88, 10775.0)	(90, 16229.0)	(92, 19763.0)	(94, 48338.0)	(96, 57154.0)	(98, 7390.0)	(100, 17631388.0)
SRR9127455_2	(50, 1579.0)	(52, 1780.0)	(54, 2142.0)	(56, 2175.0)	(58, 2334.0)	(60, 2658.0)	(62, 2345.0)	(64, 2629.0)	(66, 3241.0)	(68, 3525.0)	(70, 3356.0)	(72, 3007.0)	(74, 3424.0)	(76, 3761.0)	(78, 4432.0)	(80, 5274.0)	(82, 5844.0)	(84, 6790.0)	(86, 8312.0)	(88, 12757.0)	(90, 19723.0)	(92, 25412.0)	(94, 54841.0)	(96, 58895.0)	(98, 12586.0)	(100, 17601687.0)
SRR9127457_1	(50, 2390.0)	(52, 2621.0)	(54, 2675.0)	(56, 2835.0)	(58, 2655.0)	(60, 2808.0)	(62, 3019.0)	(64, 3237.0)	(66, 3184.0)	(68, 3800.0)	(70, 3789.0)	(72, 3826.0)	(74, 4228.0)	(76, 4506.0)	(78, 5199.0)	(80, 6078.0)	(82, 7039.0)	(84, 8143.0)	(86, 10287.0)	(88, 14173.0)	(90, 21681.0)	(92, 28090.0)	(94, 65420.0)	(96, 74706.0)	(98, 10243.0)	(100, 22903214.0)
SRR9127457_2	(50, 2414.0)	(52, 2625.0)	(54, 2695.0)	(56, 2874.0)	(58, 2720.0)	(60, 2841.0)	(62, 3094.0)	(64, 3384.0)	(66, 3335.0)	(68, 3964.0)	(70, 4077.0)	(72, 4226.0)	(74, 4602.0)	(76, 4918.0)	(78, 5780.0)	(80, 6986.0)	(82, 7940.0)	(84, 9627.0)	(86, 11961.0)	(88, 16896.0)	(90, 26316.0)	(92, 36572.0)	(94, 75378.0)	(96, 79042.0)	(98, 16900.0)	(100, 22858679.0)
SRR9127584_1	(50, 4613.0)	(52, 5543.0)	(54, 6782.0)	(56, 6997.0)	(58, 7783.0)	(60, 8821.0)	(62, 7299.0)	(64, 8127.0)	(66, 9418.0)	(68, 10046.0)	(70, 8313.0)	(72, 7607.0)	(74, 8837.0)	(76, 8561.0)	(78, 8674.0)	(80, 8475.0)	(82, 8667.0)	(84, 8325.0)	(86, 9202.0)	(88, 11436.0)	(90, 14700.0)	(92, 18648.0)	(94, 40364.0)	(96, 46854.0)	(98, 8923.0)	(100, 10584308.0)
SRR9127584_2	(50, 4610.0)	(52, 5551.0)	(54, 6793.0)	(56, 7009.0)	(58, 7811.0)	(60, 8847.0)	(62, 7342.0)	(64, 8166.0)	(66, 9432.0)	(68, 10115.0)	(70, 8428.0)	(72, 7673.0)	(74, 8996.0)	(76, 8691.0)	(78, 8917.0)	(80, 8862.0)	(82, 9129.0)	(84, 9143.0)	(86, 10302.0)	(88, 13075.0)	(90, 17579.0)	(92, 24004.0)	(94, 48775.0)	(96, 53080.0)	(98, 11808.0)	(100, 10553185.0)
