Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9126694_1	SRR9126694_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26929853.0	2.6 Gbp	0.0	50-100	54.0	18.53396849287957	100.20839558611776	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9126694_2	SRR9126694_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26929853.0	2.6 Gbp	0.0	50-100	54.0	19.595800051881625	100.1924513475807	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9126930_1	SRR9126930_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25169338.0	2.5 Gbp	0.0	50-100	54.0	14.861777568345635	100.30266481383022	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9126930_2	SRR9126930_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25169338.0	2.5 Gbp	0.0	50-100	54.0	17.151572239767134	100.26517570704482	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9126963_1	SRR9126963_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20156280.0	1.9 Gbp	0.0	50-100	53.0	19.02114522414477	98.66550196762498	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9126963_2	SRR9126963_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20156280.0	1.9 Gbp	0.0	50-100	53.0	19.163641894034566	98.65596240973036	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127454_1	SRR9127454_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18920063.0	1.8 Gbp	0.0	50-100	52.0	23.372871885172113	100.23008694527074	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127454_2	SRR9127454_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18920063.0	1.8 Gbp	0.0	50-100	52.0	24.17636750966038	100.21876700410564	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127455_1	SRR9127455_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17854509.0	1.7 Gbp	0.0	50-100	54.0	16.208462691108817	100.34616278162564	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127455_2	SRR9127455_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17854509.0	1.7 Gbp	0.0	50-100	54.0	17.30111176171248	100.33138858649096	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127457_1	SRR9127457_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23199846.0	2.3 Gbp	0.0	50-100	54.0	15.435691000781478	100.3458054419844	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127457_2	SRR9127457_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23199846.0	2.3 Gbp	0.0	50-100	54.0	16.467516682956994	100.32866386268253	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127584_1	SRR9127584_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10877323.0	1 Gbp	0.0	50-100	50.0	33.19340170973037	99.98840960225232	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR9127584_2	SRR9127584_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10877323.0	1 Gbp	0.0	50-100	50.0	34.313875747034146	99.96596897049025	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
