Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9126694_1	81.46603150712043	54.0	100.20839558611776	100	20.0	26.929852999999998
SRR9126694_2	80.40419994811838	54.0	100.1924513475807	100	20.0	26.929852999999998
SRR9126930_1	85.13822243165437	54.0	100.30266481383022	100	20.0	25.169338
SRR9126930_2	82.84842776023287	54.0	100.26517570704482	100	20.0	25.169338
SRR9126963_1	80.97885477585523	53.0	98.66550196762498	100	20.0	20.15628
SRR9126963_2	80.83635810596543	53.0	98.65596240973036	100	20.0	20.15628
SRR9127454_1	76.62712811482788	52.0	100.23008694527074	100	20.0	18.920063
SRR9127454_2	75.82363249033962	52.0	100.21876700410564	100	20.0	18.920063
SRR9127455_1	83.79153730889118	54.0	100.34616278162564	100	20.0	17.854509
SRR9127455_2	82.69888823828752	54.0	100.33138858649096	100	20.0	17.854509
SRR9127457_1	84.56430899921853	54.0	100.3458054419844	100	20.0	23.199845999999997
SRR9127457_2	83.532483317043	54.0	100.32866386268253	100	20.0	23.199845999999997
SRR9127584_1	66.80659829026963	50.0	99.98840960225232	100	20.0	10.877322999999999
SRR9127584_2	65.68612425296585	50.0	99.96596897049025	100	20.0	10.877322999999999
