UniqueCount	AmbigCount
0	0
0	0
0	5
0	5
0	5
0	0
0	0
0	0
3	0
1	0
1	0
0	2
4	26
1	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	2
2	1
0	0
0	0
3	0
0	0
0	0
0	0
1	0
0	0
1	61
0	35
0	38
0	52
8	37
0	9
2	38
0	34
0	3
0	0
0	0
0	0
0	1
0	0
0	7
0	0
0	141
0	141
0	0
0	141
0	137
0	0
0	0
0	0
0	0
0	0
0	137
0	141
0	0
0	0
0	137
0	0
0	0
0	3
0	0
0	141
0	137
0	3
0	3
0	141
0	141
0	0
0	141
0	0
0	0
0	137
0	141
0	137
0	141
0	137
0	0
0	139
0	141
0	142
0	138
0	138
0	138
0	138
0	137
0	0
0	0
0	137
0	139
0	364
0	2
0	2
0	2
0	2
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	4
0	4
0	2
0	2
0	2
0	0
0	2
0	2
0	4
0	4
0	0
0	23
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1153
0	265
3	431
0	124
0	316
5	133
0	227
0	105
0	2
0	0
0	0
0	0
0	277
690	578
0	275
0	195
0	120
0	467
0	227
7	106
0	270
1	0
17	253
3	248
0	18
2	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	87
0	0
0	102
0	143
3	34
6	110
8	52
0	19
2	125
3	32
0	0
0	0
0	0
5	0
21	193
0	0
3	0
0	2
0	0
0	2
0	2
0	0
0	34
0	7
0	0
0	0
0	8
14	36
0	0
0	1
0	29
0	58
0	97
6	750
1	66
0	35
0	488
0	615
20	164
0	128
3	6
0	21
0	3
0	5
0	45
5	7
0	76
0	0
15	31
0	6
0	5
0	47
14	4
0	98
0	0
0	0
0	0
0	65
0	1
0	1
0	1
0	0
0	0
0	1
0	1
2	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	229
0	0
0	0
0	0
0	0
3	0
92	697
0	93
0	6
0	566
0	176
0	51
2	669
0	654
4	2
0	0
2	17
3	0
0	199
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	14
0	14
0	6
0	6
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	1
0	1
0	0
0	1
0	0
1	3
0	3
0	0
0	1
0	0
0	0
0	0
2	0
0	0
1	3
0	0
0	0
2	2
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
1	0
0	0
4	2
0	2
7	57
0	0
0	0
0	0
0	0
0	0
0	2
0	25
