	SRR9126694	SRR9126930	SRR9126963	SRR9127454	SRR9127455	SRR9127457	SRR9127584
ENSMUSG00000000001.5	197.128	284.979	135.993	274	175.886	260.335	141.855
ENSMUSG00000000003.16	0	0	0	0	0	0	0
ENSMUSG00000000028.16	0	0	0	4.003	0	0	5.001
ENSMUSG00000000031.20	296	260.728	47.437	1069.591	82.374	168.317	71.842
ENSMUSG00000000037.18	1	0	0	1	1	0	0
ENSMUSG00000000049.12	82	5	7	6	7	9	4
ENSMUSG00000000056.8	1618.999	2357	1427	1582	1428	2253	899
ENSMUSG00000000058.7	486	674	413	364	470	712	264
ENSMUSG00000000078.8	276	489.999	249	254	209	267.001	170
ENSMUSG00000000085.17	166.188	49.055	39.044	92.181	66.045	151.74	59.018
ENSMUSG00000000088.8	2813.041	5056.863	4240.417	2860.638	3325.96	5115.689	1784.841
ENSMUSG00000000093.7	50	29	31	14	40	24	3.953
ENSMUSG00000000094.13	1	10	6	15	1	2	0
ENSMUSG00000000103.13	0	0	0	9.5	0	0	1.77
ENSMUSG00000000120.7	75.191	14	19.707	45.499	36	16.971	1.001
ENSMUSG00000000125.6	12	2	0	1	0	0	2
ENSMUSG00000000126.12	131	337	0	190.799	125.162	349	110
ENSMUSG00000000127.16	51.931	54.781	31.128	66.315	19.309	11.862	29.441
ENSMUSG00000000131.16	223.542	335.462	168.716	263.661	185.069	180.055	68.179
ENSMUSG00000000134.18	58.274	172	98	94.126	94.219	158	79.999
ENSMUSG00000000142.16	19.626	0	7.358	15.281	21	11.25	6.65
ENSMUSG00000000148.18	30.689	118.999	9.601	24.956	6.181	36.65	8.667
ENSMUSG00000000149.11	317	674.709	261	410	335.265	592	243.909
ENSMUSG00000000154.17	13	3	6	4	0	0	7
ENSMUSG00000000157.17	3	0	0	1	0	0	1
ENSMUSG00000000159.17	1	0	0	0	0	0	2
ENSMUSG00000000167.15	0	5	2	2	5	4	0
ENSMUSG00000000168.11	1902	4387	2520	3028.001	2668	4293	1942.999
ENSMUSG00000000171.6	1994	3524	2446	2439	2459	3840	1492
ENSMUSG00000000182.10	2	0	0	0	1	0	0
ENSMUSG00000000183.7	95	198	142	128	62	215	29
ENSMUSG00000000184.13	26.482	66.423	35.438	43.858	32.968	24.574	16.762
ENSMUSG00000000194.14	361.966	545.377	251.801	351.167	254.754	447.328	248.281
ENSMUSG00000000197.9	21	1	4.06	15	9	10	4
ENSMUSG00000000202.10	13	0	0	7	0	0	0
ENSMUSG00000000204.17	1.997	0	0	16.118	0	0	1
ENSMUSG00000000214.12	0	1	0	1	0	0	1
ENSMUSG00000000215.12	3	0	0	0	0	0	0
ENSMUSG00000000216.9	0	0	0	0	0	0	1
ENSMUSG00000000223.14	28	76	35	42	23	40	20
ENSMUSG00000000244.18	3.252	15	2.001	17.09	6	5	4.032
ENSMUSG00000000247.12	6	2	0	9	5	0	0
ENSMUSG00000000248.17	7	0	1	3	0	0	3.107
ENSMUSG00000000253.14	50.598	76.186	71.853	27.377	21.17	27.516	18.441
ENSMUSG00000000263.16	4	0	0	1	0	0	2
ENSMUSG00000000266.12	55.016	80	16.049	38	19	48	14.142
ENSMUSG00000000275.17	58	11.032	56	0	71	0	0
ENSMUSG00000000276.12	110.561	124.69	84.113	100.17	98.003	113.368	48.514
ENSMUSG00000000278.11	79	154	80	244	111	140	57
ENSMUSG00000000282.13	55	110	59	55	51	66	47
ENSMUSG00000000290.14	0	18.573	8.636	0	0	0	15.611
ENSMUSG00000000295.14	6.911	0	4.959	4.088	0	0	5.164
ENSMUSG00000000296.9	192	242.999	230	200.999	163	304	126
ENSMUSG00000000301.17	0	6	0	15.932	1	19	1.518
ENSMUSG00000000303.14	0	0	0	0	0	0	0
ENSMUSG00000000305.13	0	0	11.607	2.772	0	0	0
ENSMUSG00000000308.15	17.998	0	0	2	0	0	3
ENSMUSG00000000317.12	0	2.299	0.917	0	0	0	0
ENSMUSG00000000318.17	6	8.789	3.179	26.479	8.145	0	12.443
ENSMUSG00000000320.11	24.009	19	12	13	14	22	4
ENSMUSG00000000326.14	137.85	208.962	213.922	106.526	76.747	136.7	68.613
ENSMUSG00000000339.15	0	2.517	2.252	0	25.6	5.313	0
ENSMUSG00000000340.11	1.288	0	0	0	0	0	0
ENSMUSG00000000346.10	23.967	37.263	26.3	34.576	30.831	30.191	46.913
ENSMUSG00000000355.14	130	271	157	164.999	191	204.999	100.999
ENSMUSG00000000359.4	21	52	20	34	25	50	18
ENSMUSG00000000365.10	14	0	2	6	0	0	5
ENSMUSG00000000374.9	404	386	269	285	261	343	166
ENSMUSG00000000378.16	87.959	155.923	2	0	112.231	172.195	1.8
ENSMUSG00000000381.11	0	0	0	0	0	0	2
ENSMUSG00000000384.16	270.036	198.198	238.932	230.826	181.763	242.262	280.325
ENSMUSG00000000385.9	2	0	0	0	1	3	1
ENSMUSG00000000386.19	22.894	1	2	4	0	0	0
ENSMUSG00000000392.18	27.989	34.072	3.846	2.934	32.999	7.971	16
ENSMUSG00000000394.16	0	0	0	0	0	0	0
ENSMUSG00000000399.11	1987.72	3823	2577.106	2270.009	2597	3863.81	1577.008
ENSMUSG00000000402.3	10	14	2	15	5	14	0
ENSMUSG00000000409.15	5	1	2	8	0	0	0
ENSMUSG00000000411.8	40	0	0	0	0	0	0
ENSMUSG00000000416.17	3.897	8	5	13.991	2	17	12.567
ENSMUSG00000000420.16	717.001	1017.005	619.001	641	667	990	387
ENSMUSG00000000435.2	5	32	13	36	1	21	7
ENSMUSG00000000439.10	840.478	1145.405	643.575	701.886	706.995	1101.966	380.844
ENSMUSG00000000440.13	27	63	43	34	34	73	52
ENSMUSG00000000441.18	218.283	182.011	256.058	248.231	184.54	97.513	88.138
ENSMUSG00000000486.14	12	5	2	6	8	2	2
ENSMUSG00000000489.8	262	466	287.001	130.001	257	284	114
ENSMUSG00000000530.17	107.247	282.785	84	151.381	92.72	278	52.76
ENSMUSG00000000531.6	57	94	57	83	52	85	37
ENSMUSG00000000538.19	616.4	707.931	549.087	648.237	485.183	760.343	417.128
ENSMUSG00000000544.15	5	0	0	0	0	0	0
ENSMUSG00000000552.11	23	49	23	106	11	30	22
ENSMUSG00000000555.9	91	177	97	268	76	192	145
ENSMUSG00000000560.10	29.922	8.356	18.608	29.83	17.818	12.076	18.287
ENSMUSG00000000561.15	135.55	193.112	151.7	144.236	117.872	136.084	90.173
ENSMUSG00000000562.6	4.174	0	3.022	2.01	1.003	5	0
ENSMUSG00000000563.18	5298	9131.862	6668.449	6136.872	6351.227	9483	3640.575
ENSMUSG00000000567.6	28	58	41	85	36.021	57	41
ENSMUSG00000000568.16	79.392	252.357	97.771	143.409	101.498	110.773	81.477
ENSMUSG00000000579.15	11.987	19.125	20.748	12.014	4.329	17.683	5
ENSMUSG00000000581.9	285	393	321	247	228	387.001	152
ENSMUSG00000000594.8	336	282	146	438	209	255	144
ENSMUSG00000000600.16	432.78	362.316	227.52	360.146	266.591	284.273	257.277
ENSMUSG00000000605.10	589.203	1015.345	670.67	676.881	630.716	1009.967	465.723
ENSMUSG00000000606.20	19.925	1	5.904	8.222	0	0	12.08
ENSMUSG00000000617.15	1	0	0	5	0	0	2
ENSMUSG00000000627.16	0	0	0	0	0	0	3
ENSMUSG00000000628.11	81.152	273.282	236.311	191.106	167.011	170.726	124.792
ENSMUSG00000000631.21	659.893	703.827	475.568	722.919	615.931	1016.015	380.283
ENSMUSG00000000632.14	12	0	13	5	0	1	1
ENSMUSG00000000673.10	7	0	2	8	0	0	4.058
ENSMUSG00000000682.8	21	9	3	16	11	2	3
ENSMUSG00000000686.12	11	3	3.043	15	6	6.526	6
ENSMUSG00000000690.6	15	0	6	2	5	0	0
ENSMUSG00000000693.11	47.91	31.457	33.274	154.368	25.872	57.138	25.569
ENSMUSG00000000701.9	0	0	0	0	0	0	0
ENSMUSG00000000706.17	0	0	0	2	0	0	0
ENSMUSG00000000708.15	9.349	3.007	0	7.147	0	0	0
ENSMUSG00000000711.4	1642	2047	1158	1469	1332	1925	953.863
ENSMUSG00000000724.11	932	0	2	0	0	0	0
ENSMUSG00000000730.14	0	0	2	0	0	0	0
ENSMUSG00000000731.16	2	0	0	3	0	0	0
ENSMUSG00000000732.10	21.012	11	7	5	9	28	16
ENSMUSG00000000738.19	1092.352	1396.85	967.44	754	1040	1543.957	584.084
ENSMUSG00000000739.15	1	9.81	4.923	8.781	4.411	2.987	0
ENSMUSG00000000740.13	2282.425	1719.332	1858.724	1397.87	1033.202	1832.662	644.763
ENSMUSG00000000743.10	922	972	639	884.874	809	1154	418
ENSMUSG00000000751.14	829.769	876.494	615.308	757.706	688.757	928.838	365.813
ENSMUSG00000000753.16	184.246	565.196	153.372	952.517	196.734	516.279	328.656
ENSMUSG00000000759.15	28.692	38.445	73.027	34.685	20.538	112.292	6.62
ENSMUSG00000000766.19	14	0	1	7	0	0	4
ENSMUSG00000000776.14	1.07	20.989	13.503	1.483	1.888	17.874	20.189
ENSMUSG00000000782.17	3.219	7	4.711	5	0	1.355	0
ENSMUSG00000000787.13	699	1065.875	479	695.845	548.94	1072	485.211
ENSMUSG00000000791.10	5.828	0	0	5.003	0	0.999	0
ENSMUSG00000000792.3	2	0	0	2	6	0	0
ENSMUSG00000000794.10	49	44	53	54	50	27	17
ENSMUSG00000000804.15	76	96	62	62	68	67	25
ENSMUSG00000000805.19	0	0	1.538	3.603	0	0	0
ENSMUSG00000000811.15	0	0	0	0	0	0	0
ENSMUSG00000000817.11	2	0	0	0	1	0	1
ENSMUSG00000000823.17	253	340.999	178.959	253.474	183	308	90.701
ENSMUSG00000000826.17	479.644	610.917	427.286	528.218	415.649	646.866	323.585
ENSMUSG00000000827.19	191.707	216.742	133.618	197.621	185.46	318.01	93.843
ENSMUSG00000000838.18	17.151	98.178	42.511	95.973	45.814	9.675	56.038
ENSMUSG00000000861.16	18	5	1	15	2.493	1	10
ENSMUSG00000000869.13	0	0	0	0	0	0	1
ENSMUSG00000000876.12	12.58	29.917	39.786	20.232	18.107	25.068	12.643
ENSMUSG00000000881.13	0	3	3	5	0	5	0
ENSMUSG00000000884.18	5.405	26.395	1.001	9.59	9.451	0	18
ENSMUSG00000000889.9	3	0	2	4	0	0	0
ENSMUSG00000000901.18	8.711	1.686	0	0	21.374	0	10.589
ENSMUSG00000000902.14	150.217	102.563	18.094	31.967	30.659	26.425	32.355
ENSMUSG00000000903.4	0	0	0	0	0	0	0
ENSMUSG00000000915.16	25.211	22.341	11.26	7.145	7.443	18.289	9.239
ENSMUSG00000000916.16	18.01	12.704	6.049	15.134	7.492	23.314	1.072
ENSMUSG00000000934.10	145	205	102	93	94	157	78
ENSMUSG00000000938.12	137.272	189.796	175.421	103.032	135	134.797	40
ENSMUSG00000000942.11	21	9	14	8	14	3	8
ENSMUSG00000000948.17	26.686	61.637	30.477	22.47	5.251	75.048	7.801
ENSMUSG00000000957.12	87.157	190	68.959	851.182	116.419	241.567	47.472
ENSMUSG00000000958.11	14.001	18	6	26	9	17.999	10
ENSMUSG00000000959.8	351	592	364.001	369	364	548.002	296.001
ENSMUSG00000000976.14	191.13	234.001	136.749	172.324	111.717	225.409	75.902
ENSMUSG00000000982.6	1	0	0	5.998	1	0	0
ENSMUSG00000000983.14	1.08	0	0	0	0	0	0
ENSMUSG00000001014.7	7	9	10	7	2	10	0
ENSMUSG00000001016.13	70.75	122.189	51.359	161.701	153.78	108.341	83.79
ENSMUSG00000001017.17	33.414	205.62	22.203	14.559	45.434	55.906	81.55
ENSMUSG00000001018.16	1089.759	1310.483	1013.28	1044.748	899.101	1333.899	544.691
ENSMUSG00000001020.9	25	29	17.732	142.633	15.139	29	19
ENSMUSG00000001021.14	3	1	1	0	0	0	0
ENSMUSG00000001023.11	0	0	0	0	0	0	0
ENSMUSG00000001025.9	209	273	249	483	156	291	162.999
ENSMUSG00000001027.8	3794	5487	2218	3089	2417	4099	1631
ENSMUSG00000001029.16	1.027	1	0	0	33.773	16.645	5.995
ENSMUSG00000001034.18	8.304	18.247	19.207	19.899	11.734	9.679	0
ENSMUSG00000001036.18	313.02	341	216	259.887	167.515	272.37	77.543
ENSMUSG00000001039.13	3.738	11.753	0	0	5	1.112	0
ENSMUSG00000001052.16	0	43.504	18.436	46.483	0	92.791	12.39
ENSMUSG00000001053.16	1.387	0	4.937	0	0	4.31	0
ENSMUSG00000001054.10	92.568	62.529	7.596	5.212	8.927	89.82	0
ENSMUSG00000001056.4	139	139	181	127	138	163	89
ENSMUSG00000001062.19	294.095	254.203	229.377	293.997	272.999	300.311	120.658
ENSMUSG00000001065.16	100	56.984	18.705	39.832	51.844	52.744	10.484
ENSMUSG00000001076.8	0	0	0	0	0	0	1
ENSMUSG00000001082.13	30.001	0	45	71	30.774	25.862	7.655
ENSMUSG00000001089.15	180	223	122	134	137	158	108
ENSMUSG00000001095.6	4	0	0	0	0	0	0
ENSMUSG00000001098.16	2.331	8.629	0	1.496	0	7.376	1.957
ENSMUSG00000001100.11	36.859	58.835	30.18	135.489	11.024	44.5	0
ENSMUSG00000001103.8	2	0	0	0	0	0	1
ENSMUSG00000001105.16	62	41.616	56.001	62	42	83.205	29
ENSMUSG00000001119.8	187	1004	342	2375	414	721	351
ENSMUSG00000001120.16	13.258	10.258	8.972	31	11.474	50	10.361
ENSMUSG00000001123.16	5.242	0	0	0	0	0	2
ENSMUSG00000001127.13	1041.102	1380.171	916.853	895.121	970.373	1398.392	532.322
ENSMUSG00000001128.8	26	72	28	205	27	69.869	38
ENSMUSG00000001131.12	0	2	2	74.492	2	0	0
ENSMUSG00000001134.10	86.793	34.489	58.317	53.68	73	78.466	17.613
ENSMUSG00000001138.14	90	5.501	76.002	3.956	0	54.004	1
ENSMUSG00000001143.14	300.208	365.655	190.972	396.582	180.712	369.047	141.526
ENSMUSG00000001150.8	170	297	109.999	224	100	291	136
ENSMUSG00000001151.11	757.567	739.6	450.823	505.916	546.656	722.11	412.689
ENSMUSG00000001155.14	5	0	2	3	4	0	2.967
ENSMUSG00000001156.10	14.306	3.324	6	2	2	3	6
ENSMUSG00000001157.14	11.137	1.077	2.059	9.457	2.006	0	2.105
ENSMUSG00000001158.14	6.661	10.699	20.063	12.392	6.315	24.028	0
ENSMUSG00000001166.18	3	0	1	1	0	1	0
ENSMUSG00000001168.17	0	0	0	0	0	0	0
ENSMUSG00000001173.16	128.893	147.723	81.304	131.164	34.287	180.683	10.536
ENSMUSG00000001175.17	2119.187	1681.742	1072.432	1062.97	990.492	1763.484	773.463
ENSMUSG00000001211.16	892.424	1359.483	811.963	872.824	884.89	1348.775	572.863
ENSMUSG00000001225.13	0	0	0	2	1	0	2.952
ENSMUSG00000001227.13	0	0	0	3.099	7.659	25.118	0
ENSMUSG00000001228.15	15	4	5	26	9	6	3
ENSMUSG00000001229.10	773	998	532	648.999	577	1123	399
ENSMUSG00000001240.14	130.953	215.001	154.688	142	142.353	185.127	126
ENSMUSG00000001247.17	7.104	0	0	11.992	4.537	14.403	0
ENSMUSG00000001248.16	179.641	217.689	106.64	111.989	142.648	101.948	109.403
ENSMUSG00000001249.15	86	56.976	56	38	106	48	15
ENSMUSG00000001260.11	7.963	0	3	6	1	4	4
ENSMUSG00000001270.10	495.782	94	76	201	73	132.999	30
ENSMUSG00000001280.14	88	106	44	83	63	72	45
ENSMUSG00000001281.11	0	0	1.046	0	0	0	0
ENSMUSG00000001285.13	57.091	122.974	87.004	79	76.997	86.985	44
ENSMUSG00000001288.16	0	0	2	0	0	1	2
ENSMUSG00000001289.13	336.938	366.922	365.996	234.918	260.602	387.876	128.593
ENSMUSG00000001300.17	1.09	16.585	1.129	4.617	3.41	0	4.099
ENSMUSG00000001305.6	62.061	74	49.098	43.042	44.027	82	47.003
ENSMUSG00000001313.13	9	19	14	16.396	10	30	3
ENSMUSG00000001323.18	121.656	214.412	124.53	188.438	124.703	187.331	101.372
ENSMUSG00000001333.10	462.851	471.118	359.494	541.94	477.154	386.347	231.674
ENSMUSG00000001334.11	954	1033	838	487	859	1171	399
ENSMUSG00000001348.16	19	11	5	5.806	5	24	0
ENSMUSG00000001349.6	24	15	15	26	14	16.999	16
ENSMUSG00000001366.15	4.346	9.696	11.257	52.206	31.789	40.585	9.427
ENSMUSG00000001376.18	152.921	56.154	45.943	61.555	4.962	20.396	86.604
ENSMUSG00000001380.8	313	427	300.999	370.622	279.479	373	205
ENSMUSG00000001383.10	27.867	28.566	0	7.275	5.54	16.738	11.377
ENSMUSG00000001403.14	309.115	469.807	1239.746	372.432	293.325	191.1	158.574
ENSMUSG00000001415.11	50.536	67.071	31.557	106.902	53.231	48.807	17.636
ENSMUSG00000001416.14	209.99	8.236	80.121	28.711	174.763	233.453	43.011
ENSMUSG00000001418.14	163.703	235.287	94.978	197.464	124.232	159.544	127.789
ENSMUSG00000001419.18	478.738	932.163	469.229	704.923	546.833	1116.422	426.468
ENSMUSG00000001420.14	8	13.142	4	5	7	9.097	3
ENSMUSG00000001424.15	12.099	4.341	7.43	15.539	0	38.857	20.52
ENSMUSG00000001435.16	0	0	0	0	0	0	18.178
ENSMUSG00000001436.16	2.126	2.844	63	3.2	1.787	11.296	6.379
ENSMUSG00000001440.6	329.969	398.708	179.948	275.883	247.57	318.877	204.983
ENSMUSG00000001441.14	387.905	396.762	309.532	410.774	391.815	515.707	267.818
ENSMUSG00000001444.3	6	19	7	3	11	10	0
ENSMUSG00000001445.11	0	0	0	0	0	0	0
ENSMUSG00000001467.6	59.999	61	26.077	49	55	63	25
ENSMUSG00000001472.18	1280.552	1570.919	1044.358	1463.876	1234.37	1616.898	761.954
ENSMUSG00000001473.8	194.56	314	323.007	885.716	385	340.094	241.021
ENSMUSG00000001482.16	0	0	105.436	16.019	2.587	43.486	0
ENSMUSG00000001493.10	38	68	20	61	27	59	27
ENSMUSG00000001494.7	3	0	0	0	0	0	0
ENSMUSG00000001496.16	4.432	0	0	1.097	0	0	0
