Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000026311	6432	-1.84230430298193	3.60055644256485	48.7804071378145	2.86285488050149e-12	3.33379450834399e-08	Asb1
ENSMUSG00000047213	5363	-1.34266361767833	5.33730382187977	45.4461368737774	1.56894684514919e-11	9.13519300588117e-08	Ythdf3
ENSMUSG00000031502	7464	-1.55114160230778	6.4542211374649	43.3377837524988	4.60602913015676e-11	1.21537544469568e-07	Col4a1
ENSMUSG00000021390	2566	-1.73095303016365	4.24983816431348	43.3104095334498	4.67091984301762e-11	1.21537544469568e-07	Ogn
ENSMUSG00000074743	3723	-1.60091907865756	4.88083014650818	43.0935340426007	5.21844330053964e-11	1.21537544469568e-07	Thbd
ENSMUSG00000036093	5409	-1.55365544524565	5.1462592984359	42.3979729356001	7.44671793623174e-11	1.44528383945698e-07	Arl5a
ENSMUSG00000042834	3908	-1.57591265862779	6.32695018210656	41.1178598505487	1.4332071518164e-10	2.38424246898599e-07	Nrep
ENSMUSG00000037379	2947	-5.05815096401051	1.22636845481369	37.2306383783167	1.04951838570429e-09	1.52770520019081e-06	Spon2
ENSMUSG00000035941	8628	-1.02726388374301	6.07735394041062	35.3750934273291	2.7194224672381e-09	3.3272263682591e-06	Ibtk
ENSMUSG00000026879	3157	-1.41940991319538	9.19356325951683	35.2788269804671	2.85721457128304e-09	3.3272263682591e-06	Gsn
ENSMUSG00000022096	6919	-1.35272264317917	5.66664129536488	34.5789872582518	4.09300791555393e-09	3.80854920068335e-06	Hr
ENSMUSG00000020122	11326	-1.55890466893299	3.76166120251533	34.5049404341093	4.25170799561044e-09	3.80854920068335e-06	Egfr
ENSMUSG00000029231	10024	-2.06873226585502	3.91824366104499	33.1436135789831	8.55970535470538e-09	6.46120644759015e-06	Pdgfra
ENSMUSG00000022797	6185	-1.49065001049093	6.76649712972425	33.1174348782754	8.67572869600287e-09	6.46120644759015e-06	Tfrc
ENSMUSG00000027333	3894	-1.35794146855846	8.41598823592823	33.0727174697639	8.87757004391948e-09	6.46120644759015e-06	Smox
ENSMUSG00000041935	5199	-1.42067156075321	4.15191280439628	32.0983547619702	1.46561377995848e-08	1.00394543927156e-05	Rimoc1
ENSMUSG00000023959	9669	-1.09633583758385	7.02603918777897	31.9329689813983	1.59585431516011e-08	1.03242908333552e-05	Clic5
ENSMUSG00000067279	2725	-1.60545192395674	9.0247661684967	30.9609370201767	2.63274276626286e-08	1.46708595588034e-05	Ppp1r3c
ENSMUSG00000075232	3544	-1.13117358231891	7.35702346367472	30.9514319534613	2.64566810420671e-08	1.46708595588034e-05	Amd1
ENSMUSG00000000753	2359	-1.60068436941642	5.56368196862936	30.1002012159056	4.10288642621861e-08	2.17173238333253e-05	Serpinf1
ENSMUSG00000037400	9176	-1.33844683956238	3.95630966085451	29.4966575872083	5.6013216646415e-08	2.83597351238045e-05	Atp11b
ENSMUSG00000019278	2486	-1.31148036591653	4.34675693924132	29.2884356448905	6.23667848505881e-08	3.02608837327124e-05	Dpep1
ENSMUSG00000043639	6790	-1.00312048527489	5.78749128415116	28.8522960565816	7.81132467446842e-08	3.52507664998943e-05	Rbm20
ENSMUSG00000036450	6606	-1.3545318935517	7.21030380520013	28.7273464114929	8.33188509996512e-08	3.52507664998943e-05	Hif1an
ENSMUSG00000034165	8775	-1.22805561854042	4.45869090977928	28.7253738262837	8.3403760388391e-08	3.52507664998943e-05	Ccnd3
ENSMUSG00000040152	6073	-1.96487473917376	4.08321038758501	28.694153170763	8.47592496347822e-08	3.52507664998943e-05	Thbs1
ENSMUSG00000041577	3615	-1.41804178989454	5.22676355719358	28.2865483178587	1.04620487368892e-07	4.20105370831291e-05	Prelp
ENSMUSG00000020363	5591	-2.42847987613743	3.74643849688034	27.9775025497764	1.22734096546698e-07	4.76412851428764e-05	Gfpt2
ENSMUSG00000046768	6484	-1.07992117949952	4.63777361840025	26.9982992553267	2.03634556390729e-07	7.64943357796789e-05	Rhoj
ENSMUSG00000033382	12045	-1.13059738338773	4.93259256487899	26.5809224904617	2.52727031129705e-07	9.19689461720441e-05	Trappc8
ENSMUSG00000038366	6495	-1.08676743007147	4.92270412062341	25.8919335698883	3.61074843909446e-07	0.000127415653252288	Lasp1
ENSMUSG00000022122	4266	-1.38467321775306	4.46543458641769	25.589054371882	4.22428841422045e-07	0.00014468187818705	Ednrb
ENSMUSG00000034055	6259	-0.994420292579252	9.50607949071521	25.2226391733591	5.10790731826311e-07	0.000168351270507024	Phka1
ENSMUSG00000004798	5977	-1.00067423975674	7.20717378806788	25.1865071617362	5.20450471296938e-07	0.000168351270507024	Ulk2
ENSMUSG00000047126	8499	-1.0184432664644	6.40492052061183	25.1153500967043	5.40012827239865e-07	0.00016995809116779	Cltc
ENSMUSG00000030110	6763	-2.09268276862962	2.61212224948595	24.8959914376477	6.05081101826109e-07	0.000185425511335922	Ret
ENSMUSG00000052957	2961	-1.60997741291363	4.76141473246319	24.2921702163193	8.27748495796077e-07	0.000247157211116547	Gas1
ENSMUSG00000120878	485	-3.36321025036559	1.60830469111908	23.9788614020815	9.73992064733889e-07	0.000283553439845653	Gm56663
ENSMUSG00000056579	9734	-0.971931516304358	4.76395468743081	23.6034201258987	1.18376927913633e-06	0.00033621934769616	Tug1
ENSMUSG00000051495	5080	-1.325183222138	4.28822907476805	23.4446001504793	1.28563077200219e-06	0.000356456436665847	Irf2bp2
ENSMUSG00000026028	7088	-0.976813248885142	6.18698738821884	23.1810797486841	1.47440844595933e-06	0.000376750729009395	Trak2
ENSMUSG00000070436	2443	-2.23722864242341	6.13700883774886	23.162914263263	1.48840244224893e-06	0.000376750729009395	Serpinh1
ENSMUSG00000028041	6145	-0.988807100723771	4.97616814457633	23.1309616953106	1.51334151969872e-06	0.000376750729009395	Adam15
ENSMUSG00000003032	3049	-1.79878780975717	3.40312571129489	23.1217722875274	1.52059117762487e-06	0.000376750729009395	Klf4
ENSMUSG00000007613	6534	-1.32978888270692	4.14146504099797	22.8892898398323	1.71605375685414e-06	0.000416321791636802	Tgfbr1
ENSMUSG00000045246	3806	-1.26656365141422	6.16977925064724	22.556209310872	2.04083829296607e-06	0.000472136037260709	Kcng4
ENSMUSG00000031328	9457	-1.02895380442384	5.50244794741739	22.5113704084684	2.0890339138108e-06	0.000472136037260709	Flna
ENSMUSG00000047343	4300	-1.27588518974206	5.29912154001619	22.5065768783579	2.09425338217616e-06	0.000472136037260709	Mettl21c
ENSMUSG00000044017	8321	-2.46060452731695	3.47656589059088	22.4937420537589	2.10829316767341e-06	0.000472136037260709	Adgrd1
ENSMUSG00000023046	1112	-1.75597212239127	5.16283156150198	22.4260955948829	2.18386575744202e-06	0.000479832391422874	Igfbp6
ENSMUSG00000022462	8838	-1.39130191061888	7.79592419909236	22.2634403365566	2.37689212915641e-06	0.000510420997856427	Slc38a2
ENSMUSG00000015659	4576	-1.18385849896306	3.44493465400346	21.7623312643206	3.08599945464407e-06	0.000641722565166611	Serac1
ENSMUSG00000050697	4655	-1.27762095169925	3.66920056201416	21.7032091246776	3.18258429078497e-06	0.000650196387126158	Prkaa1
ENSMUSG00000022905	8486	-0.857239110506173	7.59694071810322	21.6224753899635	3.31939287857708e-06	0.000666453966741898	Kpna1
ENSMUSG00000030643	9642	-1.80632112821736	2.9620015187141	21.4424155880004	3.64615391087382e-06	0.000719651903256367	Rab30
ENSMUSG00000031503	6619	-1.1082275501275	6.40674462286837	21.1077692864891	4.34164282501533e-06	0.000842640511621725	Col4a2
ENSMUSG00000002900	9917	-1.43210811822204	4.32328317075899	20.9857663093549	4.62708255419914e-06	0.000883002506963957	Lamb1
ENSMUSG00000091243	7104	-1.93227861846478	2.39732381015975	20.9552981345977	4.70125851711166e-06	0.000883002506963957	Vgll3
ENSMUSG00000026697	2074	-1.49650551568962	5.56416494167966	20.9107366412535	4.81189970186964e-06	0.000889437651242411	Myoc
ENSMUSG00000029484	3643	-1.01748886673241	4.51019275974505	20.7701227056786	5.17845705569585e-06	0.00094223644396216	Anxa3
ENSMUSG00000041460	9478	-1.34439923819955	3.88853182863957	20.7287664978513	5.2915072796976e-06	0.000945571147509974	Cacna2d4
ENSMUSG00000041559	3306	-1.3381818604781	6.4213275548453	20.7044311969693	5.35918383303206e-06	0.000945571147509974	Fmod
ENSMUSG00000041037	6083	-1.28893242417387	4.576917481242	20.6270340309016	5.58025536196227e-06	0.000969881696866428	Irgq
ENSMUSG00000028780	7140	-1.27614041358326	5.63003409196757	19.7613761667487	8.77378918862693e-06	0.00150251139855236	Sema3c
ENSMUSG00000032925	4229	-1.73463788578649	3.19548295660384	19.7302045032906	8.91806508030717e-06	0.00150508504145184	Itgbl1
ENSMUSG00000033361	6087	-2.79871103537659	1.52971571914142	19.4127436763487	1.05302053007571e-05	0.00174612839203923	Prrg3
ENSMUSG00000018906	6239	-0.856492712765014	5.19999280172704	19.3753817086798	1.07382445225595e-05	0.00174612839203923	P4ha2
ENSMUSG00000019846	12068	-1.20301597662183	4.53980111519368	19.3651104891055	1.07961566532266e-05	0.00174612839203923	Lama4
ENSMUSG00000007888	1644	-1.83840138732216	1.8883060188349	19.246578743361	1.14876055760513e-05	0.0018325091360701	Crlf1
ENSMUSG00000005397	6943	-1.76632357037769	6.36741913787745	19.0994220882003	1.24082454283559e-05	0.0019526218650433	Nid1
ENSMUSG00000019929	5838	-0.923052163323259	7.55741554557185	19.0258414567032	1.28960114202124e-05	0.00200232070651165	Dcn
ENSMUSG00000054203	4177	-2.41141420482895	2.08713136330589	18.9977212461447	1.30874658176071e-05	0.00200530972955309	Ifi205
ENSMUSG00000026185	6006	-1.07639000900649	7.23886143017365	18.5674209943656	1.63999530711043e-05	0.00246417454791049	Igfbp5
ENSMUSG00000038084	7875	-0.787657643092032	6.26417804056199	18.555201677091	1.65054199001304e-05	0.00246417454791049	Opa1
ENSMUSG00000031799	4269	-0.928601815728023	5.69840819891069	18.5207195936732	1.68067285417623e-05	0.00247739688441546	Tpm4
ENSMUSG00000021236	6039	-0.883088894359472	4.45609040469974	18.3634499190751	1.82525918361506e-05	0.00259142921825089	Entpd5
ENSMUSG00000029657	7266	-0.89799544417089	5.82125434419547	18.3428586983679	1.84509280985242e-05	0.00259142921825089	Hsph1
ENSMUSG00000029190	18420	-0.972422067339634	5.89083626262562	18.3408418918303	1.84704701687268e-05	0.00259142921825089	D5Ertd579e
ENSMUSG00000031239	1744	-1.19494704888808	6.54273581938845	18.2261120483335	1.96170837657107e-05	0.00270078710728283	Itm2a
ENSMUSG00000018398	6087	-1.20675226321649	3.75157046986529	18.2087820566609	1.97963910022589e-05	0.00270078710728283	Septin8
ENSMUSG00000030104	6453	-1.19207095391678	3.06532559548074	18.1800576683646	2.00972256486051e-05	0.00270078710728283	Edem1
ENSMUSG00000027860	7156	-2.08919025383181	1.91876222860048	18.172453801324	2.01776280234956e-05	0.00270078710728283	Vangl1
ENSMUSG00000074582	8770	-0.960767613012079	4.94298024941486	18.1165990268388	2.07782199616689e-05	0.0027495724028822	Arfgef2
ENSMUSG00000039252	6528	-2.58452188342129	1.15249835167962	18.0551127523893	2.14601568071386e-05	0.00280790478673179	Lgi2
ENSMUSG00000025316	6632	-1.78692867149268	3.11007458001684	17.7993254034599	2.45470259834175e-05	0.00310706649540105	Banp
ENSMUSG00000052684	3189	-0.882612485385783	7.04053946069263	17.655066853463	2.648088822794e-05	0.00331580584316518	Jun
ENSMUSG00000042410	9421	-1.1141243967661	4.13272548837846	17.5285079944358	2.83031926428504e-05	0.00350628381197865	Agps
ENSMUSG00000029174	7405	-0.819803777736811	6.99775090231998	17.432911106822	2.97627894998197e-05	0.00364829140763579	Tbc1d1
ENSMUSG00000029009	7315	-1.695256289124	2.15897046542203	17.3487232993044	3.11107195799685e-05	0.0037737950990493	Mthfr
ENSMUSG00000063275	2073	-1.12272303483919	4.89044379807398	17.3017167481954	3.18898615467211e-05	0.00382842719290275	Hacd1
ENSMUSG00000056749	2026	-2.16803183934532	5.27214427745754	17.2817781121554	3.22262436244611e-05	0.00382933272455969	Nfil3
ENSMUSG00000037242	6572	-0.85310433128459	6.48500310522841	17.2440668296276	3.28722480107786e-05	0.00385259412530815	Clic4
ENSMUSG00000030208	5935	-1.67419052710647	4.05252847504774	17.2318860581452	3.30836764732345e-05	0.00385259412530815	Emp1
ENSMUSG00000039286	11485	-0.985297049821975	4.00524628086424	17.0758842868961	3.59154828619301e-05	0.00414094849432848	Fndc3b
ENSMUSG00000068566	4479	-0.92651348563011	6.26855152924622	17.0118099480646	3.71480396890782e-05	0.00422651768134047	Myadm
ENSMUSG00000036896	1931	-2.31526507061812	3.66253407593495	16.967675918434	3.80216633389648e-05	0.00425732951521389	C1qc
ENSMUSG00000025823	2399	-1.08961353352125	3.73505685035153	16.8736100647748	3.99532218756527e-05	0.00443100255944738	Pdia4
ENSMUSG00000027276	5827	-1.16987178589297	4.01366278279429	16.8060443965628	4.14012220968365e-05	0.00454827576714774	Jag1
ENSMUSG00000022770	10736	-0.951740908241917	4.69261115570423	16.7616921814422	4.23803032986134e-05	0.00461232366273227	Dlg1
ENSMUSG00000040848	5702	-1.08740313834019	4.26845323398731	16.6803217584985	4.42375036313075e-05	0.00476986786839422	Sft2d2
ENSMUSG00000025203	5464	-2.11661874593714	3.95124099004117	16.6541834917762	4.48512803560085e-05	0.0047756132502691	Scd2
ENSMUSG00000074170	5263	-0.939525538342064	3.94006942717792	16.6266996898338	4.55058899072931e-05	0.0047756132502691	Plekhf1
ENSMUSG00000000126	3329	-0.954360932462351	4.22512726612294	16.6178637261543	4.57183789094153e-05	0.0047756132502691	Wnt9a
ENSMUSG00000038456	7229	-1.83216190334687	1.51770681654428	16.6090557392981	4.5931187980261e-05	0.0047756132502691	Dennd2a
ENSMUSG00000021171	9143	-0.988169315423959	5.18804717795609	16.524093805935	4.80357854337789e-05	0.00486115238381835	Esyt2
ENSMUSG00000022500	5156	-1.00008043845279	3.90038083433999	16.5005935671848	4.86348462803641e-05	0.00486115238381835	Litaf
ENSMUSG00000032402	5542	-0.885657124651432	6.53479417664314	16.4961464341032	4.87490536811741e-05	0.00486115238381835	Smad3
ENSMUSG00000024978	6664	-0.872105041238386	7.34086837096089	16.489542279715	4.89191535892091e-05	0.00486115238381835	Gpam
ENSMUSG00000026796	4672	-1.07254758300719	3.8725566086226	16.4848517114109	4.90403285508504e-05	0.00486115238381835	Niban2
ENSMUSG00000037060	1662	-1.18767895025597	4.00723063145607	16.476433330164	4.92585643014654e-05	0.00486115238381835	Cavin3
ENSMUSG00000026547	2082	-0.819873056664614	5.15022891221751	16.4509484933528	4.99251969675935e-05	0.0048855371318288	Tagln2
ENSMUSG00000021978	6063	-0.8482351763234	5.54419664387352	16.4165709122751	5.08388417810629e-05	0.00493348593783731	Extl3
ENSMUSG00000040596	9586	-1.16451939837211	3.89097017488904	16.2655521275448	5.5055820770096e-05	0.00529855399064271	Pogk
ENSMUSG00000034462	10169	-0.993396330807625	3.85347365747668	16.2279869044777	5.61583207638906e-05	0.0053167776040285	Pkd2
ENSMUSG00000037098	6935	-1.02077106527082	6.32913287375883	16.1542632730936	5.83870024089413e-05	0.00548319873429131	Rab11fip3
ENSMUSG00000058672	1610	-1.16706157397566	3.52073251769622	16.1366286232733	5.89331555542745e-05	0.00549021277143621	Tubb2a
ENSMUSG00000018217	2354	-0.789750966792804	5.12797087536103	16.0020831835812	6.32728239868847e-05	0.00584771456608946	Pmp22
ENSMUSG00000026478	8272	-0.870436416195822	5.81935526809739	15.9570719058044	6.47952563441634e-05	0.00594126582777782	Lamc1
ENSMUSG00000008845	5461	-1.54923533469854	3.35902949088059	15.8532827266341	6.84476951743524e-05	0.00622713601801042	Cd163
