Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000026311	6432	-1.82262999007603	3.60992449433845	51.7554230377174	6.28629531611542e-13	8.58519351321883e-09	Asb1
ENSMUSG00000047213	5363	-1.35490238091623	5.32944960428834	48.0229526965643	4.21258789313766e-12	2.87656564282905e-08	Ythdf3
ENSMUSG00000074743	3723	-1.60931510148143	4.86275712984208	46.171711338141	1.08329870366701e-11	4.4222514529527e-08	Thbd
ENSMUSG00000021390	2566	-1.74623184707896	4.20208825451052	45.821661237394	1.295233639292e-11	4.4222514529527e-08	Ogn
ENSMUSG00000031502	7464	-1.57413265808166	6.44010511358462	43.5189658839181	4.1987028408192e-11	1.14683369394136e-07	Col4a1
ENSMUSG00000042834	3908	-1.5635655199795	6.32052933893142	41.6480084966867	1.09276647640262e-10	2.48731862803842e-07	Nrep
ENSMUSG00000036093	5409	-1.48076339262538	5.25748620300829	40.1077872702302	2.40329026349413e-10	4.68881930407704e-07	Arl5a
ENSMUSG00000035941	8628	-1.0605325635345	6.11931386034953	39.1174589376681	3.99059402338973e-10	6.81244282217919e-07	Ibtk
ENSMUSG00000037379	2947	-4.84119008473547	1.18512747898034	35.2609284112837	2.88359435972504e-09	4.3756942411961e-06	Spon2
ENSMUSG00000020122	11326	-1.58026701265328	3.72574175626547	34.8743579193669	3.51682150668017e-09	4.8029231316731e-06	Egfr
ENSMUSG00000026879	3157	-1.40529627890003	9.19453726218157	33.6019562265755	6.76246828128209e-09	8.3959117561336e-06	Gsn
ENSMUSG00000022797	6185	-1.4737196233496	6.76726176430899	33.216857071127	8.24328193469001e-09	8.63905585794621e-06	Tfrc
ENSMUSG00000029231	10024	-2.04661025581837	3.90827458800159	33.1788657757905	8.40591994042032e-09	8.63905585794621e-06	Pdgfra
ENSMUSG00000022096	6919	-1.31347706088486	5.67000698074259	33.0774411245697	8.8560285576076e-09	8.63905585794621e-06	Hr
ENSMUSG00000023959	9669	-1.09344444044108	7.01984367098414	32.4065439278973	1.25064610224636e-08	9.19433434037535e-06	Clic5
ENSMUSG00000041935	5199	-1.43517644417381	4.1362876968387	32.4041720439099	1.25217353129467e-08	9.19433434037535e-06	Rimoc1
ENSMUSG00000027333	3894	-1.32967085971481	8.41676685285285	32.3627651933045	1.27914148397988e-08	9.19433434037535e-06	Smox
ENSMUSG00000037400	9176	-1.35805600523041	3.94573004608983	30.866549761202	2.76394964156897e-08	1.88736301274537e-05	Atp11b
ENSMUSG00000067279	2725	-1.59026510291174	9.03371375815013	29.771634283963	4.8605182487813e-08	3.16095703445744e-05	Ppp1r3c
ENSMUSG00000043639	6790	-0.976266902217093	5.78002907472142	29.4927478017525	5.61263257973707e-08	3.42212447035037e-05	Rbm20
ENSMUSG00000000753	2359	-1.56484808690009	5.56764483335041	29.4414202892623	5.76326153753083e-08	3.42212447035037e-05	Serpinf1
ENSMUSG00000075232	3544	-1.11823089581887	8.05503818550478	29.0842713164233	6.92973079776199e-08	3.94330556270981e-05	Amd1
ENSMUSG00000040152	6073	-2.03862969738182	4.09192538132598	28.4225793934528	9.75212560356978e-08	5.3273911747181e-05	Thbs1
ENSMUSG00000019278	2486	-1.30170107893954	4.33816686629218	28.1528490071395	1.12102531105724e-07	5.88840102811874e-05	Dpep1
ENSMUSG00000044017	8321	-2.47992033983792	3.46385990026074	26.7399396950526	2.32760390874126e-07	0.000114274941260352	Adgrd1
ENSMUSG00000036450	6606	-1.36170591648674	7.21981737412802	26.7272828713358	2.34289987207283e-07	0.000114274941260352	Hif1an
ENSMUSG00000003032	3049	-1.95086264039769	3.36669714214556	26.5584626530337	2.55682255354473e-07	0.000120408709012967	Klf4
ENSMUSG00000051495	5080	-1.35988636777217	4.2366188981695	26.0819826486313	3.27223295275222e-07	0.000144530101097851	Irf2bp2
ENSMUSG00000047126	8499	-1.06030044394326	6.38723706246563	26.0770012382816	3.28068619318546e-07	0.000144530101097851	Cltc
ENSMUSG00000033382	12045	-1.11445226359939	4.93184184918753	25.9539116142572	3.49666210368579e-07	0.000149230982343865	Trappc8
ENSMUSG00000041577	3615	-1.36386728697462	5.22789185784058	25.8039098987037	3.77922122610442e-07	0.000150881123462527	Prelp
ENSMUSG00000046768	6484	-1.07177146290287	4.62209815655131	25.7610846748603	3.86401384407324e-07	0.000150881123462527	Rhoj
ENSMUSG00000030110	6763	-2.16131929175353	2.58087724626137	25.7597116093075	3.86676379965472e-07	0.000150881123462527	Ret
ENSMUSG00000028041	6145	-1.05893089317142	4.98872092671001	25.3722636824249	4.72665508756324e-07	0.000179310912585698	Adam15
ENSMUSG00000015659	4576	-1.24140883384156	3.43242312434005	25.3129451720307	4.87426492389473e-07	0.00017991307044765	Serac1
ENSMUSG00000056579	9734	-0.997286023786049	4.81601880359931	25.1281141352242	5.36450290398882e-07	0.000189076308781958	Tug1
ENSMUSG00000034055	6259	-0.971899956354353	9.50531562839543	25.1156061359443	5.39941132202998e-07	0.000189076308781958	Phka1
ENSMUSG00000038366	6495	-1.0868191088685	4.97347330232122	24.9780119852679	5.79878666162188e-07	0.000197985073594425	Lasp1
ENSMUSG00000034165	8775	-1.16377172379476	4.51355667886205	24.8854841399901	6.08388052539505e-07	0.00020265257642761	Ccnd3
ENSMUSG00000023046	1112	-1.77857786244414	5.1603655276552	24.712591868207	6.65479667988408e-07	0.000216391805374231	Igfbp6
ENSMUSG00000004798	5977	-0.991261568165876	7.21451983701567	24.238550610703	8.51115249892367e-07	0.000264174567449547	Ulk2
ENSMUSG00000050697	4655	-1.34237923005681	3.65074473454629	24.1916416471197	8.72099445148151e-07	0.000264672491608629	Prkaa1
ENSMUSG00000020363	5591	-2.36042225700237	3.74259303308129	23.8768318264227	1.02700352162174e-06	0.00030490841510409	Gfpt2
ENSMUSG00000031328	9457	-1.06307314724663	5.48897033782769	23.447779378306	1.2835079175903e-06	0.000372211445233386	Flna
ENSMUSG00000070436	2443	-2.18741552062827	6.10151891278859	23.4111152231641	1.30820453768782e-06	0.000372211445233386	Serpinh1
ENSMUSG00000041460	9478	-1.35119641424248	3.83590907253722	23.2023931625623	1.45815755747314e-06	0.000406409342090015	Cacna2d4
ENSMUSG00000022122	4266	-1.35471690053508	4.46207264834371	22.948165441464	1.66428963653067e-06	0.000454584071321987	Ednrb
ENSMUSG00000026028	7088	-0.959360948353764	6.1752718086514	22.770618116934	1.82535193772173e-06	0.000488800615950307	Trak2
ENSMUSG00000047343	4300	-1.26922769767989	5.28894585802305	22.504545761866	2.09646892142135e-06	0.000550605308843295	Mettl21c
ENSMUSG00000052957	2961	-1.54428728944066	4.75656858155511	22.4134100833043	2.19833733801843e-06	0.000566465906138069	Gas1
ENSMUSG00000025203	5464	-2.41830901988242	3.91035183748838	22.2834805280726	2.35221471796503e-06	0.000594892525986082	Scd2
ENSMUSG00000058672	1610	-1.221759404315	3.63651643031765	22.2410830608081	2.40472942949588e-06	0.000597116178520458	Tubb2a
ENSMUSG00000026697	2074	-1.52983685142647	5.536027938558	22.1610926761452	2.5070322189954e-06	0.000611402482407503	Myoc
ENSMUSG00000045246	3806	-1.23613207597219	6.16629075457116	21.9284553494503	2.83006255577862e-06	0.000678073058320501	Kcng4
ENSMUSG00000030643	9642	-1.79156069335091	2.98151994755337	21.8127192678492	3.00600776337652e-06	0.000707811172835053	Rab30
ENSMUSG00000022905	8486	-0.845576034388079	7.60112581139192	21.3622080619662	3.80192035056923e-06	0.000877525301400012	Kpna1
ENSMUSG00000029484	3643	-0.998702534054843	4.50377325892687	21.3354899430375	3.85527700695619e-06	0.000877525301400012	Anxa3
ENSMUSG00000022462	8838	-1.38063642230799	7.79278102951503	21.280790541539	3.96686845137371e-06	0.000888123318695257	Slc38a2
ENSMUSG00000005397	6943	-1.75424558966045	6.37776710403037	21.0431637763145	4.49052147430384e-06	0.000973445266262976	Nid1
ENSMUSG00000041559	3306	-1.34248217502742	6.42701546495664	20.8730734366087	4.9074486372568e-06	0.00104720353185963	Fmod
ENSMUSG00000007613	6534	-1.28268203429384	4.13539730516477	20.308390972344	6.59108963859893e-06	0.00136385623021736	Tgfbr1
ENSMUSG00000031503	6619	-1.11051943840158	6.38903833869513	20.2397145791878	6.83197822970746e-06	0.00139260189079276	Col4a2
