Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000059824	2993	1.62781383941573	5.79511694530476	34.5135130676779	4.23302383084304e-09	3.80854920068335e-06	Dbp
ENSMUSG00000034472	3176	1.48775990986193	6.34040553611825	31.6534551237842	1.84286434603029e-08	1.12948185839594e-05	Rasd2
ENSMUSG00000038550	2261	1.61424200620819	2.7793687346549	23.2064872339682	1.45505657117735e-06	0.000376750729009395	Ciart
ENSMUSG00000135686	421	1.5553932233534	2.77330230260866	22.2362838271373	2.41074752100502e-06	0.000510420997856427	ENSMUSG00000135686
ENSMUSG00000038418	4484	1.04546378493959	4.05859938166919	18.4099284526186	1.78127436442247e-05	0.00259142921825089	Egr1
ENSMUSG00000021815	1826	0.999652469461038	6.45325794505594	17.8822753866056	2.3499961258755e-05	0.00304063387620225	Mss51
ENSMUSG00000040562	1679	1.03240888481778	5.03422991896483	17.8166913318315	2.4324006891971e-05	0.00310706649540105	Gstm2
ENSMUSG00000030189	3075	1.29985940950017	8.76982664368034	16.9998109816398	3.73835398177817e-05	0.00422651768134047	Ybx3
ENSMUSG00000029053	6318	1.59994054626386	2.2403874653387	16.2290034297819	5.6128196517613e-05	0.0053167776040285	Prkcz
ENSMUSG00000024515	3712	0.843181360586713	5.55728210501357	15.673463982814	7.52728735312651e-05	0.00664055009296653	Smad4
ENSMUSG00000141422	892	4.31798800769287	10.5894965598921	14.8304946726629	0.00011761818298187	0.00901094566331501	ENSMUSG00000141422
ENSMUSG00000119584	1849	0.877699657009224	17.011700359568	14.422727870151	0.0001460292192726	0.010444678131162	Rn18s-rs5
ENSMUSG00000026090	5075	2.29505489357193	1.7654485193097	13.5242311283543	0.000235502854498388	0.0148239499493715	Cracdl
ENSMUSG00000033318	4156	1.20545177822307	2.29167652286576	13.4592523802413	0.000243800887264536	0.0151548281844313	Gstt2
ENSMUSG00000045466	2968	0.998928663927426	3.24107033509456	12.5315420057243	0.00040013945129317	0.0204369469750393	Zfp956
ENSMUSG00000038605	2448	0.960408076787415	3.54640726640645	12.1504747565785	0.000490753705803531	0.0236149872069509	Samd10
ENSMUSG00000127030	1591	1.66940709300711	0.796755764318665	11.9556491466876	0.000544819427358906	0.0253776889263778	ENSMUSG00000127030
ENSMUSG00000030410	2556	0.746497978339186	5.1051746648601	11.637037487985	0.000646514871284134	0.028197249723235	Dmwd
ENSMUSG00000074227	4556	1.44554527341082	2.17760371815771	11.4774456986477	0.000704458825620701	0.029722547189685	Spint2
ENSMUSG00000028957	9608	0.87199188620363	4.78060880720091	11.3303154137343	0.000762519486055606	0.0313764643643729	Per3
ENSMUSG00000027559	2865	0.74459082255929	11.3845452956482	10.9536498162745	0.000934194192552175	0.03586075706213	Car3
ENSMUSG00000034795	1985	1.51183377921224	1.07024873666921	10.812465846366	0.00100818930439129	0.0378721433859245	Ccdc122
ENSMUSG00000076612	1326	1.80380929591404	2.13611722408874	10.4896016468605	0.00120048251519263	0.0417963165371951	Ighg2c
ENSMUSG00000121583	3959	0.748509681988845	4.47854902690998	10.4539066634224	0.00122390333170211	0.0422918525153444	Gm57852
ENSMUSG00000028195	2019	0.808955215548832	5.63537727990972	10.4069693237939	0.00125540609019198	0.0425162070751728	Ccn1
ENSMUSG00000025196	3688	1.68269190996566	1.25364709014077	10.2448401194707	0.00137067463862048	0.0451024059395538	Cpn1
ENSMUSG00000098128	4065	1.60329482373736	1.52785163039476	10.1949890844389	0.00140822793968663	0.0459350542231115	Gm3693
ENSMUSG00000049225	4507	0.624191042616936	6.85498172503095	10.1520805781106	0.00144138474757573	0.0464956381870343	Pdp1
