Length	log2FoldChange	logCPM	LR	PValue	padj	Gene_name
ENSMUSG00000034472	3176	1.49875086954645	6.2475490857799	32.4035665442719	1.2525637559504e-08	1.00072476078343e-05	Rasd2
ENSMUSG00000059824	2993	1.6242199740454	5.69887261663685	31.673929842303	1.82353728637654e-08	1.37596019019812e-05	Dbp
ENSMUSG00000135686	421	1.56219870597881	2.68046723184267	24.5566098179247	7.21583931094302e-07	0.000204178186502558	ENSMUSG00000135686
ENSMUSG00000029053	6318	1.79968427581982	2.35896714437143	21.7500745048532	3.10577805228178e-06	0.000669566309620495	Prkcz
ENSMUSG00000038418	4484	1.04313771737642	3.95603782231771	19.6654856225984	9.22526423439666e-06	0.00160637870296892	Egr1
ENSMUSG00000097766	3726	3.20039269575357	-0.464327199208942	19.1778129016388	1.19089553878583e-05	0.00192556466759395	5730420D15Rik
ENSMUSG00000038550	2261	1.45848949715792	2.81313973567886	18.4315619611479	1.76116622929195e-05	0.00241617775012559	Ciart
ENSMUSG00000021815	1826	0.999140154317911	6.3777598864177	17.4583915887584	2.93665093163169e-05	0.00349873622398436	Mss51
ENSMUSG00000030189	3075	1.29869928087218	8.68542145350232	16.9544263385783	3.82879449838829e-05	0.00422641417267118	Ybx3
ENSMUSG00000024515	3712	0.822691090991068	5.47887116777623	14.8549984702597	0.000116099986504643	0.00944233542937758	Smad4
ENSMUSG00000000632	5779	3.23027650408018	-0.70273615077195	14.7959970777348	0.000119789506225521	0.00962710694411258	Sez6
ENSMUSG00000119584	1849	0.823213749272603	17.2851442179209	14.5827029637585	0.00013414018653963	0.0103649515316627	Rn18s-rs5
ENSMUSG00000040562	1679	0.988523411766207	5.09280774784299	14.5379417466729	0.000137364988639323	0.0103649515316627	Gstm2
ENSMUSG00000033318	4156	1.17852955024059	2.20248376459706	13.0785528922395	0.000298696124263423	0.0178717654614353	Gstt2
ENSMUSG00000051736	3331	2.68000406139419	1.95164240860538	12.7320402131001	0.000359444216646595	0.0208631254294618	Fam229b
ENSMUSG00000030410	2556	0.770327594499099	5.03517714295783	12.5126234050078	0.000404211631527297	0.0227800928605965	Dmwd
ENSMUSG00000074227	4556	1.47666122712117	2.00921358572789	12.1333794890813	0.00049527286611755	0.0264834490850731	Spint2
ENSMUSG00000038605	2448	0.942931427928397	3.45519665483537	11.5889015123771	0.000663465914686762	0.0331149998961325	Samd10
ENSMUSG00000028195	2019	0.827897444762569	5.57213504692171	11.4961578638042	0.000697402004221238	0.0338267527051602	Ccn1
ENSMUSG00000026090	5075	2.19833840189212	1.56755973536062	11.4943869321448	0.000698066795886825	0.0338267527051602	Cracdl
ENSMUSG00000045466	2968	0.972129934673049	3.14207784314711	11.4616902249071	0.00071045651968471	0.0338267527051602	Zfp956
ENSMUSG00000027559	2865	0.739174144522114	11.3033755314001	11.4144669355219	0.000728744032403971	0.0341303498210715	Car3
ENSMUSG00000020599	6390	2.42479543014257	1.92944775895611	10.8533667290409	0.000986163015649536	0.0406073094976743	Rgs9
ENSMUSG00000101227	3792	2.00844205782691	0.166361455282209	10.8180773564631	0.00100513814508529	0.0411198382124953	Gm29506
ENSMUSG00000120173	6054	0.864913594902424	3.78813049199279	10.4993762325889	0.0011941485016644	0.0463397855703024	Gm56774
